path	filename	extension	md5	label_count	KeySig	TimeSig	musescore	composed_start	composed_end	source
./02-1.mscx	02-1	.mscx	4a468bb0f73390a111c516cdd6b05620	0	3, 2, 3, 0, 3	2/4	2.3.2	1795	1822	
./02-2.mscx	02-2	.mscx	b0f412975024106035ac0ecafa0ac075	0	2	3/4	2.3.2	1795	1822	
./02-3.mscx	02-3	.mscx	96b2af3ba006edfe97b58c758e066c7f	0	3, 0	3/4	2.3.2	1795	1822	
./02-4.mscx	02-4	.mscx	3adfc0653ea2a2c2dbb1441c7fa61f53	0	3, 0, 3	4/4	2.3.2	1795	1822	
./04-1.mscx	04-1	.mscx	ff5d4b4cb818f2218d1f6bae3a18b2b4	0	-3, 0, -3	6/8	2.3.2	1795	1822	
./04-2.mscx	04-2	.mscx	5b31432d75fcdb4163f6ea29a523ef6c	0		3/4	2.3.2	1795	1822	
./04-3.mscx	04-3	.mscx	7cffef7a340825410d2fa6959282f89c	0	-3	3/4	2.3.2	1795	1822	
./04-4.mscx	04-4	.mscx	db15b63ab3efe25e1bbf0e994e2e58a9	0	-3, -2	2/4	2.3.2	1795	1822	
./05-1.mscx	05-1	.mscx	772fcad6f7561e45184a42491fbb1fd9	671	-3	3/4	2.3.2	1795	1822	
./05-2.mscx	05-2	.mscx	6e6c6010207147189eb56a3a87c3e49f	254	-4	2/4	2.3.2	1795	1822	
./05-3.mscx	05-3	.mscx	778a1b4d454d1f6c81f7bc85dac5e5fc	309	-3	4/4	2.3.2	1795	1822	
./06-1.mscx	06-1	.mscx	82b9bdf2132a7a53b01c9a1a605cb53a	385	-1, 2, -1	2/4	2.3.2	1795	1822	
./06-3.mscx	06-3	.mscx	ba6ab822d6a40278ca70a58f173909bf	309	-1	2/4	2.3.2	1795	1822	
./10-3.mscx	10-3	.mscx	62e90265ce9d7172a71deaf6e92fe79d	350	1	3/8	2.3.2	1795	1822	
./11-1.mscx	11-1	.mscx	bad5b220998bed0bdbe6cda3bd1c9cdc	0	-2	4/4	2.3.2	1795	1822	
./11-2.mscx	11-2	.mscx	112de5dde699de9a0c2944a5bf1072bf	0	-3	9/8	2.3.2	1795	1822	
