mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.c.i{		c	i		i		i					{	m	1	1	0, -3, 1		0	0
2	2	0	0	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
2	2	1/4	1/4	3/4	1	1	i64		c	i		i64		i		64				m	1	1	1, 0, -3		0	1
2	2	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
3	3	1/2	1/2	3/4	1	1	i		c	i		i		i						m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	3/4	1	1	V43		c	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
5	5	0	0	3/4	1	1	#viio65		c	i		#viio65		#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
5	5	1/2	1/2	3/4	1	1	#viio6		c	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
6	6	0	0	3/4	1	1	#viio64		c	i		#viio64		#vii	o	64				o	1	1	-1, 5, 2		5	-1
6	6	1/4	1/4	3/4	1	1	#viio		c	i		#viio		#vii	o					o	1	1	5, 2, -1		5	5
6	6	1/2	1/2	3/4	1	1	#viio64		c	i		#viio64		#vii	o	64				o	1	1	-1, 5, 2		5	-1
7	7	1/2	1/2	3/4	1	1	#viio65		c	i		#viio65		#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
8	8	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
9	9	0	0	3/4	1	1	i		c	i		i		i						m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
10	10	0	0	3/4	1	1	#viio43		c	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
10	10	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
11	11	0	0	3/4	1	1	i64		c	i		i64		i		64				m	1	1	1, 0, -3		0	1
11	11	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
12	12	0	0	3/4	1	1	#viio43		c	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
12	12	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
13	13	0	0	3/4	1	1	i64		c	i		i64		i		64				m	1	1	1, 0, -3		0	1
13	13	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
14	14	0	0	3/4	1	1	#viio43(4)		c	i		#viio43(4)		#vii	o	43	4			o7	1	1	-1, -4, 5, -3		5	-1
14	14	1/4	1/4	3/4	1	1	#viio43		c	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
14	14	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
15	15	0	0	3/4	1	1	#viio6(2)		c	i		#viio6(2)		#vii	o	6	2			o	1	1	2, -1, 0		5	2
15	15	1/4	1/4	3/4	1	1	#viio6		c	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
15	15	1/2	1/2	3/4	1	1	VI6		c	i		VI6		VI		6				M	1	1	0, -3, -4		-4	0
16	16	0	0	3/4	1	1	#viio7		c	i		#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
16	16	1/4	1/4	3/4	1	1	V6		c	i		V6		V		6				M	1	1	5, 2, 1		1	5
17	17	1/4	1/4	3/4	1	1	#viio7		c	i		#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
18	18	0	0	3/4	1	1	i		c	i		i		i						m	1	1	0, -3, 1		0	0
19	19	1/4	1/4	3/4	1	1	iio6		c	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
20	20	0	0	3/4	1	1	V(64)		c	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
21	21	1/4	1/4	3/4	1	1	V		c	i		V		V						M	1	1	1, 5, 2		1	1
21	21	1/2	1/2	3/4	1	1	V7		c	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
22	22	0	0	3/4	1	1	i}{		c	i		i		i					}{	m	1	1	0, -3, 1		0	0
22	22	1/2	1/2	3/4	1	1	i6		c	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
23	23	0	0	3/4	1	1	i64		c	i		i64		i		64				m	1	1	1, 0, -3		0	1
23	23	1/4	1/4	3/4	1	1	i		c	i		i		i						m	1	1	0, -3, 1		0	0
24	24	0	0	3/4	1	1	V6		c	i		V6		V		6				M	1	1	5, 2, 1		1	5
24	24	1/2	1/2	3/4	1	1	V64		c	i		V64		V		64				M	1	1	2, 1, 5		1	2
25	25	0	0	3/4	1	1	V		c	i		V		V						M	1	1	1, 5, 2		1	1
25	25	1/4	1/4	3/4	1	1	V6		c	i		V6		V		6				M	1	1	5, 2, 1		1	5
26	26	0	0	3/4	1	1	i		c	i		i		i						m	1	1	0, -3, 1		0	0
