mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.375	0	0	4/4	1	1		c.i{		c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	11/8	11/8	0.125	11/32	11/32	4/4	1	1		i6		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	3/2	3/2	0.375	3/8	3/8	4/4	1	1		V64		c	i		V64		V		64					M	1	1	2, 1, 5		1	2
1	1	15/8	15/8	0.125	15/32	15/32	4/4	1	1		i		c	i		i		i							m	1	1	0, -3, 1		0	0
1	1	2	2	1.0	1/2	1/2	4/4	1	1		viio7/V		c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
1	1	3	3	0.875	3/4	3/4	4/4	1	1		V}		c	i		V		V						}	M	1	1	1, 5, 2		1	1
1	1	31/8	31/8	1.625	31/32	31/32	4/4	1	1		#viio2{		c	i		#viio2		#vii	o	2				{	o7	1	1	-4, 5, 2, -1		5	-4
2	2	11/2	11/2	0.375	3/8	3/8	4/4	1	1		V		c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	47/8	47/8	0.125	15/32	15/32	4/4	1	1		#viio43		c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
2	2	6	6	1.0	1/2	1/2	4/4	1	1		i6(#762)		c	i		i6(#762)		i		6	#762				m	1	1	-3, -4, 2, 5		0	-3
2	2	7	7	0.875	3/4	3/4	4/4	1	1		i6}		c	i		i6		i		6				}	m	1	1	-3, 1, 0		0	-3
2	2	63/8	63/8	1.625	31/32	31/32	4/4	1	1		viio2/V{		c	i		viio2/V		vii	o	2		V		{	o7	1	1	-3, 6, 3, 0		6	-3
3	3	19/2	19/2	0.375	3/8	3/8	4/4	1	1		V/V		c	i		V/V		V				V			M	1	1	2, 6, 3		2	2
3	3	79/8	79/8	1.125	15/32	15/32	4/4	1	1		viio43/V		c	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
3	3	11	11	0.375	3/4	3/4	4/4	1	1		V6		c	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	91/8	91/8	0.125	27/32	27/32	4/4	1	1		viio2/V		c	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
3	3	23/2	23/2	0.375	7/8	7/8	4/4	1	1		V/V		c	i		V/V		V				V			M	1	1	2, 6, 3		2	2
3	3	95/8	95/8	1.125	31/32	31/32	4/4	1	1		viio43/V		c	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
4	4	13	13	0.5	1/4	1/4	4/4	1	1		V6		c	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	27/2	27/2	0.5	3/8	3/8	4/4	1	1		V2/iv		c	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
4	4	14	14	1.0	1/2	1/2	4/4	1	1		i6/iv	ii6/III	c	i		i6/iv		i		6		iv			m	1	1	-4, 0, -1		-1	-4
4	4	15	15	1.0	3/4	3/4	4/4	1	1		V7/III		c	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
5	5	16	16	2.0	0	0	4/4	1	1		I/III|PAC}{		c	i		I/III		I				III	PAC	}{	M	1	1	-3, 1, -2		-3	-3
5	5	18	18	0.5	1/2	1/2	4/4	1	1		ii2(2)/III		c	i		ii2(2)/III		ii		2	2	III			mm7	1	1	-3, 1, -4, 0		-1	-3
5	5	37/2	37/2	0.5	5/8	5/8	4/4	1	1		ii2/III		c	i		ii2/III		ii		2		III			mm7	1	1	-3, -1, -4, 0		-1	-3
5	5	19	19	0.5	3/4	3/4	4/4	1	1		#viio65		c	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
5	5	39/2	39/2	0.5	7/8	7/8	4/4	1	1		iv64		c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
6	6	20	20	1.0	0	0	4/4	1	1		#viio7		c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
6	6	21	21	1.0	1/4	1/4	4/4	1	1		V7/III		c	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	22	22	0.5	1/2	1/2	4/4	1	1		#viio2(b6)/ii		c	i		#viio2(b6)/ii		#vii	o	2	b6	ii			o7	1	1	-2, 7, 4, -4		7	-2
6	6	45/2	45/2	0.5	5/8	5/8	4/4	1	1		#viio2/ii		c	i		#viio2/ii		#vii	o	2		ii			o7	1	1	-2, 7, 4, 1		7	-2
6	6	23	23	0.5	3/4	3/4	4/4	1	1		V/ii		c	i		V/ii		V				ii			M	1	1	3, 7, 4		3	3
6	6	47/2	47/2	0.5	7/8	7/8	4/4	1	1		#viio43/ii		c	i		#viio43/ii		#vii	o	43		ii			o7	1	1	1, -2, 7, 4		7	1
7	7	24	24	2.0	0	0	4/4	1	1		V6/V		c	i		V6/V		V		6		V			M	1	1	6, 3, 2		2	6
7	7	26	26	0.5	1/2	1/2	4/4	1	1		#viio43(2)	iio65	c	i		#viio43(2)		#vii	o	43	2				o7	1	1	-1, -4, 0, 2		5	-1
7	7	53/2	53/2	0.5	5/8	5/8	4/4	1	1		#viio43		c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
7	7	27	27	1.0	3/4	3/4	4/4	1	1		#viio6		c	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
8	8	28	28	0.5	0	0	4/4	1	1		#viio7(#2)		c	i		#viio7(#2)		#vii	o	7	#2				o7	1	1	5, 7, -1, -4		5	5
8	8	57/2	57/2	0.5	1/8	1/8	4/4	1	1		#viio7		c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
8	8	29	29	1.0	1/4	1/4	4/4	1	1		#viio2		c	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
8	8	30	30	0.5	1/2	1/2	4/4	1	1		V7(#6)		c	i		V7(#6)		V		7	#6				Mm7	1	1	1, 5, 2, 4		1	1
8	8	61/2	61/2	0.5	5/8	5/8	4/4	1	1		V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	31	31	1.0	3/4	3/4	4/4	1	1		iv6		c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
9	9	32	32	2.0	0	0	4/4	1	1		V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	34	34	2.0	1/2	1/2	4/4	1	1		VI		c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	36	36	1.5	0	0	4/4	1	1		i	VI	c	i		i		i							m	1	1	0, -3, 1		0	0
10	10	75/2	75/2	0.5	3/8	3/8	4/4	1	1		ii%65		c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
11	10	38	38	1.0	0	1/2	4/4	1	1		V(64)		c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
11	10	39	39	0.5	1/4	3/4	4/4	1	1		V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	79/2	79/2	0.5	3/8	7/8	4/4	1	1		V7(9)		c	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
12	11	40	40	3.0	0	0	2/2	1	1		i[i|PAC}{		c	i	i	i		i					PAC	}{	m	1	1	0, -3, 1		0	0
12	11	43	43	1.0	3/4	3/4	2/2	1	1		V7/iv		c	i	i	V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	12	44	44	1.0	0	0	2/2	1	1		iv6		c	i	i	iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
13	12	45	45	1.0	1/4	1/4	2/2	1	1		V/iv		c	i	i	V/iv		V				iv			M	1	1	0, 4, 1		0	0
13	12	46	46	1.0	1/2	1/2	2/2	1	1		iv		c	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
