mc	mn	onset	label
1	0	3/4	.f.i
4	3	0	V65
6	5	0	i
7	6	0	#viio6
8	7	0	i6
8	7	1/2	iio6
9	8	0	V(4)
9	8	1/4	V\\
9	8	3/4	v
12	11	0	III.IVM2-ii7(2)
13	12	0	ii7
14	13	0	V43
15	14	0	I
16	15	0	ii6(2)
16	15	1/4	ii6
16	15	1/2	V65/V
17	16	0	V\\
17	16	3/4	I6
18	17	0	ii6(2)
18	17	1/4	ii6
18	17	1/2	V65/V
19	18	0	V\\
19	18	3/4	I6
20	19	0	ii6(2)
20	19	1/4	ii6
20	19	1/2	V65/V
21	20	0	V[V\\
21	20	3/4	V7(+b9)
23	22	1/2	I64
23	22	3/4	V7(+b9)
25	24	1/2	I64
25	24	3/4	V7(+b9)]
26	25	1/2	V2
27	26	0	I6
27	26	1/2	V6
28	27	0	I
28	27	1/2	V43/V
29	28	0	V
29	28	1/2	V43/V
30	29	0	V
30	29	1/2	viio43
31	30	0	I6
31	30	1/2	viio43
32	31	0	I6
32	31	1/2	V6
33	32	0	I
33	32	1/2	V43
34	33	0	I6
35	34	0	ii6
36	35	0	V(64)
37	36	0	V2
38	37	0	I6
39	38	0	ii6
40	39	0	V(64)
41	40	0	V7
42	41	0	I\\
42	41	1/2	viio7/V
43	42	0	V(64)
43	42	1/2	V7
44	43	0	I
44	43	1/2	viio7/V
45	44	0	V(64)
45	44	1/2	V7
46	45	0	I
46	45	1/2	viio7/V
47	46	0	V(64)
47	46	1/2	V7
48	47	0	I(974)
49	48	0	I\\
53	51	0	V65
55	53	0	iv.viio65/V
56	54	0	.Ger6
57	55	0	V[V\\
57	55	3/4	V7(+9)
59	57	1/2	I64
59	57	3/4	V7(+9)
61	59	1/2	I64
61	59	3/4	V7(+9)]
62	60	1/2	V2
63	61	0	i6
63	61	1/2	V64
64	62	0	i
64	62	1/2	v.It6
65	63	0	V[V\\
65	63	3/4	V7(+9)
67	65	1/2	i64
67	65	3/4	V7(+9)
69	67	1/2	i64]
69	67	3/4	iio64
70	68	0	V7
71	69	0	V7(2)
71	69	3/8	V7
71	69	1/2	i
71	69	3/4	iv.iio64
72	70	0	V7
73	71	0	V7(2)
73	71	3/8	V7
73	71	1/2	i
73	71	3/4	III.iio64
74	72	0	V7
75	73	0	V7(2)
75	73	1/4	V7
76	74	0	I6
77	75	0	ii6
78	76	0	viio6
79	77	0	iii
79	77	1/2	i.V
80	78	0	i6
81	79	0	iv
82	80	0	viio65/V
83	81	0	V[V\\
84	82	0	i64
85	83	0	V7
86	84	0	i64
86	84	1/2	viio/V
87	85	0	V
88	86	0	i64
89	87	0	V7
90	88	0	i64
90	88	1/2	viio/V
91	89	0	V
91	89	1/2	V7(+9)
92	90	0	i64
92	90	1/2	viio/V
93	91	0	V
93	91	1/2	V7(+9)
94	92	0	i64
94	92	1/2	viio/V
95	93	0	V\\
97	95	0	.bII6(4)]
98	96	0	.bII6
99	97	0	V2
100	98	0	i6
101	99	0	V2/VII
102	100	0	#viio6
103	101	0	i\\
105	103	0	V65
107	105	0	i
108	106	0	#viio6
109	107	0	i6
109	107	1/2	iio6
110	108	0	V(4)
110	108	1/4	V\\
110	108	3/4	i
113	111	0	.bIIM2-vii(2)
114	112	0	vo6
115	113	0	V2(2)/iv
115	113	1/2	V2/iv
116	114	0	iv6(2)
116	114	1/2	iv6
117	115	0	viio6/V
118	116	0	viio65/V
119	117	0	V
120	118	0	V(64)
120	118	1/4	V7
120	118	1/2	VI
120	118	3/4	.It6
121	119	0	V[V\\
121	119	3/4	V7(+9)
123	121	1/2	i64
123	121	3/4	V7(+9)
125	123	1/2	i64
125	123	3/4	V7(+9)]
126	124	1/2	V2
127	125	0	i6
127	125	1/2	#viio6
128	126	0	i
128	126	1/2	.It6
129	127	0	V
129	127	1/2	.It6
130	128	0	V
130	128	1/2	#viio43
131	129	0	i6
131	129	1/2	#viio43
132	130	0	i6
132	130	1/2	V6
133	131	0	i
133	131	1/2	V43
134	132	0	i6
135	133	0	iio6
136	134	0	V(64)
137	135	0	V2
138	136	0	i6
139	137	0	iio6
140	138	0	V(64)
141	139	0	V
142	140	0	i\\
142	140	1/2	.Ger6
143	141	0	V(64)
143	141	1/2	V7
144	142	0	i
144	142	1/2	.Ger6
145	143	0	V(64)
145	143	1/2	V7
146	144	0	i
146	144	1/2	.Ger6
147	145	0	V(64)
147	145	1/2	V2
148	146	0	V65/iv
149	147	0	iv
150	148	0	V65/III
151	149	0	III
151	149	3/4	VIM65
152	150	0	iio
152	150	1/4	V65
152	150	1/2	i
152	150	3/4	VI
153	151	0	ii%65
153	151	1/2	V7
154	152	0	i\\
