mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	3.0	0	0	2/2	2	1		f.i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
2	1	3	3	1.0	1/4	3/4	2/2	2	1		i(9#764)	f	i		i(9#764)		i			9#764				m	1	1	0, -1, -4	2, 5	0	0
3	2	4	4	3.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
3	2	7	7	1.0	3/4	3/4	2/2	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	8	8	3.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
4	3	11	11	1.0	3/4	3/4	2/2	2	1		i(9#764)	f	i		i(9#764)		i			9#764				m	1	1	0, -1, -4	2, 5	0	0
5	4	12	12	3.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
5	4	15	15	1.0	3/4	3/4	2/2	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	5	16	16	2.0	0	0	2/2	2	1		i|IAC}	f	i		i		i					IAC	}	m	1	1	0, -3, 1		0	0
6	5	18	18	2.0	1/2	1/2	2/2	2	1		V65/III{	f	i		V65/III		V		65		III		{	Mm7	1	1	2, -1, -4, -2		-2	2
7	6	20	20	2.0	0	0	2/2	2	1		III	f	i		III		III							M	1	1	-3, 1, -2		-3	-3
7	6	22	22	2.0	1/2	1/2	2/2	2	1		V65/III	f	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
8	7	24	24	2.0	0	0	2/2	2	1		III	f	i		III		III							M	1	1	-3, 1, -2		-3	-3
8	7	26	26	1.0	1/2	1/2	2/2	2	1		V65/III	f	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
8	7	27	27	1.0	3/4	3/4	2/2	2	1		#viio6	f	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
9	8	28	28	1.0	0	0	2/2	2	1		i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
9	8	29	29	1.0	1/4	1/4	2/2	2	1		#viio	f	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
9	8	30	30	1.0	1/2	1/2	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
9	8	31	31	1.0	3/4	3/4	2/2	2	1		It6	f	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
10	9	32	32	2.0	0	0	2/2	2	1		V|HC}	f	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
10	9	34	34	2.0	1/2	1/2	2/2	2	1		V65{	f	i		V65		V		65				{	Mm7	1	1	5, 2, -1, 1		1	5
11	10	36	36	2.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
11	10	38	38	2.0	1/2	1/2	2/2	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
12	11	40	40	2.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
12	11	42	42	2.0	1/2	1/2	2/2	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	44	44	3.0	0	0	2/2	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
13	12	47	47	1.0	3/4	3/4	2/2	2	1		v.V65/V	f	v		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
14	13	48	48	3.0	0	0	2/2	2	1		V|HC}	f	v		V		V					HC	}	M	1	1	1, 5, 2		1	1
14	13	50	50	0.0	1/2	1/2	2/2	2	1		{	f	v										{		1	1				
14	13	51	51	1.0	3/4	3/4	2/2	2	1		V(#9#764)	f	v		V(#9#764)		V			#9#764				M	1	1	1, 0, -3	3, 6	1	1
15	14	52	52	7.0	0	0	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
16	15	59	59	1.0	3/4	3/4	2/2	2	1		V(#9#764)	f	v		V(#9#764)		V			#9#764				M	1	1	1, 0, -3	3, 6	1	1
17	16	60	60	6.0	0	0	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
18	17	66	66	18.0	1/2	1/2	2/2	2	1		V7|HC}	f	v		V7		V		7			HC	}	Mm7	1	1	1, 5, 2, -1		1	1
23	22	84	84	1.0	0	0	2/2	2	1		i{	f	v		i		i						{	m	1	1	0, -3, 1		0	0
23	22	85	85	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
23	22	86	86	1.0	1/2	1/2	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
23	22	87	87	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
24	23	88	88	1.0	0	0	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
24	23	89	89	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	23	90	90	1.0	1/2	1/2	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
24	23	91	91	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
25	24	92	92	1.0	0	0	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
25	24	93	93	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
25	24	94	94	1.0	1/2	1/2	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
25	24	95	95	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
26	25	96	96	1.0	0	0	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
26	25	97	97	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
26	25	98	98	1.0	1/2	1/2	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
26	25	99	99	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
27	26	100	100	1.0	0	0	2/2	2	1		i64	f	v		i64		i		64					m	1	1	1, 0, -3		0	1
27	26	101	101	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
27	26	102	102	1.0	1/2	1/2	2/2	2	1		bIIM65	f	v		bIIM65		bII	M	65					MM7	1	1	-1, -4, 0, -5		-5	-1
27	26	103	103	1.0	3/4	3/4	2/2	2	1		vo	f	v		vo		v	o						o	1	1	1, -2, -5		1	1
28	27	104	104	1.0	0	0	2/2	2	1		V65/iv	f	v		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
28	27	105	105	1.0	1/4	1/4	2/2	2	1		iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
28	27	106	106	1.0	1/2	1/2	2/2	2	1		V65	f	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
28	27	107	107	1.0	3/4	3/4	2/2	2	1		i	f	v		i		i							m	1	1	0, -3, 1		0	0
29	28	108	108	1.0	0	0	2/2	2	1		#viio6	f	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
29	28	109	109	1.0	1/4	1/4	2/2	2	1		i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
29	28	110	110	1.0	1/2	1/2	2/2	2	1		#viio43	f	v		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
29	28	111	111	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
30	29	112	112	2.0	0	0	2/2	2	1		V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
30	29	114	114	2.0	1/2	1/2	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
31	30	116	116	1.0	0	0	2/2	2	1		i|IAC}{	f	v		i		i					IAC	}{	m	1	1	0, -3, 1		0	0
31	30	117	117	1.0	1/4	1/4	2/2	2	1		VI	f	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
31	30	118	118	1.0	1/2	1/2	2/2	2	1		bIIM65	f	v		bIIM65		bII	M	65					MM7	1	1	-1, -4, 0, -5		-5	-1
31	30	119	119	1.0	3/4	3/4	2/2	2	1		vo	f	v		vo		v	o						o	1	1	1, -2, -5		1	1
32	31	120	120	1.0	0	0	2/2	2	1		V65/iv	f	v		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
32	31	121	121	1.0	1/4	1/4	2/2	2	1		iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
32	31	122	122	1.0	1/2	1/2	2/2	2	1		V65	f	v		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
32	31	123	123	1.0	3/4	3/4	2/2	2	1		i	f	v		i		i							m	1	1	0, -3, 1		0	0
33	32	124	124	1.0	0	0	2/2	2	1		V43	f	v		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
33	32	125	125	1.0	1/4	1/4	2/2	2	1		i6	f	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
33	32	126	126	1.0	1/2	1/2	2/2	2	1		iio6	f	v		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
33	32	127	127	1.0	3/4	3/4	2/2	2	1		viio7/V	f	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
34	33	128	128	2.0	0	0	2/2	2	1		V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
34	33	130	130	2.0	1/2	1/2	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
35	34	132	132	4.0	0	0	2/2	2	1		i|PAC}	f	v		i		i					PAC	}	m	1	1	0, -3, 1		0	0
35	34	134	134	0.0	1/2	1/2	2/2	2	1		{	f	v										{		1	1				
36	35	136	136	3.0	0	0	2/2	2	1		V6/III	f	v		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
36	35	139	139	1.0	3/4	3/4	2/2	2	1		V65/III	f	v		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
37	36	140	140	2.0	0	0	2/2	2	1		III	f	v		III		III							M	1	1	-3, 1, -2		-3	-3
37	36	142	142	2.0	1/2	1/2	2/2	2	1		V6/iv	f	v		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
38	37	144	144	2.0	0	0	2/2	2	1		iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
38	37	146	146	2.0	1/2	1/2	2/2	2	1		viio6/III	f	v		viio6/III		vii	o	6		III			o	1	1	-1, -4, 2		2	-1
39	38	148	148	2.0	0	0	2/2	2	1		III6	f	v		III6		III		6					M	1	1	1, -2, -3		-3	1
39	38	150	150	2.0	1/2	1/2	2/2	2	1		#viio6/iv	f	v		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
40	39	152	152	2.0	0	0	2/2	2	1		iv6	f	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
40	39	154	154	2.0	1/2	1/2	2/2	2	1		Fr6	f	v		Fr6	Fr	V		43	b5	V			Fr	1	1	-4, 0, 2, 6		2	-4
41	40	156	156	4.0	0	0	2/2	2	1		V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
42	41	160	160	4.0	0	0	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
43	42	164	164	4.0	0	0	2/2	2	1		i|PAC}	f	v		i		i					PAC	}	m	1	1	0, -3, 1		0	0
43	42	166	166	0.0	1/2	1/2	2/2	2	1		{	f	v										{		1	1				
44	43	168	168	3.0	0	0	2/2	2	1		V6/III	f	v		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
44	43	171	171	1.0	3/4	3/4	2/2	2	1		V65/III	f	v		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
45	44	172	172	2.0	0	0	2/2	2	1		III	f	v		III		III							M	1	1	-3, 1, -2		-3	-3
45	44	174	174	2.0	1/2	1/2	2/2	2	1		V6/iv	f	v		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
46	45	176	176	2.0	0	0	2/2	2	1		iv	f	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
46	45	178	178	2.0	1/2	1/2	2/2	2	1		viio6/III	f	v		viio6/III		vii	o	6		III			o	1	1	-1, -4, 2		2	-1
47	46	180	180	2.0	0	0	2/2	2	1		III6	f	v		III6		III		6					M	1	1	1, -2, -3		-3	1
47	46	182	182	2.0	1/2	1/2	2/2	2	1		#viio6/iv	f	v		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
48	47	184	184	2.0	0	0	2/2	2	1		iv6	f	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
48	47	186	186	2.0	1/2	1/2	2/2	2	1		Fr6	f	v		Fr6	Fr	V		43	b5	V			Fr	1	1	-4, 0, 2, 6		2	-4
49	48	188	188	4.0	0	0	2/2	2	1		V(64)	f	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
50	49	192	192	4.0	0	0	2/2	2	1		V	f	v		V		V							M	1	1	1, 5, 2		1	1
51	50	196	196	3.0	0	0	2/2	2	1		i|PAC}	f	v		i		i					PAC	}	m	1	1	0, -3, 1		0	0
51	50	198	198	0.0	1/2	1/2	2/2	2	1		{	f	v										{		1	1				
