mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	4/4	2	1	D.I{		D	I		I		I							{	M	0	0	0, 4, 1		0	0
2	1	0	0	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
3	2	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	4/4	2	1	V		D	I		V		V								M	0	0	1, 5, 2		1	1
4	3	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
5	4	0	0	4/4	2	1	V|HC}		D	I		V		V						HC	}	M	0	0	1, 5, 2		1	1
5	4	3/4	3/4	4/4	2	1	I6{		D	I		I6		I		6					{	M	0	0	4, 1, 0		0	4
6	5	0	0	4/4	2	1	viio6		D	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
6	5	1/4	1/4	4/4	2	1	vi6		D	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
6	5	1/2	1/2	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
6	5	3/4	3/4	4/4	2	1	vi65		D	I		vi65		vi		65						mm7	0	0	0, 4, 1, 3		3	0
7	6	0	0	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
7	6	1/4	1/4	4/4	2	1	IV6(+2)		D	I		IV6(+2)		IV		6	+2					M	0	0	3, 0, -1	1	-1	3
7	6	1/2	1/2	4/4	2	1	iii6		D	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
7	6	3/4	3/4	4/4	2	1	IV6		D	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
8	7	0	0	4/4	2	1	iii6		D	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
8	7	1/4	1/4	4/4	2	1	ii6		D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
8	7	1/2	1/2	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
8	7	3/4	3/4	4/4	2	1	ii65		D	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
9	8	0	0	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
9	8	1/4	1/4	4/4	2	1	viio6		D	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
9	8	1/2	1/2	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
9	8	3/4	3/4	4/4	2	1	#viio/ii		D	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
10	9	1/4	1/4	4/4	2	1	ii6		D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
10	9	1/2	1/2	4/4	2	1	V7		D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
11	10	0	0	4/4	2	1	I|PAC}		D	I		I		I						PAC	}	M	0	0	0, 4, 1		0	0
11	10	3/4	3/4	4/4	2	1	I6{		D	I		I6		I		6					{	M	0	0	4, 1, 0		0	4
12	11	0	0	4/4	2	1	viio6		D	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
