mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	1	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	4.0	0	0	4/4	1	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
3	3	8	8	4.0	0	0	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	12	6.0	0	0	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	18	18	1.0	1/2	1/2	4/4	1	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	19	19	1.0	3/4	3/4	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	20	20	2.0	0	0	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	22	22	1.0	1/2	1/2	4/4	1	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	23	23	1.0	3/4	3/4	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	24	1.0	0	0	4/4	1	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	25	25	1.0	1/4	1/4	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
7	7	26	26	1.0	1/2	1/2	4/4	1	1		ii65		C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	27	27	1.0	3/4	3/4	4/4	1	1		ii7		C	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	28	28	2.0	0	0	4/4	1	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
