mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	9/8	2	1		C.I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/8	3/8	9/8	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	0	0	9/8	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
2	2	3/8	3/8	9/8	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	9/8	2	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	3/8	3/8	9/8	2	1		V2	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	0	0	9/8	2	1		V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	3/8	3/8	9/8	2	1		V2	C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	3/4	3/4	9/8	2	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	9/8	2	1		I	C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	3/8	3/8	9/8	2	1		IV6	C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
5	5	3/4	3/4	9/8	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	0	0	9/8	2	1		IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	3/8	3/8	9/8	2	1		ii6(#7)	C	I		ii6(#7)		ii		6	#7				m	0	0	-1, 3, 7		2	-1
6	6	3/4	3/4	9/8	2	1		ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	0	0	9/8	2	1		V(64)	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	3/4	3/4	9/8	2	1		V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	9/8	2	1		I(974)	C	I		I(974)		I			974				M	0	0	0, -1, 1	2, 5	0	0
8	8	3/8	3/8	9/8	2	1		I|PAC}	C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	0	0	9/8	2	1		I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	3/4	3/4	9/8	2	1		I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	0	0	9/8	2	1		V(64)	C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
