mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1		Db.I{	Db	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	2	1		IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	2	1.5	0	0	2/4	2	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
2	2	7/2	0.5	3/8	3/8	2/4	2	1		ii65	Db	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	4	1.0	0	0	2/4	2	1		V(4)	Db	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
3	3	5	1.0	1/4	1/4	2/4	2	1		V	Db	I		V		V							M	0	0	1, 5, 2		1	1
4	4	6	2.0	0	0	2/4	2	1		I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	8	1.0	0	0	2/4	2	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
5	5	9	1.0	1/4	1/4	2/4	2	1		IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	10	1.5	0	0	2/4	2	1		I	Db	I		I		I							M	0	0	0, 4, 1		0	0
6	6	23/2	0.5	3/8	3/8	2/4	2	1		Ger6	Db	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
7	7	12	1.0	0	0	2/4	2	1		V7(4)	Db	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	13	1.0	1/4	1/4	2/4	2	1		V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	14	1.0	0	0	2/4	2	1		I64}	Db	I		I64		I		64				}	M	0	0	1, 0, 4		0	1
8	8	15	1.0	1/4	1/4	2/4	2	1		I|PAC	Db	I		I		I					PAC		M	0	0	0, 4, 1		0	0
9	9	16	1.0	0	0	2/4	2	1		V2{	Db	I		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
