mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	6/8	2	1		Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1	6.0	0	0	6/8	2	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
4	3	7	1.5	0	0	6/8	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	17/2	1.5	3/8	3/8	6/8	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5	4	10	3.0	0	0	6/8	2	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
6	5	13	1.5	0	0	6/8	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	29/2	1.5	3/8	3/8	6/8	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
7	6	16	3.0	0	0	6/8	2	1		I|PAC}	Eb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
7	6	18	0.0	1/2	1/2	6/8	2	1		{	Eb	I									{		0	0				
8	7	19	6.0	0	0	6/8	2	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
10	9	25	1.5	0	0	6/8	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	53/2	1.5	3/8	3/8	6/8	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
11	10	28	3.0	0	0	6/8	2	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
12	11	31	1.5	0	0	6/8	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	65/2	1.5	3/8	3/8	6/8	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
13	12	34	1.5	0	0	6/8	2	1		I|PAC}	Eb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
13	12	71/2	1.5	3/8	3/8	6/8	2	1		V{	Eb	I		V	V						{	M	0	0	1, 5, 2		1	1
14	13	37	1.5	0	0	6/8	2	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
14	13	77/2	1.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
15	14	40	1.5	0	0	6/8	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	83/2	1.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
16	15	43	1.5	0	0	6/8	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	15	89/2	1.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
17	16	46	1.5	0	0	6/8	2	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
17	16	95/2	4.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
19	18	52	1.5	0	0	6/8	2	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
19	18	107/2	1.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
20	19	55	1.5	0	0	6/8	2	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
20	19	113/2	1.5	3/8	3/8	6/8	2	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
21	20	58	3.0	0	0	6/8	2	1		I|IAC}	Eb	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
21	20	59	0.0	1/4	1/4	6/8	2	1		{	Eb	I									{		0	0				
22	21	61	1.5	0	0	6/8	2	1		IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
22	21	125/2	1.5	3/8	3/8	6/8	2	1		IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	22	64	1.5	0	0	6/8	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	22	131/2	1.5	3/8	3/8	6/8	2	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
24	23	67	1.5	0	0	6/8	2	1		IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
24	23	137/2	1.5	3/8	3/8	6/8	2	1		IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
25	24	70	1.5	0	0	6/8	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	24	143/2	1.5	3/8	3/8	6/8	2	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
26	25	73	1.5	0	0	6/8	2	1		IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
26	25	149/2	1.5	3/8	3/8	6/8	2	1		IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	26	76	1.5	0	0	6/8	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
27	26	155/2	1.5	3/8	3/8	6/8	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
28	27	79	1.5	0	0	6/8	2	1		V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
28	27	161/2	1.5	3/8	3/8	6/8	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	28	82	3.0	0	0	6/8	2	1		I|PAC}	Eb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
29	28	167/2	0.0	3/8	3/8	6/8	2	1		{	Eb	I									{		0	0				
30	29	85	1.5	0	0	6/8	2	1		iv6	Eb	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
30	29	173/2	1.5	3/8	3/8	6/8	2	1		iv	Eb	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
31	30	88	1.5	0	0	6/8	2	1		i6	Eb	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
31	30	179/2	1.5	3/8	3/8	6/8	2	1		i	Eb	I		i	i							m	0	0	0, -3, 1		0	0
32	31	91	1.5	0	0	6/8	2	1		iv6	Eb	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
32	31	185/2	1.5	3/8	3/8	6/8	2	1		iv	Eb	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
33	32	94	1.5	0	0	6/8	2	1		i6	Eb	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
33	32	191/2	1.5	3/8	3/8	6/8	2	1		i	Eb	I		i	i							m	0	0	0, -3, 1		0	0
34	33	97	1.5	0	0	6/8	2	1		V.viio6	Eb	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
34	33	197/2	1.5	3/8	3/8	6/8	2	1		ii2	Eb	V		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
35	34	100	10.5	0	0	6/8	2	1		V65	Eb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
38	37	221/2	1.5	3/8	3/8	6/8	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
39	38	112	13.5	0	0	6/8	2	1		V65	Eb	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	42	251/2	1.5	3/8	3/8	6/8	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
44	43	127	1.5	0	0	6/8	2	1		#viio6/vi	Eb	V		#viio6/vi	#vii	o	6		vi			o	0	0	5, 2, 8		8	5
44	43	257/2	1.5	3/8	3/8	6/8	2	1		vi	Eb	V		vi	vi							m	0	0	3, 0, 4		3	3
45	44	130	1.5	0	0	6/8	2	1		viio6/IV	Eb	V		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
45	44	263/2	1.5	3/8	3/8	6/8	2	1		IV	Eb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
46	45	133	1.5	0	0	6/8	2	1		#viio6/ii	Eb	V		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
46	45	269/2	1.5	3/8	3/8	6/8	2	1		ii	Eb	V		ii	ii							m	0	0	2, -1, 3		2	2
47	46	136	9.0	0	0	6/8	2	1		ii6	Eb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
50	49	145	1.5	0	0	6/8	2	1		V(64)	Eb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
50	49	293/2	1.5	3/8	3/8	6/8	2	1		V7	Eb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
51	50	148	1.5	0	0	6/8	2	1		V65|EC	Eb	V		V65	V		65			EC		Mm7	0	0	5, 2, -1, 1		1	5
51	50	299/2	1.5	3/8	3/8	6/8	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
52	51	151	1.5	0	0	6/8	2	1		V43/vi	Eb	V		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
52	51	305/2	1.5	3/8	3/8	6/8	2	1		vi	Eb	V		vi	vi							m	0	0	3, 0, 4		3	3
53	52	154	1.5	0	0	6/8	2	1		V43/IV	Eb	V		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
53	52	311/2	1.5	3/8	3/8	6/8	2	1		IV	Eb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
54	53	157	1.5	0	0	6/8	2	1		V43/ii	Eb	V		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
54	53	317/2	1.5	3/8	3/8	6/8	2	1		ii	Eb	V		ii	ii							m	0	0	2, -1, 3		2	2
55	54	160	12.0	0	0	6/8	2	1		ii6	Eb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
59	58	172	1.5	0	0	6/8	2	1		ii	Eb	V		ii	ii							m	0	0	2, -1, 3		2	2
59	58	347/2	1.5	3/8	3/8	6/8	2	1		ii64	Eb	V		ii64	ii		64					m	0	0	3, 2, -1		2	3
60	59	175	1.5	0	0	6/8	2	1		ii6	Eb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
60	59	353/2	1.5	3/8	3/8	6/8	2	1		ii64	Eb	V		ii64	ii		64					m	0	0	3, 2, -1		2	3
61	60	178	9.0	0	0	6/8	2	1		ii6	Eb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
64	63	187	1.5	0	0	6/8	2	1		V(64)	Eb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
64	63	377/2	1.5	3/8	3/8	6/8	2	1		V7	Eb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	64	190	15.0	0	0	6/8	2	1		I|PAC}{	Eb	V		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
70	69	205	3.0	0	0	6/8	2	1		V7	Eb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
71	70	208	22.5	0	0	6/8	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
78	77	461/2	1.5	3/8	3/8	6/8	2	1		I.V(6)	Eb	I		V(6)	V			6				M	0	0	1, 5, 4		1	1
79	78			0	0	6/8	2	1	1	V7|HC}	Eb	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
80	79			1/2	1/2	6/8	2	1	1	I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
81	79	232	7.0	0	0	6/8	2	1	2	V7|HC}	Eb	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
83	80	239	3.5	1/4	1/4	6/8	2	1		bIII.V{	Eb	bIII		V	V						{	M	0	0	1, 5, 2		1	1
84	81	485/2	1.5	3/8	3/8	6/8	2	1		V(6)	Eb	bIII		V(6)	V			6				M	0	0	1, 5, 4		1	1
85	82	244	4.5	0	0	6/8	2	1		V7|HC}	Eb	bIII		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
86	83	497/2	1.5	3/8	3/8	6/8	2	1		V{	Eb	bIII		V	V						{	M	0	0	1, 5, 2		1	1
87	84	250	1.5	0	0	6/8	2	1		I	Eb	bIII		I	I							M	0	0	0, 4, 1		0	0
87	84	503/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
88	85	253	1.5	0	0	6/8	2	1		I6	Eb	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
88	85	509/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
89	86	256	1.5	0	0	6/8	2	1		I6	Eb	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
89	86	515/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
90	87	259	1.5	0	0	6/8	2	1		V6	Eb	bIII		V6	V		6					M	0	0	5, 2, 1		1	5
90	87	521/2	4.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
92	89	265	1.5	0	0	6/8	2	1		V6	Eb	bIII		V6	V		6					M	0	0	5, 2, 1		1	5
92	89	533/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
93	90	268	1.5	0	0	6/8	2	1		V6	Eb	bIII		V6	V		6					M	0	0	5, 2, 1		1	5
93	90	539/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
94	91	271	1.5	0	0	6/8	2	1		I|IAC}	Eb	bIII		I	I					IAC	}	M	0	0	0, 4, 1		0	0
94	91	545/2	1.5	3/8	3/8	6/8	2	1		V{	Eb	bIII		V	V						{	M	0	0	1, 5, 2		1	1
95	92	274	1.5	0	0	6/8	2	1		I	Eb	bIII		I	I							M	0	0	0, 4, 1		0	0
95	92	551/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
96	93	277	1.5	0	0	6/8	2	1		I	Eb	bIII		I	I							M	0	0	0, 4, 1		0	0
96	93	557/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
97	94	280	1.5	0	0	6/8	2	1		I	Eb	bIII		I	I							M	0	0	0, 4, 1		0	0
97	94	563/2	1.5	3/8	3/8	6/8	2	1		V	Eb	bIII		V	V							M	0	0	1, 5, 2		1	1
98	95	283	3.0	0	0	6/8	2	1		I.V/#v	Eb	I		V/#v	V				#v			M	0	0	9, 13, 10		9	9
99	96	286	1.5	0	0	6/8	2	1		i/#v	Eb	I		i/#v	i				#v			m	0	0	8, 5, 9		8	8
99	96	575/2	4.5	3/8	3/8	6/8	2	1		i6/#v	Eb	I		i6/#v	i		6		#v			m	0	0	5, 9, 8		8	5
101	98	292	1.5	0	0	6/8	2	1		i/#v	Eb	I		i/#v	i				#v			m	0	0	8, 5, 9		8	8
101	98	587/2	1.5	3/8	3/8	6/8	2	1		i6/#v	Eb	I		i6/#v	i		6		#v			m	0	0	5, 9, 8		8	5
102	99	295	3.0	0	0	6/8	2	1		i/#v	Eb	I		i/#v	i				#v			m	0	0	8, 5, 9		8	8
103	100	298	12.0	0	0	6/8	2	1		VI.V	Eb	VI		V	V							M	0	0	1, 5, 2		1	1
107	104	310	1.5	0	0	6/8	2	1		i	Eb	VI		i	i							m	0	0	0, -3, 1		0	0
107	104	623/2	1.5	3/8	3/8	6/8	2	1		i6	Eb	VI		i6	i		6					m	0	0	-3, 1, 0		0	-3
108	105	313	1.5	0	0	6/8	2	1		i	Eb	VI		i	i							m	0	0	0, -3, 1		0	0
108	105	629/2	1.5	3/8	3/8	6/8	2	1		i6	Eb	VI		i6	i		6					m	0	0	-3, 1, 0		0	-3
109	106	316	1.5	0	0	6/8	2	1		i	Eb	VI		i	i							m	0	0	0, -3, 1		0	0
109	106	635/2	1.5	3/8	3/8	6/8	2	1		i6	Eb	VI		i6	i		6					m	0	0	-3, 1, 0		0	-3
110	107	319	3.0	0	0	6/8	2	1		i	Eb	VI		i	i							m	0	0	0, -3, 1		0	0
111	108	322	1.5	0	0	6/8	2	1		I/bVI	Eb	VI		I/bVI	I				bVI			M	0	0	-4, 0, -3		-4	-4
111	108	647/2	1.5	3/8	3/8	6/8	2	1		I6/bVI	Eb	VI		I6/bVI	I		6		bVI			M	0	0	0, -3, -4		-4	0
112	109	325	1.5	0	0	6/8	2	1		I/bVI	Eb	VI		I/bVI	I				bVI			M	0	0	-4, 0, -3		-4	-4
112	109	653/2	1.5	3/8	3/8	6/8	2	1		I6/bVI	Eb	VI		I6/bVI	I		6		bVI			M	0	0	0, -3, -4		-4	0
