mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.f.i[i{		f	i	i	i	i						{	m	1	1	0, -3, 1		0.0	0.0
2	1	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
3	2	1/2	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
3	2	5/4	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
4	3	0	i[i		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
4	3	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
5	4	0	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
5	4	3/4	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
6	5	0	i}		f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
6	5	1/2	V65/III{		f	i		V65/III	V			65		III	{	Mm7	1	1	2, -1, -4, -2		-2.0	2.0
7	6	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
7	6	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
8	7	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
8	7	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
8	7	3/4	#viio6		f	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
9	8	0	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
9	8	1/4	#viio		f	i		#viio	#vii		o					o	1	1	5, 2, -1		5.0	5.0
9	8	1/2	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
9	8	3/4	.It6		f	i		It6	vii	It	o	6	b3	V		M	1	1	-4, 0, 6		6.0	-4.0
10	9	0	V}		f	i		V	V						}	M	1	1	1, 5, 2		1.0	1.0
10	9	1/2	V65{		f	i		V65	V			65			{	Mm7	1	1	5, 2, -1, 1		1.0	5.0
11	10	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
11	10	1/2	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
12	11	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
