mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	7.0	0	0	4/4	2	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	7	7	1.0	3/4	3/4	4/4	2	1		V2/V		C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
3	3	8	8	8.0	0	0	4/4	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	16	16	7.0	0	0	4/4	2	1		IV/IV		C	I		IV/IV		IV				IV			M	0	0	-2, 2, -1		-2	-2
6	6	23	23	1.0	3/4	3/4	4/4	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
7	7	24	24	4.0	0	0	4/4	2	1		IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
8	8	28	28	4.0	0	0	4/4	2	1		iv6		C	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
9	9	32	32	3.0	0	0	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	35	35	1.0	3/4	3/4	4/4	2	1		iv6		C	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
10	10	36	36	1.0	0	0	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	37	37	1.0	1/4	1/4	4/4	2	1		iv6		C	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
10	10	38	38	1.0	1/2	1/2	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	39	39	1.0	3/4	3/4	4/4	2	1		iv6		C	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
11	11	40	40	4.0	0	0	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	44	44	4.0	0	0	4/4	2	1		i		C	I		i		i							m	0	0	0, -3, 1		0	0
13	13	48	48	4.0	0	0	4/4	2	1		V|HC}		C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
14	14	52	52	7.0	0	0	4/4	2	1		I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
15	15	59	59	1.0	3/4	3/4	4/4	2	1		V2/V		C	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
16	16	60	60	8.0	0	0	4/4	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	68	68	7.0	0	0	4/4	2	1		iv/vi		C	I		iv/vi		iv				vi			m	0	0	2, -1, 3		2	2
