mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	11	11/16	11/16	12/16	1	1	iv6		ab	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
14	12	0	0	12/16	1	1	V(64)		ab	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
14	12	3/8	3/8	12/16	1	1	V}		ab	i		V	V					}	M	1	1	1, 5, 2		1	1
14	12	9/16	9/16	12/16	1	1	V2		ab	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
14	12	5/8	5/8	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
14	12	11/16	11/16	12/16	1	1	V43		ab	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
15	13	0	0	12/16	1	1	i{		ab	i		i	i					{	m	1	1	0, -3, 1		0	0
15	13	3/8	3/8	12/16	1	1	V7(4)/III		ab	i		V7(4)/III	V		7	4	III		Mm7	1	1	-2, -3, -1, -4		-2	-2
15	13	9/16	9/16	12/16	1	1	V7/III		ab	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
16	14	0	0	12/16	1	1	III64		ab	i		III64	III		64				M	1	1	-2, -3, 1		-3	-2
16	14	3/16	3/16	12/16	1	1	III		ab	i		III	III						M	1	1	-3, 1, -2		-3	-3
16	14	3/8	3/8	12/16	1	1	viio6(2)/III		ab	i		viio6(2)/III	vii	o	6	2	III		o	1	1	-1, -4, -3		2	-1
16	14	9/16	9/16	12/16	1	1	vii%65/III		ab	i		vii%65/III	vii	%	65		III		%7	1	1	-1, -4, 0, 2		2	-1
17	15	0	0	12/16	1	1	III6		ab	i		III6	III		6				M	1	1	1, -2, -3		-3	1
17	15	3/16	3/16	12/16	1	1	IV/III		ab	i		IV/III	IV				III		M	1	1	-4, 0, -3		-4	-4
17	15	3/8	3/8	12/16	1	1	V(964)/III		ab	i		V(964)/III	V			964	III		M	1	1	-2, -3, 1	0	-2	-2
17	15	1/2	1/2	12/16	1	1	V(64)/III		ab	i		V(64)/III	V			64	III		M	1	1	-2, -3, 1		-2	-2
17	15	9/16	9/16	12/16	1	1	V7/III		ab	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
18	16	0	0	12/16	1	1	#viio7		ab	i		#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
18	16	3/16	3/16	12/16	1	1	V7/III		ab	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
18	16	5/16	5/16	12/16	1	1	V/III		ab	i		V/III	V				III		M	1	1	-2, 2, -1		-2	-2
18	16	3/8	3/8	12/16	1	1	I/III}		ab	i		I/III	I				III	}	M	1	1	-3, 1, -2		-3	-3
18	16	9/16	9/16	12/16	1	1	IV/III{		ab	i		IV/III	IV				III	{	M	1	1	-4, 0, -3		-4	-4
19	17	0	0	12/16	1	1	#viio/iv		ab	i		#viio/iv	#vii	o			iv		o	1	1	4, 1, -2		4	4
19	17	3/16	3/16	12/16	1	1	#viio7/iv		ab	i		#viio7/iv	#vii	o	7		iv		o7	1	1	4, 1, -2, -5		4	4
19	17	3/8	3/8	12/16	1	1	V65/iv		ab	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
20	18	0	0	12/16	1	1	iv(11)		ab	i		iv(11)	iv			11			m	1	1	-1, -4, 0	-2	-1	-1
20	18	3/16	3/16	12/16	1	1	iv		ab	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
20	18	9/16	9/16	12/16	1	1	i64		ab	i		i64	i		64				m	1	1	1, 0, -3		0	1
21	19	0	0	12/16	1	1	iv6(9)		ab	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
21	19	1/8	1/8	12/16	1	1	iv6		ab	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
21	19	3/16	3/16	12/16	1	1	i64(11)		ab	i		i64(11)	i		64	11			m	1	1	1, 0, -3	-1	0	1
21	19	5/16	5/16	12/16	1	1	i64		ab	i		i64	i		64				m	1	1	1, 0, -3		0	1
21	19	3/8	3/8	12/16	1	1	ii6(9)		ab	i		ii6(9)	ii		6	9			m	1	1	-1, 3, 2	-3	2	-1
21	19	1/2	1/2	12/16	1	1	ii6		ab	i		ii6	ii		6				m	1	1	-1, 3, 2		2	-1
21	19	9/16	9/16	12/16	1	1	V6/V		ab	i		V6/V	V		6		V		M	1	1	6, 3, 2		2	6
21	19	5/8	5/8	12/16	1	1	viio7/V		ab	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
22	20	0	0	12/16	1	1	V[V(64)		ab	i	V	V(64)	V			64			M	1	1	1, 0, -3		1	1
22	20	3/16	3/16	12/16	1	1	viio2/V		ab	i	V	viio2/V	vii	o	2		V		o7	1	1	-3, 6, 3, 0		6	-3
22	20	3/8	3/8	12/16	1	1	V]}		ab	i	V	V	V					}	M	1	1	1, 5, 2		1	1
22	20	11/16	11/16	12/16	1	1	V2		ab	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
23	21	0	0	12/16	1	1	i6{		ab	i		i6	i		6			{	m	1	1	-3, 1, 0		0	-3
23	21	1/16	1/16	12/16	1	1	i6(#11)		ab	i		i6(#11)	i		6	#11			m	1	1	-3, 1, 0	6	0	-3
23	21	1/4	1/4	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
23	21	3/8	3/8	12/16	1	1	V64(9)		ab	i		V64(9)	V		64	9			M	1	1	2, 1, 5	-4	1	2
23	21	9/16	9/16	12/16	1	1	V64		ab	i		V64	V		64				M	1	1	2, 1, 5		1	2
24	22	0	0	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
24	22	1/16	1/16	12/16	1	1	i(#11)		ab	i		i(#11)	i			#11			m	1	1	0, -3, 1	6	0	0
24	22	1/4	1/4	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
24	22	3/8	3/8	12/16	1	1	ii6(9)/iv		ab	i		ii6(9)/iv	ii		6	9	iv		m	1	1	-2, 2, 1	-4	1	-2
24	22	1/2	1/2	12/16	1	1	ii6/iv		ab	i		ii6/iv	ii		6		iv		m	1	1	-2, 2, 1		1	-2
24	22	9/16	9/16	12/16	1	1	V2/iv		ab	i		V2/iv	V		2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
25	23	0	0	12/16	1	1	iv6		ab	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
25	23	1/4	1/4	12/16	1	1	V64/iv		ab	i		V64/iv	V		64		iv		M	1	1	1, 0, 4		0	1
25	23	5/16	5/16	12/16	1	1	iv		ab	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
25	23	3/8	3/8	12/16	1	1	V(964)		ab	i		V(964)	V			964			M	1	1	1, 0, -3	-4	1	1
25	23	1/2	1/2	12/16	1	1	V(64)		ab	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
25	23	9/16	9/16	12/16	1	1	V7		ab	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
26	24	0	0	12/16	1	1	#viio2		ab	i		#viio2	#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
26	24	3/16	3/16	12/16	1	1	V7		ab	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
26	24	3/8	3/8	12/16	1	1	i}		ab	i		i	i					}	m	1	1	0, -3, 1		0	0
26	24	9/16	9/16	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
27	25	0	0	12/16	1	1	ii	#viio6	ab	i		ii	ii						m	1	1	2, -1, 3		2	2
27	25	3/16	3/16	12/16	1	1	V		ab	i		V	V						M	1	1	1, 5, 2		1	1
27	25	3/8	3/8	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
29	25	0	3/8	6/8	1	1	I.I{		ab	I		I	I					{	M	1	0	0, 4, 1		0	0
30	26	0	0	6/8	1	1	IV		ab	I		IV	IV						M	1	0	-1, 3, 0		-1	-1
30	26	3/8	3/8	6/8	1	1	ii	viio6	ab	I		ii	ii						m	1	0	2, -1, 3		2	2
31	27	0	0	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
31	27	3/8	3/8	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
32	28	0	0	6/8	1	1	vi	IV6	ab	I		vi	vi						m	1	0	3, 0, 4		3	3
32	28	3/8	3/8	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
33	29	0	0	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
33	29	1/2	1/2	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
34	30	0	0	6/8	1	1	viio(2)/V		ab	I		viio(2)/V	vii	o		2	V		o	1	0	1, 3, 0		6	1
34	30	3/8	3/8	6/8	1	1	viio/V		ab	I		viio/V	vii	o			V		o	1	0	6, 3, 0		6	6
35	31	0	0	6/8	1	1	#viio(2)/vi		ab	I		#viio(2)/vi	#vii	o		2	vi		o	1	0	3, 5, 2		8	3
35	31	3/8	3/8	6/8	1	1	#viio/vi		ab	I		#viio/vi	#vii	o			vi		o	1	0	8, 5, 2		8	8
36	32	0	0	6/8	1	1	vi6	I	ab	I		vi6	vi		6				m	1	0	0, 4, 3		3	0
36	32	3/8	3/8	6/8	1	1	ii	V/V	ab	I		ii	ii						m	1	0	2, -1, 3		2	2
36	32	5/8	5/8	6/8	1	1	viio/V		ab	I		viio/V	vii	o			V		o	1	0	6, 3, 0		6	6
37	33	0	0	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
37	33	5/8	5/8	6/8	1	1	V2		ab	I		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1	-1
38	34	0	0	6/8	1	1	I6(2)		ab	I		I6(2)	I		6	2			M	1	0	4, 1, 2		0	4
38	34	3/8	3/8	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
38	34	5/8	5/8	6/8	1	1	viio6/IV		ab	I		viio6/IV	vii	o	6		IV		o	1	0	1, -2, 4		4	1
