mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.d.i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	0	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
3	3	0	#viio7	d	i		#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5	5
3	3	1/4	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
3	3	3/8	#viio65	d	i		#viio65	#vii		o	65				o7	1	1	2, -1, -4, 5		5	2
3	3	5/8	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
4	4	0	#viio7	d	i		#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5	5
4	4	1/4	V2/iv	d	i		V2/iv	V			2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
4	4	3/8	i6/iv	d	i		i6/iv	i			6		iv		m	1	1	-4, 0, -1		-1	-4
4	4	5/8	V65/iv	d	i		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0	4
5	5	0	i/iv\\	d	i		i/iv	i					iv	\\	m	1	1	-1, -4, 0		-1	-1
6	6	0	#viio43	d	i		#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5	-1
7	7	0	V65/V	d	i		V65/V	V			65		V		Mm7	1	1	6, 3, 0, 2		2	6
7	7	1/4	#viio7/V	d	i		#viio7/V	#vii		o	7		V		o7	1	1	13, 10, 7, 4		13	13
8	8	0	V64	d	i		V64	V			64				M	1	1	2, 1, 5		1	2
8	8	3/8	V7	d	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
9	9	0	i\\	d	i		i	i						\\	m	1	1	0, -3, 1		0	0
9	9	3/8	V65	d	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1	5
10	10	0	i(4)	d	i		i(4)	i				4			m	1	1	0, -1, 1		0	0
10	10	3/32	i	d	i		i	i							m	1	1	0, -3, 1		0	0
10	10	3/8	V	d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	5/8	V7	d	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
11	11	0	i6	d	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
11	11	3/8	V65	d	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1	5
12	12	0	i(4)	d	i		i(4)	i				4			m	1	1	0, -1, 1		0	0
12	12	3/32	i	d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	1/4	VII.V2/V	d	VII		V2/V	V			2		V		Mm7	1	0	0, 2, 6, 3		2	0
12	12	3/8	V65	d	VII		V65	V			65				Mm7	1	0	5, 2, -1, 1		1	5
13	13	0	I(4)	d	VII		I(4)	I				4			M	1	0	0, -1, 1		0	0
13	13	1/8	I	d	VII		I	I							M	1	0	0, 4, 1		0	0
13	13	3/8	V65/V	d	VII		V65/V	V			65		V		Mm7	1	0	6, 3, 0, 2		2	6
14	14	0	V64	d	VII		V64	V			64				M	1	0	2, 1, 5		1	2
14	14	3/8	V7	d	VII		V7	V			7				Mm7	1	0	1, 5, 2, -1		1	1
15	15	0	I\\	d	VII		I	I						\\	M	1	0	0, 4, 1		0	0
15	15	1/8	vi	d	VII		vi	vi							m	1	0	3, 0, 4		3	3
15	15	1/4	V	d	VII		V	V							M	1	0	1, 5, 2		1	1
15	15	3/8	V65/V	d	VII		V65/V	V			65		V		Mm7	1	0	6, 3, 0, 2		2	6
16	16	0	V64	d	VII		V64	V			64				M	1	0	2, 1, 5		1	2
16	16	3/8	V	d	VII		V	V							M	1	0	1, 5, 2		1	1
17	17	0	I\\	d	VII		I	I						\\	M	1	0	0, 4, 1		0	0
17	17	3/8	IV	d	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
17	17	1/2	ii65	d	VII		ii65	ii			65				mm7	1	0	-1, 3, 0, 2		2	-1
18	18	0	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
18	18	1/8	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
18	18	1/4	i/vi	d	VII		i/vi	i					vi		m	1	0	3, 0, 4		3	3
18	18	3/8	.Ger6	d	VII		Ger6	vii	Ger	o	65	b3	V		M	1	0	-4, 0, -3, 6		6	-4
19	19	0	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
19	19	1/8	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
19	19	3/8	#viio43/vi	d	VII		#viio43/vi	#vii		o	43		vi		o7	1	0	2, -1, 8, 5		8	2
19	19	9/16	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
19	19	5/8	#viio2/vi	d	VII		#viio2/vi	#vii		o	2		vi		o7	1	0	-1, 8, 5, 2		8	-1
19	19	11/16	#viio65/vi	d	VII		#viio65/vi	#vii		o	65		vi		o7	1	0	5, 2, -1, 8		8	5
20	20	0	i6/vi	d	VII		i6/vi	i			6		vi		m	1	0	0, 4, 3		3	0
20	20	1/4	ii%7/vi	d	VII		ii%7/vi	ii		%	7		vi		%7	1	0	5, 4, 11, 3		5	5
20	20	3/8	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
20	20	5/8	V7/vi	d	VII		V7/vi	V			7		vi		Mm7	1	0	4, 8, 5, 2		4	4
21	21	0	i/vi\\	d	VII		i/vi	i					vi	\\	m	1	0	3, 0, 4		3	3
21	21	3/8	VI/vi	d	VII		VI/vi	VI					vi		M	1	0	-1, 3, 0		-1	-1
21	21	5/8	.Ger6	d	VII		Ger6	vii	Ger	o	65	b3	V		M	1	0	-4, 0, -3, 6		6	-4
22	22	0	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
22	22	1/16	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
22	22	3/8	VI/vi	d	VII		VI/vi	VI					vi		M	1	0	-1, 3, 0		-1	-1
22	22	5/8	.Ger6	d	VII		Ger6	vii	Ger	o	65	b3	V		M	1	0	-4, 0, -3, 6		6	-4
23	23	0	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
23	23	1/16	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
23	23	3/8	#viio43/vi	d	VII		#viio43/vi	#vii		o	43		vi		o7	1	0	2, -1, 8, 5		8	2
24	24	0	#viio43/ii	d	VII		#viio43/ii	#vii		o	43		ii		o7	1	0	1, -2, 7, 4		7	1
24	24	3/8	#viio7/iii	d	VII		#viio7/iii	#vii		o	7		iii		o7	1	0	9, 6, 3, 0		9	9
25	25	0	#viio43/vi	d	VII		#viio43/vi	#vii		o	43		vi		o7	1	0	2, -1, 8, 5		8	2
25	25	1/4	i6/vi	d	VII		i6/vi	i			6		vi		m	1	0	0, 4, 3		3	0
25	25	3/8	ii%65/vi	d	VII		ii%65/vi	ii		%	65		vi		%7	1	0	4, 11, 3, 5		5	4
25	25	5/8	V/vi	d	VII		V/vi	V					vi		M	1	0	4, 8, 5		4	4
26	26	0	i/vi\\	d	VII		i/vi	i					vi	\\	m	1	0	3, 0, 4		3	3
26	26	3/8	V65/vi	d	VII		V65/vi	V			65		vi		Mm7	1	0	8, 5, 2, 4		4	8
27	27	0	i/vi	d	VII		i/vi	i					vi		m	1	0	3, 0, 4		3	3
27	27	3/8	iv/vi	d	VII		iv/vi	iv					vi		m	1	0	2, -1, 3		2	2
28	28	0	V64/vi	d	VII		V64/vi	V			64		vi		M	1	0	5, 4, 8		4	5
28	28	3/8	V7/vi	d	VII		V7/vi	V			7		vi		Mm7	1	0	4, 8, 5, 2		4	4
29	29	0	i/vi\\	d	VII		i/vi	i					vi	\\	m	1	0	3, 0, 4		3	3
30	30	0	i.III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
32	32	0	V65/III	d	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2	2
33	33	0	V43(4)/III	d	i		V43(4)/III	V			43	4	III		Mm7	1	1	-1, -4, -2, -3		-2	-1
33	33	1/8	V43/III	d	i		V43/III	V			43		III		Mm7	1	1	-1, -4, -2, 2		-2	-1
34	34	0	I/III	d	i		I/III	I					III		M	1	1	-3, 1, -2		-3	-3
34	34	5/8	III7	d	i		III7	III			7				Mm7	1	1	-3, 1, -2, -5		-3	-3
35	35	0	#viio7/iv	d	i		#viio7/iv	#vii		o	7		iv		o7	1	1	4, 1, -2, -5		4	4
36	36	0	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
37	37	0	#viio7/V	d	i		#viio7/V	#vii		o	7		V		o7	1	1	13, 10, 7, 4		13	13
38	38	0	V	d	i		V	V							M	1	1	1, 5, 2		1	1
39	39	0	V64	d	i		V64	V			64				M	1	1	2, 1, 5		1	2
40	40	0	V7\\	d	i		V7	V			7			\\	Mm7	1	1	1, 5, 2, -1		1	1
44	44	0	i\\	d	i		i	i						\\	m	1	1	0, -3, 1		0	0
45	45	0	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
46	46	0	#viio7	d	i		#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5	5
46	46	1/4	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
46	46	3/8	#viio65	d	i		#viio65	#vii		o	65				o7	1	1	2, -1, -4, 5		5	2
46	46	5/8	iv64	d	i		iv64	iv			64				m	1	1	0, -1, -4		-1	0
47	47	0	#viio7	d	i		#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5	5
47	47	1/4	V2/iv	d	i		V2/iv	V			2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
47	47	3/8	i6/iv	d	i		i6/iv	i			6		iv		m	1	1	-4, 0, -1		-1	-4
