mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	3/4	2	1	C.V{		C	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	3/4	2	1	IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	1	1/2	1/2	3/4	2	1	IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	0	0	3/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	3/4	2	1	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	4	0	0	3/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	3/8	3/8	3/4	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
6	5	0	0	3/4	2	1	V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	0	0	3/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	1/2	1/2	3/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
8	7	0	0	3/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
8	7	1/4	1/4	3/4	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	1/2	1/2	3/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	0	0	3/4	2	1	V}		C	I		V		V						}	M	0	0	1, 5, 2		1	1
9	8	3/8	3/8	3/4	2	1	V.V{		C	V		V		V						{	M	0	0	1, 5, 2		1	1
10	9	0	0	3/4	2	1	viio43		C	V		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
11	10	0	0	3/4	2	1	i6		C	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
11	10	1/2	1/2	3/4	2	1	i		C	V		i		i							m	0	0	0, -3, 1		0	0
12	11	0	0	3/4	2	1	viio2		C	V		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
12	11	1/2	1/2	3/4	2	1	viio43		C	V		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
13	12	0	0	3/4	2	1	i6		C	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
13	12	1/2	1/2	3/4	2	1	i		C	V		i		i							m	0	0	0, -3, 1		0	0
14	13	0	0	3/4	2	1	viio2/V		C	V		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
14	13	1/2	1/2	3/4	2	1	viio43/V		C	V		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
15	14	0	0	3/4	2	1	V6		C	V		V6		V		6					M	0	0	5, 2, 1		1	5
15	14	1/2	1/2	3/4	2	1	V		C	V		V		V							M	0	0	1, 5, 2		1	1
16	15	0	0	3/4	2	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
16	15	1/4	1/4	3/4	2	1	ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	15	1/2	1/2	3/4	2	1	V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	15	0	0	3/4	2	1	I}		C	V		I		I						}	M	0	0	0, 4, 1		0	0
18	15	0	3/8	3/4	2	1	i.V{		C	i		V		V						{	M	0	1	1, 5, 2		1	1
19	16	0	0	3/4	2	1	#viio2		C	i		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
19	16	1/2	1/2	3/4	2	1	#viio43		C	i		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
20	17	0	0	3/4	2	1	i6		C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3
20	17	1/2	1/2	3/4	2	1	i		C	i		i		i							m	0	1	0, -3, 1		0	0
21	18	0	0	3/4	2	1	#viio2/vii		C	i		#viio2/vii		#vii	o	2		vii			o7	0	1	-6, 3, 0, -3		3	-6
21	18	1/2	1/2	3/4	2	1	#viio43/vii		C	i		#viio43/vii		#vii	o	43		vii			o7	0	1	-3, -6, 3, 0		3	-3
22	19	0	0	3/4	2	1	vii6		C	i		vii6		vii		6					m	0	1	-5, -1, -2		-2	-5
22	19	1/2	1/2	3/4	2	1	vii		C	i		vii		vii							m	0	1	-2, -5, -1		-2	-2
23	20	0	0	3/4	2	1	#viio7/vii		C	i		#viio7/vii		#vii	o	7		vii			o7	0	1	3, 0, -3, -6		3	3
24	21	0	0	3/4	2	1	vii		C	i		vii		vii							m	0	1	-2, -5, -1		-2	-2
25	22	0	0	3/4	2	1	vii%7/VI		C	i		vii%7/VI		vii	%	7		VI			%7	0	1	1, -2, -5, -1		1	1
26	23	0	0	3/4	2	1	VI		C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
27	24	0	0	3/4	2	1	viio7/V		C	i		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
28	25	0	0	3/4	2	1	V		C	i		V		V							M	0	1	1, 5, 2		1	1
29	26	0	0	3/4	2	1	i6		C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3
29	26	1/2	1/2	3/4	2	1	i		C	i		i		i							m	0	1	0, -3, 1		0	0
30	27	0	0	3/4	2	1	V}		C	i		V		V						}	M	0	1	1, 5, 2		1	1
31	28	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
31	28	1/4	1/4	3/4	2	1	V[V		C	i	V	V		V							M	0	1	1, 5, 2		1	1
32	29	0	0	3/4	2	1	viio43/V		C	i	V	viio43/V		vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
32	29	1/4	1/4	3/4	2	1	V]		C	i	V	V		V							M	0	1	1, 5, 2		1	1
33	30	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
33	30	1/4	1/4	3/4	2	1	V[V		C	i	V	V		V							M	0	1	1, 5, 2		1	1
34	31	0	0	3/4	2	1	viio43/V		C	i	V	viio43/V		vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
34	31	1/4	1/4	3/4	2	1	V]		C	i	V	V		V							M	0	1	1, 5, 2		1	1
35	32	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
35	32	1/4	1/4	3/4	2	1	V[V		C	i	V	V		V							M	0	1	1, 5, 2		1	1
36	33	0	0	3/4	2	1	VI6		C	i	V	VI6		VI		6					M	0	1	0, -3, -4		-4	0
36	33	1/4	1/4	3/4	2	1	V		C	i	V	V		V							M	0	1	1, 5, 2		1	1
37	34	0	0	3/4	2	1	VI6		C	i	V	VI6		VI		6					M	0	1	0, -3, -4		-4	0
37	34	1/4	1/4	3/4	2	1	V		C	i	V	V		V							M	0	1	1, 5, 2		1	1
38	35	0	0	3/4	2	1	VI6		C	i	V	VI6		VI		6					M	0	1	0, -3, -4		-4	0
38	35	1/4	1/4	3/4	2	1	V]		C	i	V	V		V							M	0	1	1, 5, 2		1	1
39	36	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
39	36	1/4	1/4	3/4	2	1	V		C	i		V		V							M	0	1	1, 5, 2		1	1
40	37	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
40	37	1/4	1/4	3/4	2	1	V		C	i		V		V							M	0	1	1, 5, 2		1	1
41	38	0	0	3/4	2	1	VI	It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
41	38	1/4	1/4	3/4	2	1	V		C	i		V		V							M	0	1	1, 5, 2		1	1
41	38	3/8	3/8	3/4	2	1	I.V{		C	I		V		V						{	M	0	0	1, 5, 2		1	1
42	39	0	0	3/4	2	1	IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
42	39	1/2	1/2	3/4	2	1	IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
43	40	0	0	3/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
