mc	mn	onset	label
1	0	1/4	.G.I6
1	0	5/8	viio6
2	1	0	I
2	1	1/4	ii6
2	1	5/8	I6
3	2	0	ii
3	2	1/2	viio
3	2	5/8	I
4	3	0	viio6
4	3	1/8	I6
4	3	1/4	ii6
4	3	3/8	viio7/V
4	3	1/2	V6/V
4	3	5/8	viio/V
5	4	0	V
5	4	1/2	I6
5	4	5/8	viio6
6	5	0	I
6	5	1/4	ii6
6	5	5/8	I6
7	6	0	ii
7	6	1/2	viio
7	6	5/8	I
8	7	0	viio6
8	7	1/8	I6
8	7	1/4	ii6
8	7	3/8	V(64)
8	7	5/8	V7
9	8	0	I\\
10	9	0	V65
10	9	3/8	I
11	10	0	V65
11	10	3/8	V
12	11	0	V65
12	11	1/4	I
12	11	3/8	V65
12	11	5/8	I
13	12	0	V65\\
13	12	1/2	I6
13	12	5/8	viio6
14	13	0	I
14	13	1/4	ii6
14	13	5/8	I6
15	14	0	ii
15	14	1/2	viio
15	14	5/8	I
16	15	0	viio6
16	15	1/8	I6
16	15	1/4	ii6
16	15	3/8	V(64)
16	15	5/8	V7
17	16	0	I\\
17	16	1/4	i.V
18	17	0	iio
19	18	0	i
20	19	0	iio6
20	19	3/8	V7
21	20	0	i
21	20	3/8	V6
22	21	0	i
22	21	3/8	V6
23	22	0	i
24	23	0	V(64)/v
24	23	1/4	V/v
24	23	3/8	v
24	23	5/8	V43
25	24	0	i
25	24	3/8	V6
26	25	0	i
26	25	3/8	.bIII.IV6
27	26	0	V6
27	26	3/8	I
28	27	0	ii6
28	27	3/8	V7
29	28	0	I6
29	28	3/8	V(64)
30	29	0	ii6
30	29	3/8	V7
31	30	0	I\\
34	33	0	V43
34	33	3/8	V2
35	34	0	I6
35	34	3/8	I
36	35	0	V(64)/V
36	35	3/8	V7/V
37	36	0	V
37	36	3/8	V2
38	37	0	I6
38	37	3/8	I
39	38	0	V6
39	38	3/8	V
40	39	0	I
40	39	3/8	ii6
41	40	0	V
41	40	3/8	I
42	41	0	V43
42	41	3/8	V2
43	42	0	I6
43	42	3/8	I
44	43	0	V(64)/V
44	43	3/8	V7/V
45	44	0	V
45	44	3/8	V2
46	45	0	I6
46	45	3/8	I
47	46	0	V6
47	46	3/8	I
48	47	0	ii6
48	47	3/8	V(64)
48	47	5/8	V7
49	48	0	I\\
50	49	0	I6
50	49	3/8	.It6/V
51	50	0	V(4)/V
51	50	1/4	V/V
52	51	0	ii
52	51	3/8	viio7
53	52	0	I(4)
53	52	1/4	I
54	53	0	V43
54	53	3/8	V2
55	54	0	I
55	54	3/8	IV(9)
55	54	5/8	IV
56	55	0	V(64)
56	55	3/8	V(6)
56	55	5/8	V
57	56	0	I\\
58	57	0	I6
58	57	3/8	.It6/V
59	58	0	V(4)/V
59	58	1/4	V/V
60	59	0	ii
60	59	3/8	viio7
61	60	0	I(4)
61	60	1/4	I
62	61	0	V43
62	61	3/8	V2
63	62	0	I
63	62	3/8	IV(9)
63	62	5/8	IV
64	63	0	V(64)
64	63	3/8	V(6)
64	63	5/8	V7
65	64	0	I\\
65	64	1/4	i.V
66	65	0	iio
67	66	0	i
68	67	0	iio6
68	67	3/8	V7
69	68	0	i
69	68	3/8	V6
70	69	0	i
70	69	3/8	V6
71	70	0	i
72	71	0	V(64)/v
72	71	1/4	V/v
72	71	3/8	v
72	71	5/8	V43
73	72	0	i
73	72	3/8	V6
74	73	0	i
74	73	3/8	VI6
75	74	0	V6/III
75	74	3/8	III
76	75	0	VI6
76	75	3/8	iio
77	76	0	V6
77	76	3/8	i
78	77	0	iio6
78	77	3/8	V
79	78	0	i\\
80	79	1/4	V7
81	80	1/4	I.I6
81	80	5/8	viio6
82	81	0	I
82	81	1/4	ii6
82	81	5/8	I6
83	82	0	ii
83	82	1/2	viio
83	82	5/8	I
84	83	0	viio6
84	83	1/8	I6
84	83	1/4	ii6
84	83	3/8	viio7/V
84	83	1/2	V6/V
84	83	5/8	viio/V
85	84	0	V
85	84	1/2	I6
85	84	5/8	viio6
86	85	0	I
86	85	1/4	ii6
86	85	5/8	I6
87	86	0	ii
87	86	1/2	viio
87	86	5/8	I
88	87	0	viio6
88	87	1/8	I6
88	87	1/4	ii6
88	87	3/8	V(64)
88	87	5/8	V7
89	88	0	I\\
90	89	0	V65
90	89	3/8	I
91	90	0	V65
91	90	3/8	V
92	91	0	V65
92	91	1/4	I
92	91	3/8	V65
92	91	5/8	I
93	92	0	V65\\
93	92	1/2	I6
93	92	5/8	viio6
94	93	0	I
94	93	1/4	ii6
94	93	5/8	I6
95	94	0	ii
95	94	1/2	viio
95	94	5/8	I
96	95	0	viio6
96	95	1/8	I6
96	95	1/4	ii6
96	95	3/8	V(64)
96	95	5/8	V7
97	96	0	I\\
97	96	1/4	iio/vi
98	97	3/8	V(64)/vi
98	97	5/8	V7/vi
99	98	0	vi(9)
99	98	1/8	vi
99	98	1/4	ii6/IV
100	99	3/8	V(64)/IV
100	99	5/8	V7/IV
101	100	0	IV(9)
101	100	1/8	IV
101	100	3/8	V(64)/ii
101	100	5/8	V7/ii
102	101	0	ii(9)
102	101	1/8	ii
102	101	3/8	V(64)
102	101	5/8	V7
103	102	0	I(9)
103	102	1/8	I
103	102	3/8	V7(4)/V
103	102	1/2	V7/V
104	103	0	V\\
104	103	3/8	I
105	104	0	V43
105	104	3/8	V2
106	105	0	I6
106	105	3/8	I
107	106	0	V(64)/V
107	106	3/8	V7/V
108	107	0	V
108	107	3/8	V2
109	108	0	I6
109	108	3/8	I
110	109	0	V6
110	109	3/8	V
111	110	0	I
111	110	3/8	ii6
112	111	0	V
112	111	3/8	I
113	112	0	V43
113	112	3/8	V2
114	113	0	I6
114	113	3/8	I
115	114	0	V(64)/V
115	114	3/8	V7/V
116	115	0	V
116	115	3/8	V2
117	116	0	I6
117	116	3/8	I
118	117	0	V6
118	117	3/8	I
119	118	0	ii6
119	118	3/8	V7(9)
119	118	5/8	V7
120	119	0	I\\
121	120	0	I6
121	120	3/8	.It6/V
122	121	0	V(4)/V
122	121	1/4	V/V
123	122	0	ii
123	122	3/8	viio7
124	123	0	I(4)
124	123	1/4	I
125	124	0	V43
125	124	3/8	V2
126	125	0	I
126	125	3/8	IV(9)
126	125	5/8	IV
127	126	0	V(64)
127	126	3/8	V(6)
127	126	5/8	V
128	127	0	I\\
129	128	0	I6
129	128	3/8	.It6/V
130	129	0	V(4)/V
130	129	1/4	V/V
131	130	0	ii
131	130	3/8	viio7
132	131	0	I(4)
132	131	1/4	I
133	132	0	V43
133	132	3/8	V2
134	133	0	I
134	133	3/8	IV(9)
134	133	5/8	IV
135	134	0	V(64)
