mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	2		D.I{	D	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	2	2		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	2	2		V2	D	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	1/4	1/4	3/4	2	2		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	2	2		V65	D	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	1/2	1/2	3/4	2	2		I	D	I		I	I							M	0	0	0, 4, 1		0	0
3	3	5/8	5/8	3/4	2	2		vii%7(+2)/V	D	I		vii%7(+2)/V	vii	%	7	+2	V			%7	0	0	6, 3, 0, 4	1	6	6
4	4	0	0	3/4	2	2		V|HC}	D	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	2	2		I{	D	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	3/4	2	2		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
5	5	11/16	11/16	3/4	2	2		IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	1/8	1/8	3/4	2	2		V7(9)	D	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
6	6	1/4	1/4	3/4	2	2		IV6	D	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
6	6	3/8	3/8	3/4	2	2		vii%7	D	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
6	6	1/2	1/2	3/4	2	2		I	D	I		I	I							M	0	0	0, 4, 1		0	0
6	6	5/8	5/8	3/4	2	2		viio6	D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
7	7	0	0	3/4	2	2		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	1/8	1/8	3/4	2	2		ii6	D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	3/4	2	2		V(64)	D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	1/2	1/2	3/4	2	2		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/4	2	2		I(94)}	D	I		I(94)	I			94			}	M	0	0	0, -1, 1	2	0	0
8	8	1/4	1/4	3/4	2	2		I|PAC	D	I		I	I					PAC		M	0	0	0, 4, 1		0	0
8	8	3/8	3/8	3/4	2	2		V.V{	D	V		V	V						{	M	0	0	1, 5, 2		1	1
9	9	0	0	3/4	2	2		I	D	V		I	I							M	0	0	0, 4, 1		0	0
9	9	1/2	1/2	3/4	2	2		V43	D	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	0	0	3/4	2	2		I	D	V		I	I							M	0	0	0, 4, 1		0	0
10	10	1/2	1/2	3/4	2	2		V65	D	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	0	0	3/4	2	2		I	D	V		I	I							M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	3/4	2	2		I6	D	V		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	1/2	1/2	3/4	2	2		V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	0	0	3/4	2	2		I6	D	V		I6	I		6					M	0	0	4, 1, 0		0	4
