mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	3/8	2/4	2	1		A.I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	1/2	2.0	0	0	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
3	2	5/2	2.0	0	0	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
4	3	9/2	2.0	0	0	2/4	2	1		IV6	vi	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
5	4	13/2	1.5	0	0	2/4	2	1		ii		A	I		ii	ii							m	0	0	2, -1, 3		2	2
5	4	8	8.0	3/8	3/8	2/4	2	1		V7|HC}		A	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
9	8	16	5.0	3/8	3/8	2/4	2	1		I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
12	11	21	0.5	1/8	1/8	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
12	11	43/2	0.5	1/4	1/4	2/4	2	1		ii7/V		A	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
12	11	22	0.5	3/8	3/8	2/4	2	1		viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
13	12	45/2	2.0	0	0	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
14	13	49/2	1.0	0	0	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
14	13	51/2	0.5	1/4	1/4	2/4	2	1		ii2/V		A	I		ii2/V	ii		2		V			mm7	0	0	1, 3, 0, 4		3	1
14	13	26	0.5	3/8	3/8	2/4	2	1		viio64		A	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
15	14	53/2	1.5	0	0	2/4	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	28	0.5	3/8	3/8	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
16	15	57/2	0.5	0	0	2/4	2	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
16	15	29	0.5	1/8	1/8	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
16	15	59/2	0.5	1/4	1/4	2/4	2	1		ii7/V		A	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
16	15	30	0.5	3/8	3/8	2/4	2	1		viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
17	16	61/2	0.5	0	0	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
17	16	31	0.5	1/8	1/8	2/4	2	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
17	16	63/2	0.5	1/4	1/4	2/4	2	1		ii7/V		A	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
17	16	32	0.5	3/8	3/8	2/4	2	1		V/V		A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
18	17	65/2	1.0	0	0	2/4	2	1		V[V(64)/V		A	I	V	V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
18	17	67/2	1.0	1/4	1/4	2/4	2	1		V7/V		A	I	V	V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
19	18	69/2	1.0	0	0	2/4	2	1		V(64)/V		A	I	V	V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
19	18	71/2	1.0	1/4	1/4	2/4	2	1		V7/V]		A	I	V	V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
20	19	73/2	3.5	0	0	2/4	2	1		V|HC}		A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
21	20	40	0.5	3/8	3/8	2/4	2	1		I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
22	21	81/2	2.0	0	0	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
23	22	85/2	6.0	0	0	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
26	25	97/2	1.0	0	0	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
26	25	99/2	0.5	1/4	1/4	2/4	2	1		ii2/V		A	I		ii2/V	ii		2		V			mm7	0	0	1, 3, 0, 4		3	1
26	25	50	0.5	3/8	3/8	2/4	2	1		viio64		A	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
27	26	101/2	1.5	0	0	2/4	2	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
27	26	52	0.5	3/8	3/8	2/4	2	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
28	27	105/2	0.5	0	0	2/4	2	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
28	27	53	0.5	1/8	1/8	2/4	2	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
