mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1	Eb.V{	Eb	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	2	1	V43(4)	Eb	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
3	2	1/4	1/4	3/4	2	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	2	5/8	5/8	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	3	3/8	3/8	3/4	2	1	vi7	Eb	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	3	1/2	1/2	3/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	5/8	5/8	3/4	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	4	0	0	3/4	2	1	I(94)	Eb	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
5	4	1/4	1/4	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	3/8	3/8	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
6	5	1/2	1/2	3/4	2	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	5/8	5/8	3/4	2	1	ii7	Eb	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	6	0	0	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	3/8	3/8	3/4	2	1	V+6/IV	Eb	I		V+6/IV	V	+	6		IV			+	0	0	4, 8, 0		0	4
7	6	1/2	1/2	3/4	2	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	5/8	5/8	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	3/4	2	1	ii(4)	Eb	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
8	7	1/8	1/8	3/4	2	1	ii	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
8	7	1/4	1/4	3/4	2	1	bVII6	Eb	I		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
8	7	3/8	3/8	3/4	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
8	7	1/2	1/2	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
8	7	5/8	5/8	3/4	2	1	ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	8	0	0	3/4	2	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	8	1/4	1/4	3/4	2	1	V}	Eb	I		V	V						}	M	0	0	1, 5, 2		1	1
11	8	1/2	1/2	3/4	2	1	{	Eb	I									{		0	0				
12	9	0	0	3/4	2	1	V(b9)	Eb	I		V(b9)	V			b9				M	0	0	1, 5, 2	-4	1	1
12	9	1/2	1/2	3/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	10	0	0	3/4	2	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
13	10	1/4	1/4	3/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	10	1/2	1/2	3/4	2	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
