mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.C.I			C	I		I	I							M	0	0	0, 4, 1		0	0
2	2	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
3	3	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
5	5	0	IV/IV			C	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2	-2
6	6	3/4	V2/IV			C	I		V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
7	7	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
8	8	0	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
9	9	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	3/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
10	10	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
10	10	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	3/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
11	11	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	i			C	I		i	i							m	0	0	0, -3, 1		0	0
13	13	0	V\\			C	I		V	V						\\	M	0	0	1, 5, 2		1	1
14	14	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
15	15	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
16	16	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
18	18	0	iv/vi			C	I		iv/vi	iv					vi		m	0	0	2, -1, 3		2	2
19	19	3/4	V2/vi			C	I		V2/vi	V			2		vi		Mm7	0	0	2, 4, 8, 5		4	2
20	20	0	vi6			C	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
22	22	0	III.It6			C	III		It6	vii	It	o	6	b3	V		M	0	0	-4, 0, 6		6	-4
23	23	0	V			C	III		V	V							M	0	0	1, 5, 2		1	1
23	23	1/2	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
24	24	0	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
