mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
24	24	1/2	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
25	25	0	V			C	III		V	V							M	0	0	1, 5, 2		1	1
25	25	1/2	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
26	26	0	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
26	26	1/2	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
27	27	0	V			C	III		V	V							M	0	0	1, 5, 2		1	1
27	27	1/4	i			C	III		i	i							m	0	0	0, -3, 1		0	0
27	27	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
27	27	3/4	i			C	III		i	i							m	0	0	0, -3, 1		0	0
28	28	0	V			C	III		V	V							M	0	0	1, 5, 2		1	1
28	28	1/4	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
28	28	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
28	28	3/4	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
29	29	0	V\\			C	III		V	V						\\	M	0	0	1, 5, 2		1	1
29	29	1/4	V64			C	III		V64	V			64				M	0	0	2, 1, 5		1	2
29	29	1/2	V6			C	III		V6	V			6				M	0	0	5, 2, 1		1	5
29	29	3/4	V			C	III		V	V							M	0	0	1, 5, 2		1	1
30	30	0	V64			C	III		V64	V			64				M	0	0	2, 1, 5		1	2
30	30	1/4	V6			C	III		V6	V			6				M	0	0	5, 2, 1		1	5
30	30	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
31	31	1/4	IV6	vi		C	III		IV6	IV			6				M	0	0	3, 0, -1		-1	3
31	31	1/2	V6			C	III		V6	V			6				M	0	0	5, 2, 1		1	5
31	31	3/4	IV6	vi		C	III		IV6	IV			6				M	0	0	3, 0, -1		-1	3
32	32	0	V6	viio		C	III		V6	V			6				M	0	0	5, 2, 1		1	5
32	32	1/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
32	32	1/2	viio6	V64		C	III		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
32	32	3/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
33	33	0	viio6	ii		C	III		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
33	33	1/4	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
33	33	1/2	viio6	ii		C	III		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
33	33	3/4	I6(11)			C	III		I6(11)	I			6	11			M	0	0	4, 1, 0	-1	0	4
34	34	0	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
34	34	1/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
34	34	1/2	IV6			C	III		IV6	IV			6				M	0	0	3, 0, -1		-1	3
34	34	3/4	viio			C	III		viio	vii		o					o	0	0	5, 2, -1		5	5
35	35	0	I			C	III		I	I							M	0	0	0, 4, 1		0	0
35	35	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
35	35	3/4	vi			C	III		vi	vi							m	0	0	3, 0, 4		3	3
36	36	0	V7/vi			C	III		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
36	36	1/2	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	37	0	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
37	37	1/2	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
37	37	3/4	ii65			C	III		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2	-1
38	38	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
38	38	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
38	38	3/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	I			C	III		I	I							M	0	0	0, 4, 1		0	0
39	39	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
39	39	3/4	vi			C	III		vi	vi							m	0	0	3, 0, 4		3	3
40	40	0	V7/vi			C	III		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
40	40	1/2	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
41	41	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
41	41	1/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
41	41	1/2	V7(9)			C	III		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
41	41	3/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
42	42	0	I\\			C	III		I	I						\\	M	0	0	0, 4, 1		0	0
43	43	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
43	43	3/4	vi			C	III		vi	vi							m	0	0	3, 0, 4		3	3
44	44	0	V7/vi			C	III		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
44	44	1/2	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
45	45	0	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
45	45	1/2	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
45	45	3/4	ii6			C	III		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
46	46	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
46	46	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
46	46	3/4	V7(9)			C	III		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
46	46	5/6	vi7			C	III		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3	3
46	46	11/12	viio			C	III		viio	vii		o					o	0	0	5, 2, -1		5	5
47	47	0	I			C	III		I	I							M	0	0	0, 4, 1		0	0
47	47	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
47	47	3/4	vi			C	III		vi	vi							m	0	0	3, 0, 4		3	3
48	48	0	V7/vi			C	III		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
48	48	1/2	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
49	49	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
49	49	1/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
49	49	1/2	V7(9)			C	III		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
49	49	3/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
50	50	0	I\\			C	III		I	I						\\	M	0	0	0, 4, 1		0	0
50	50	1/4	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
50	50	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
50	50	3/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
51	51	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
51	51	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
52	52	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
52	52	1/4	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
52	52	1/2	V			C	III		V	V							M	0	0	1, 5, 2		1	1
52	52	3/4	V65			C	III		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
53	53	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
53	53	1/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
53	53	1/2	V65			C	III		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
53	53	3/4	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
54	54	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
54	54	1/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
54	54	1/2	V65			C	III		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
54	54	3/4	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
55	55	0	I			C	III		I	I							M	0	0	0, 4, 1		0	0
55	55	1/4	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
55	55	1/2	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
55	55	3/4	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
56	56	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
56	56	1/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
56	56	1/2	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
56	56	3/4	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
57	57	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
57	57	1/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
57	57	1/2	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
57	57	3/4	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
58	58	0	I			C	III		I	I							M	0	0	0, 4, 1		0	0
58	58	1/4	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
58	58	1/2	I			C	III		I	I							M	0	0	0, 4, 1		0	0
58	58	3/4	V43			C	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
59	59	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
59	59	1/8	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
59	59	1/4	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
59	59	3/8	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
59	59	1/2	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
59	59	5/8	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
59	59	3/4	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
59	59	7/8	V2			C	III		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
60	60	0	I6\\			C	III		I6	I			6			\\	M	0	0	4, 1, 0		0	4
60	60	1/8	V65/IV			C	III		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0	4
62	62	0	IV			C	III		IV	IV							M	0	0	-1, 3, 0		-1	-1
64	64	0	V65/V			C	III		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2	6
66	66	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
67	67	1/2	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
67	67	3/4	I			C	III		I	I							M	0	0	0, 4, 1		0	0
67	67	7/8	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
68	68	0	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
68	68	1/4	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
68	68	1/2	I			C	III		I	I							M	0	0	0, 4, 1		0	0
68	68	3/4	I6			C	III		I6	I			6				M	0	0	4, 1, 0		0	4
69	69	0	V(64)			C	III		V(64)	V				64			M	0	0	1, 0, 4		1	1
70	70	0	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
72	72	0	V65			C	III		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
74	74	0	I\\			C	III		I	I						\\	M	0	0	0, 4, 1		0	0
74	74	1/2	V7/iv			C	III		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
75	75	0	V(64)/iv			C	III		V(64)/iv	V				64	iv		M	0	0	0, -1, -4		0	0
75	75	1/2	V7/iv			C	III		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
76	76	0	iv			C	III		iv	iv							m	0	0	-1, -4, 0		-1	-1
76	76	1/2	iio6			C	III		iio6	ii		o	6				o	0	0	-1, -4, 2		2	-1
77	77	0	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
77	77	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
78	78	0	I	i		C	III		I	I							M	0	0	0, 4, 1		0	0
78	78	1/2	V7/iv			C	III		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
79	79	0	V(64)/iv			C	III		V(64)/iv	V				64	iv		M	0	0	0, -1, -4		0	0
79	79	1/2	V7/iv			C	III		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
80	80	0	iv			C	III		iv	iv							m	0	0	-1, -4, 0		-1	-1
80	80	1/2	iio6			C	III		iio6	ii		o	6				o	0	0	-1, -4, 2		2	-1
81	81	0	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
81	81	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
82	82	0	i\\			C	III		i	i						\\	m	0	0	0, -3, 1		0	0
82	82	1/4	i6			C	III		i6	i			6				m	0	0	-3, 1, 0		0	-3
82	82	1/2	iv			C	III		iv	iv							m	0	0	-1, -4, 0		-1	-1
82	82	3/4	.bII6			C	III		bII6	bII			6				M	0	0	-1, -4, -5		-5	-1
83	83	0	V(b64)			C	III		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
83	83	1/2	V7			C	III		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
84	84	0	I.I			C	I		I	I							M	0	0	0, 4, 1		0	0
84	84	1/4	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
84	84	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
84	84	3/4	ii6			C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
85	85	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
85	85	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
86	86	0	I\\		1	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
87	87	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
88	88	0	I\\		1	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
88	88	1/4	IV6		1	C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
88	88	1/2	IV/IV		1	C	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2	-2
88	88	3/4	ii6/IV		1	C	I		ii6/IV	ii			6		IV		m	0	0	-2, 2, 1		1	-2
89	89	0	V(64)/IV			C	I		V(64)/IV	V				64	IV		M	0	0	0, -1, 3		0	0
89	89	1/2	V7/IV			C	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
90	90	0	vi/IV			C	I		vi/IV	vi					IV		m	0	0	2, -1, 3		2	2
90	90	1/4	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
90	90	1/2	IV/IV			C	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2	-2
90	90	3/4	ii6/IV			C	I		ii6/IV	ii			6		IV		m	0	0	-2, 2, 1		1	-2
91	91	0	V(64)/IV			C	I		V(64)/IV	V				64	IV		M	0	0	0, -1, 3		0	0
91	91	1/2	V7/IV			C	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
92	92	0	IV\\			C	I		IV	IV						\\	M	0	0	-1, 3, 0		-1	-1
93	93	3/4	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
94	94	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
95	95	0	i6			C	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
96	96	0	V/v			C	I		V/v	V					v		M	0	0	2, 6, 3		2	2
97	97	0	V6(b9)/v			C	I		V6(b9)/v	V			6	b9	v		M	0	0	6, 3, 2	-10	2	6
97	97	1/2	V6/v			C	I		V6/v	V			6		v		M	0	0	6, 3, 2		2	6
98	98	0	v			C	I		v	v							m	0	0	1, -2, 2		1	1
98	98	1/2	V43/v			C	I		V43/v	V			43		v		Mm7	0	0	3, 0, 2, 6		2	3
98	98	3/4	V64/v			C	I		V64/v	V			64		v		M	0	0	3, 2, 6		2	3
99	99	0	v6			C	I		v6	v			6				m	0	0	-2, 2, 1		1	-2
99	99	1/2	V6(b9)/v			C	I		V6(b9)/v	V			6	b9	v		M	0	0	6, 3, 2	-10	2	6
99	99	3/4	V6/v			C	I		V6/v	V			6		v		M	0	0	6, 3, 2		2	6
100	100	0	v			C	I		v	v							m	0	0	1, -2, 2		1	1
100	100	1/2	V43/v			C	I		V43/v	V			43		v		Mm7	0	0	3, 0, 2, 6		2	3
100	100	3/4	V64/v			C	I		V64/v	V			64		v		M	0	0	3, 2, 6		2	3
101	101	0	v6			C	I		v6	v			6				m	0	0	-2, 2, 1		1	-2
101	101	1/2	V6(b9)			C	I		V6(b9)	V			6	b9			M	0	0	5, 2, 1	-4	1	5
101	101	3/4	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
102	102	0	i			C	I		i	i							m	0	0	0, -3, 1		0	0
102	102	1/2	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
102	102	3/4	V64			C	I		V64	V			64				M	0	0	2, 1, 5		1	2
103	103	0	i6			C	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
103	103	1/2	V6(b9)			C	I		V6(b9)	V			6	b9			M	0	0	5, 2, 1	-4	1	5
103	103	3/4	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
104	104	0	i			C	I		i	i							m	0	0	0, -3, 1		0	0
104	104	1/2	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
104	104	3/4	V64			C	I		V64	V			64				M	0	0	2, 1, 5		1	2
105	105	0	i6			C	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
105	105	1/2	V6(b9)/iv			C	I		V6(b9)/iv	V			6	b9	iv		M	0	0	4, 1, 0	-12	0	4
105	105	3/4	V6/iv			C	I		V6/iv	V			6		iv		M	0	0	4, 1, 0		0	4
106	106	0	iv			C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
106	106	1/2	.bvii64			C	I		bvii64	bvii			64				m	0	0	-1, -2, -5		-2	-1
107	107	0	.bVM2			C	I		bVM2	bV		M	2				MM7	0	0	-1, -6, -2, -5		-6	-1
107	107	1/2	.bI6			C	I		bI6	bI			6				M	0	0	-3, -6, -7		-7	-3
108	108	0	V2/bvii			C	I		V2/bvii	V			2		bvii		Mm7	0	0	-3, -1, 3, 0		-1	-3
108	108	1/2	.bvii6			C	I		bvii6	bvii			6				m	0	0	-5, -1, -2		-2	-5
109	109	0	V2/bVI			C	I		V2/bVI	V			2		bVI		Mm7	0	0	-5, -3, 1, -2		-3	-5
109	109	1/2	.bVI6			C	I		bVI6	bVI			6				M	0	0	0, -3, -4		-4	0
110	110	0	.bIIM2			C	I		bIIM2	bII		M	2				MM7	0	0	0, -5, -1, -4		-5	0
110	110	1/2	.bV6			C	I		bV6	bV			6				M	0	0	-2, -5, -6		-6	-2
111	111	0	V2/iv			C	I		V2/iv	V			2		iv		Mm7	0	0	-2, 0, 4, 1		0	-2
111	111	1/2	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
112	112	0	V43/iv			C	I		V43/iv	V			43		iv		Mm7	0	0	1, -2, 0, 4		0	1
112	112	1/2	iv			C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
113	113	0	V6/iv			C	I		V6/iv	V			6		iv		M	0	0	4, 1, 0		0	4
113	113	1/4	v6/iv			C	I		v6/iv	v			6		iv		m	0	0	-3, 1, 0		0	-3
113	113	1/2	#vi%7/iv			C	I		#vi%7/iv	#vi		%	7		iv		%7	0	0	2, 1, 8, 0		2	2
113	113	3/4	.It6/iv			C	I		It6/iv	vii	It	o	6	b3	V/iv		M	0	0	-5, -1, 5		5	-5
114	114	0	V/iv\\			C	I		V/iv	V					iv	\\	M	0	0	0, 4, 1		0	0
114	114	1/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
114	114	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
114	114	3/4	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
115	115	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
115	115	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
115	115	1/2	viio43(+2)			C	I		viio43(+2)	vii		o	43	+2			o7	0	0	-1, -4, 5, 2	0	5	-1
116	116	0	V43(b9)/IV			C	I		V43(b9)/IV	V			43	b9	IV		Mm7	0	0	1, -2, 0, 4	-5	0	1
116	116	1/2	V7(b9)/IV			C	I		V7(b9)/IV	V			7	b9	IV		Mm7	0	0	0, 4, 1, -2	-5	0	0
117	117	1/2	V7/IV			C	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
118	118	0	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
118	118	1/4	V(64)/IV			C	I		V(64)/IV	V				64	IV		M	0	0	0, -1, 3		0	0
118	118	1/2	V/IV			C	I		V/IV	V					IV		M	0	0	0, 4, 1		0	0
118	118	3/4	V65/IV			C	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0	4
119	119	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
119	119	1/4	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
119	119	1/2	viio43(+2)/IV			C	I		viio43(+2)/IV	vii		o	43	+2	IV		o7	0	0	-2, -5, 4, 1	-1	4	-2
120	120	0	V43(b9)/bVII			C	I		V43(b9)/bVII	V			43	b9	bVII		Mm7	0	0	0, -3, -1, 3	-6	-1	0
120	120	1/2	V7(b9)/bVII			C	I		V7(b9)/bVII	V			7	b9	bVII		Mm7	0	0	-1, 3, 0, -3	-6	-1	-1
121	121	1/2	V7(b9)/bVII			C	I		V7(b9)/bVII	V			7	b9	bVII		Mm7	0	0	-1, 3, 0, -3	-6	-1	-1
122	122	0	.bVII			C	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
122	122	1/4	V(64)/bVII			C	I		V(64)/bVII	V				64	bVII		M	0	0	-1, -2, 2		-1	-1
122	122	1/2	V/bVII			C	I		V/bVII	V					bVII		M	0	0	-1, 3, 0		-1	-1
122	122	3/4	V65/bVII			C	I		V65/bVII	V			65		bVII		Mm7	0	0	3, 0, -3, -1		-1	3
123	123	0	.bVII6			C	I		bVII6	bVII			6				M	0	0	2, -1, -2		-2	2
123	123	1/4	.bVII			C	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
123	123	1/2	viio43(+2)/bVII			C	I		viio43(+2)/bVII	vii		o	43	+2	bVII		o7	0	0	-3, -6, 3, 0	-2	3	-3
124	124	0	V43(b9)/biii			C	I		V43(b9)/biii	V			43	b9	biii		Mm7	0	0	-1, -4, -2, 2	-14	-2	-1
124	124	1/2	V7(b9)/biii			C	I		V7(b9)/biii	V			7	b9	biii		Mm7	0	0	-2, 2, -1, -4	-14	-2	-2
125	125	1/4	V7/biii			C	I		V7/biii	V			7		biii		Mm7	0	0	-2, 2, -1, -4		-2	-2
125	125	1/2	V7(b9)/biii			C	I		V7(b9)/biii	V			7	b9	biii		Mm7	0	0	-2, 2, -1, -4	-14	-2	-2
125	125	3/4	V7/biii			C	I		V7/biii	V			7		biii		Mm7	0	0	-2, 2, -1, -4		-2	-2
126	126	0	.biii			C	I		biii	biii							m	0	0	-3, -6, -2		-3	-3
126	126	1/2	.biii64			C	I		biii64	biii			64				m	0	0	-2, -3, -6		-3	-2
128	128	0	V43/vii			C	I		V43/vii	V			43		vii		Mm7	0	0	7, 4, 6, 10		6	7
128	128	1/2	V65/vii			C	I		V65/vii	V			65		vii		Mm7	0	0	10, 7, 4, 6		6	10
129	129	0	V6/vii			C	I		V6/vii	V			6		vii		M	0	0	10, 7, 6		6	10
129	129	1/4	V65/vii			C	I		V65/vii	V			65		vii		Mm7	0	0	10, 7, 4, 6		6	10
130	130	0	vii6			C	I		vii6	vii			6				m	0	0	2, 6, 5		5	2
130	130	1/2	vii			C	I		vii	vii							m	0	0	5, 2, 6		5	5
132	132	0	V64			C	I		V64	V			64				M	0	0	2, 1, 5		1	2
132	132	1/2	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
133	133	1/4	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
133	133	1/2	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
134	134	0	i6			C	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
134	134	1/2	i			C	I		i	i							m	0	0	0, -3, 1		0	0
136	136	0	.bII64			C	I		bII64	bII			64				M	0	0	-4, -5, -1		-5	-4
136	136	1/2	.bII6			C	I		bII6	bII			6				M	0	0	-1, -4, -5		-5	-1
137	137	0	viio43/V			C	I		viio43/V	vii		o	43		V		o7	0	0	0, -3, 6, 3		6	0
137	137	1/2	viio7/V			C	I		viio7/V	vii		o	7		V		o7	0	0	6, 3, 0, -3		6	6
138	138	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
