mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	7.0	0	0	4/4	2	1		d.V6{		d	i		V6		V		6				{	M	1	1	5, 2, 1		1	5
2	2	7	1.0	3/4	3/4	4/4	2	1		V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	3	8	1.0	0	0	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	9	1.0	1/4	1/4	4/4	2	1		V64		d	i		V64		V		64					M	1	1	2, 1, 5		1	2
3	3	10	1.0	1/2	1/2	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	11	1.0	3/4	3/4	4/4	2	1		V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	12	1.0	0	0	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
4	4	13	1.0	1/4	1/4	4/4	2	1		V64		d	i		V64		V		64					M	1	1	2, 1, 5		1	2
4	4	14	1.0	1/2	1/2	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	15	1.0	3/4	3/4	4/4	2	1		V65/iv		d	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
5	5	16	1.0	0	0	4/4	2	1		iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	17	1.0	1/4	1/4	4/4	2	1		V64/iv		d	i		V64/iv		V		64		iv			M	1	1	1, 0, 4		0	1
5	5	18	1.0	1/2	1/2	4/4	2	1		iv6		d	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	19	1.0	3/4	3/4	4/4	2	1		It6		d	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
6	6	20	2.0	0	0	4/4	2	1		V(#764)		d	i		V(#764)		V			#764				M	1	1	1, 0, -3	6	1	1
6	6	22	2.0	1/2	1/2	4/4	2	1		V|HC}{		d	i		V		V					HC	}{	M	1	1	1, 5, 2		1	1
7	7	24	7.0	0	0	4/4	2	1		V6/III		d	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
8	8	31	1.0	3/4	3/4	4/4	2	1		V65/III		d	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
9	9	32	1.0	0	0	4/4	2	1		III(4)		d	i		III(4)		III			4				M	1	1	-3, -4, -2		-3	-3
9	9	33	2.0	1/4	1/4	4/4	2	1		III		d	i		III		III							M	1	1	-3, 1, -2		-3	-3
9	9	35	1.0	3/4	3/4	4/4	2	1		V65/iv		d	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
10	10	36	1.0	0	0	4/4	2	1		iv(4)		d	i		iv(4)		iv			4				m	1	1	-1, -2, 0		-1	-1
10	10	37	2.0	1/4	1/4	4/4	2	1		iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
10	10	39	2.0	3/4	3/4	4/4	2	1		bII6		d	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
11	11	41	4.0	1/4	1/4	4/4	2	1		#viio43		d	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
12	12	45	3.0	1/4	1/4	4/4	2	1		viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
13	13	48	30.0	0	0	4/4	2	1		V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
20	20	78	2.0	1/2	1/2	4/4	2	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
21	21	80	16.0	0	0	4/4	2	1		i|PAC}{		d	i		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
25	25	96	4.0	0	0	4/4	2	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
26	26	100	3.0	0	0	4/4	2	1		#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
26	26	103	9.0	3/4	3/4	4/4	2	1		V43		d	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
29	29	112	8.0	0	0	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
31	31	120	8.0	0	0	4/4	2	1		v.V6		d	v		V6		V		6					M	1	1	5, 2, 1		1	5
33	33	128	8.0	0	0	4/4	2	1		VI6		d	v		VI6		VI		6					M	1	1	0, -3, -4		-4	0
35	35	136	8.0	0	0	4/4	2	1		#viio6		d	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
37	37	144	4.0	0	0	4/4	2	1		i6		d	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
38	38	148	12.0	0	0	4/4	2	1		viio7/V		d	v		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
41	41	160	1.0	0	0	4/4	2	1		V[V|HC}{		d	v	V	V		V					HC	}{	M	1	1	1, 5, 2		1	1
41	41	161	3.0	1/4	1/4	4/4	2	1		V7		d	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
42	42	164	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
42	42	165	3.0	1/4	1/4	4/4	2	1		V7		d	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
43	43	168	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
43	43	169	3.0	1/4	1/4	4/4	2	1		V7		d	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
44	44	172	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
44	44	173	1.0	1/4	1/4	4/4	2	1		V7		d	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
44	44	174	1.0	1/2	1/2	4/4	2	1		V(64)		d	v	V	V(64)		V			64				M	1	1	1, 0, -3		1	1
44	44	175	2.0	3/4	3/4	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
45	45	177	3.0	1/4	1/4	4/4	2	1		i		d	v	V	i		i							m	1	1	0, -3, 1		0	0
46	46	180	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
46	46	181	3.0	1/4	1/4	4/4	2	1		i		d	v	V	i		i							m	1	1	0, -3, 1		0	0
47	47	184	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
47	47	185	3.0	1/4	1/4	4/4	2	1		i		d	v	V	i		i							m	1	1	0, -3, 1		0	0
48	48	188	1.0	0	0	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
48	48	189	1.0	1/4	1/4	4/4	2	1		i		d	v	V	i		i							m	1	1	0, -3, 1		0	0
48	48	190	1.0	1/2	1/2	4/4	2	1		V		d	v	V	V		V							M	1	1	1, 5, 2		1	1
48	48	191	1.0	3/4	3/4	4/4	2	1		i		d	v	V	i		i							m	1	1	0, -3, 1		0	0
