mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.5	0	3/8	3/4	2	1		C.V{		C	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	3/2	3/2	2.0	0	0	3/4	2	1		IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	1	7/2	7/2	1.0	1/2	1/2	3/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	2	9/2	9/2	3.0	0	0	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	15/2	15/2	3.0	0	0	3/4	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	4	21/2	21/2	1.5	0	0	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	12	12	1.5	3/8	3/8	3/4	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
6	5	27/2	27/2	3.0	0	0	3/4	2	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	33/2	33/2	2.0	0	0	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	37/2	37/2	1.0	1/2	1/2	3/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
8	7	39/2	39/2	1.0	0	0	3/4	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
8	7	41/2	41/2	1.0	1/4	1/4	3/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	43/2	43/2	1.0	1/2	1/2	3/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	45/2	45/2	1.5	0	0	3/4	2	1		V|HC}		C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
9	8	24	24	1.5	3/8	3/8	3/4	2	1		V.V{		C	V		V		V						{	M	0	0	1, 5, 2		1	1
10	9	51/2	51/2	3.0	0	0	3/4	2	1		viio43		C	V		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
11	10	57/2	57/2	2.0	0	0	3/4	2	1		i6		C	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
11	10	61/2	61/2	1.0	1/2	1/2	3/4	2	1		i		C	V		i		i							m	0	0	0, -3, 1		0	0
12	11	63/2	63/2	2.0	0	0	3/4	2	1		viio2		C	V		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
12	11	67/2	67/2	1.0	1/2	1/2	3/4	2	1		viio43		C	V		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
13	12	69/2	69/2	2.0	0	0	3/4	2	1		i6		C	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
13	12	73/2	73/2	1.0	1/2	1/2	3/4	2	1		i		C	V		i		i							m	0	0	0, -3, 1		0	0
14	13	75/2	75/2	2.0	0	0	3/4	2	1		viio2/V		C	V		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
14	13	79/2	79/2	1.0	1/2	1/2	3/4	2	1		viio43/V		C	V		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
15	14	81/2	81/2	2.0	0	0	3/4	2	1		V6		C	V		V6		V		6					M	0	0	5, 2, 1		1	5
15	14	85/2	85/2	1.0	1/2	1/2	3/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
16	15	87/2	87/2	1.0	0	0	3/4	2	1		I		C	V		I		I							M	0	0	0, 4, 1		0	0
