mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.G.I{	G	I		I		I					{	M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	2/2	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	2/2	1	1	viio6	G	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
2	2	3/4	3/4	2/2	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
3	3	0	0	2/2	1	1	V6	G	I		V6		V		6				M	0	0	5, 2, 1		1	5
3	3	1/4	1/4	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	2/2	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	2/2	1	1	V2/IV	G	I		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
4	4	0	0	2/2	1	1	IV6(2)	G	I		IV6(2)		IV		6	2			M	0	0	3, 0, 1		-1	3
4	4	1/4	1/4	2/2	1	1	viio	G	I		viio		vii	o					o	0	0	5, 2, -1		5	5
4	4	1/2	1/2	2/2	1	1	I}	G	I		I		I					}	M	0	0	0, 4, 1		0	0
5	5	0	0	2/2	1	1	{	G	I									{		0	0				
6	6	1/4	1/4	2/2	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
6	6	1/2	1/2	2/2	1	1	V64	G	I		V64		V		64				M	0	0	2, 1, 5		1	2
6	6	3/4	3/4	2/2	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
7	7	0	0	2/2	1	1	V6	G	I		V6		V		6				M	0	0	5, 2, 1		1	5
7	7	1/4	1/4	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
7	7	1/2	1/2	2/2	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
7	7	3/4	3/4	2/2	1	1	V2/IV	G	I		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
8	8	0	0	2/2	1	1	IV6(2)	G	I		IV6(2)		IV		6	2			M	0	0	3, 0, 1		-1	3
8	8	1/4	1/4	2/2	1	1	viio	G	I		viio		vii	o					o	0	0	5, 2, -1		5	5
8	8	1/2	1/2	2/2	1	1	I}	G	I		I		I					}	M	0	0	0, 4, 1		0	0
8	8	5/8	5/8	2/2	1	1	{	G	I									{		0	0				
9	9	0	0	2/2	1	1	V/ii	G	I		V/ii		V				ii		M	0	0	3, 7, 4		3	3
9	9	1/4	1/4	2/2	1	1	ii6	G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
10	10	0	0	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
10	10	1/4	1/4	2/2	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
11	11	0	0	2/2	1	1	IV	G	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
11	11	1/2	1/2	2/2	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
11	11	3/4	3/4	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
12	12	0	0	2/2	1	1	I}	G	I		I		I					}	M	0	0	0, 4, 1		0	0
12	12	3/8	3/8	2/2	1	1	{	G	I									{		0	0				
13	13	0	0	2/2	1	1	V/ii	G	I		V/ii		V				ii		M	0	0	3, 7, 4		3	3
13	13	1/4	1/4	2/2	1	1	ii6	G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
14	14	0	0	2/2	1	1	V/V/V	G	I		V/V/V		V				V/V		M	0	0	3, 7, 4		3	3
14	14	1/4	1/4	2/2	1	1	V6/V	G	I		V6/V		V		6		V		M	0	0	6, 3, 2		2	6
15	15	0	0	2/2	1	1	V}{	G	I		V		V					}{	M	0	0	1, 5, 2		1	1
15	15	1/2	1/2	2/2	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	2/2	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
17	17	0	0	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
17	17	1/2	1/2	2/2	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
18	18	0	0	2/2	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
19	19	0	0	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
19	19	1/4	1/4	2/2	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
19	19	1/2	1/2	2/2	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
19	19	3/4	3/4	2/2	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
20	20	0	0	2/2	1	1	V}	G	I		V		V					}	M	0	0	1, 5, 2		1	1
20	20	5/8	5/8	2/2	1	1	{	G	I									{		0	0				
21	21	0	0	2/2	1	1	V.I6	G	V		I6		I		6				M	0	0	4, 1, 0		0	4
21	21	1/4	1/4	2/2	1	1	V2	G	V		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
21	21	1/2	1/2	2/2	1	1	I6	G	V		I6		I		6				M	0	0	4, 1, 0		0	4
21	21	3/4	3/4	2/2	1	1	V6	G	V		V6		V		6				M	0	0	5, 2, 1		1	5
22	22	0	0	2/2	1	1	I	G	V		I		I						M	0	0	0, 4, 1		0	0
22	22	1/4	1/4	2/2	1	1	V6	G	V		V6		V		6				M	0	0	5, 2, 1		1	5
22	22	1/2	1/2	2/2	1	1	V	G	V		V		V						M	0	0	1, 5, 2		1	1
23	23	0	0	2/2	1	1	V2	G	V		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
23	23	1/4	1/4	2/2	1	1	I6	G	V		I6		I		6				M	0	0	4, 1, 0		0	4
23	23	1/2	1/2	2/2	1	1	V64	G	V		V64		V		64				M	0	0	2, 1, 5		1	2
23	23	3/4	3/4	2/2	1	1	I	G	V		I		I						M	0	0	0, 4, 1		0	0
24	24	0	0	2/2	1	1	V65	G	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
24	24	1/4	1/4	2/2	1	1	I	G	V		I		I						M	0	0	0, 4, 1		0	0
25	25	0	0	2/2	1	1	ii6	G	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
25	25	1/2	1/2	2/2	1	1	I6	G	V		I6		I		6				M	0	0	4, 1, 0		0	4
26	26	0	0	2/2	1	1	ii6	G	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
