mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	6/8	1	1	.G.I{		G	I		I		I					{	M	0	0	0, 4, 1		0	0
1	0	1/4	1/2	6/8	1	1	I6		G	I		I6		I		6				M	0	0	4, 1, 0		0	4
1	0	3/8	5/8	6/8	1	1	viio6		G	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
2	1	0	0	6/8	1	1	I		G	I		I		I						M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	6/8	1	1	vi6		G	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
2	1	1/2	1/2	6/8	1	1	ii6		G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
2	1	5/8	5/8	6/8	1	1	#viio6/ii		G	I		#viio6/ii		#vii	o	6		ii		o	0	0	4, 1, 7		7	4
3	2	0	0	6/8	1	1	ii		G	I		ii		ii						m	0	0	2, -1, 3		2	2
3	2	3/8	3/8	6/8	1	1	V65		G	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	2	5/8	5/8	6/8	1	1	I		G	I		I		I						M	0	0	0, 4, 1		0	0
4	3	0	0	6/8	1	1	viio6		G	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
4	3	1/8	1/8	6/8	1	1	I6		G	I		I6		I		6				M	0	0	4, 1, 0		0	4
4	3	1/4	1/4	6/8	1	1	ii6		G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
4	3	3/8	3/8	6/8	1	1	viio7/V		G	I		viio7/V		vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
5	4	0	0	6/8	1	1	V}		G	I		V		V					}	M	0	0	1, 5, 2		1	1
5	4	1/4	1/4	6/8	1	1	{		G	I									{		0	0				
5	4	3/8	3/8	6/8	1	1	I		G	I		I		I						M	0	0	0, 4, 1		0	0
5	4	1/2	1/2	6/8	1	1	I6		G	I		I6		I		6				M	0	0	4, 1, 0		0	4
5	4	5/8	5/8	6/8	1	1	viio6		G	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
6	5	0	0	6/8	1	1	I		G	I		I		I						M	0	0	0, 4, 1		0	0
6	5	1/4	1/4	6/8	1	1	vi6		G	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
6	5	1/2	1/2	6/8	1	1	ii6		G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
