mc	mn	onset	label	volta
1	0	15/16	.C.V	
2	1	0	I	
2	1	1/4	V43	
2	1	1/2	I6	
2	1	3/4	V6	
3	2	0	I	
3	2	1/4	ii6	
3	2	1/2	V	
4	3	0	I6	
4	3	1/4	V43	
4	3	1/2	I	
4	3	3/4	V43/vi	
5	4	0	vi	
5	4	1/4	IV	
5	4	1/2	V	
6	5	0	I	
6	5	1/4	V43	
6	5	1/2	I6	
6	5	3/4	V6	
7	6	0	I	
7	6	1/4	V.V43	
7	6	1/2	I6	
8	7	0	ii65	
8	7	1/4	viio7/V	
8	7	1/2	V(64)	
9	8	0	V7	
9	8	1/2	I\\	
11	9	0	I.I6	
11	9	1/4	V43	
11	9	1/2	I	
11	9	3/4	V2/IV	
12	10	0	IV6	
12	10	1/4	V43/IV	
12	10	1/2	IV	
13	11	1/4	V43/ii	
13	11	1/2	ii	
13	11	3/4	#viio6/ii	
14	12	0	ii6	
14	12	1/4	viio7/V	
14	12	1/2	V(4)	
14	12	3/4	V\\	
15	13	0	I6	
15	13	1/4	V43	
15	13	1/2	I	
15	13	3/4	V6	
16	14	0	I	
16	14	1/4	ii6	
16	14	1/2	V	
16	14	7/8	V2	
17	15	0	I6	
17	15	1/4	#viio65/ii	
17	15	1/2	ii6(11#7)	
17	15	3/4	ii6	
18	16	0	V(64)	
18	16	1/4	V7	
18	16	1/2	I\\	
19	17	0	V7	
19	17	1/4	I	
19	17	1/2	V7/ii	
19	17	3/4	ii	
20	18	0	V7/iii	
20	18	1/4	iii	
20	18	1/2	V43	
21	19	0	I(74)	
21	19	1/4	I	
21	19	1/2	ii43	
21	19	3/4	IV	
22	20	0	V(64)	
22	20	1/4	V7	
22	20	1/2	I\\	
23	20	15/16	V	
24	21	0	I6	
24	21	1/4	V2	
24	21	1/2	I6	
24	21	3/4	V6	
25	22	0	I	
25	22	1/4	V43	
25	22	1/2	V6	
26	23	0	I6	
26	23	1/4	V64	
26	23	3/8	V43	
26	23	1/2	I(4)	
26	23	5/8	I	
26	23	3/4	V64/vi	
26	23	7/8	#viio6/vi	
27	24	0	vi(4)	
27	24	1/8	vi	
27	24	1/4	IV	
27	24	3/8	ii6	
27	24	1/2	V(4)	
27	24	5/8	V	
28	25	0	I6	
28	25	1/4	V2	
28	25	1/2	I6	
28	25	3/4	V6	
29	26	0	I	
29	26	1/4	V.viio6	
29	26	1/2	I6(11)	
29	26	5/8	I6	
30	27	0	ii6	
30	27	1/4	viio7/V	
30	27	1/2	V(964)	
30	27	5/8	V(64)	
31	28	0	V7	
31	28	1/4	V	
31	28	1/2	I(7)	
31	28	5/8	I\\	
32	29	0	I.I6	
32	29	1/4	V43	
32	29	1/2	I	
32	29	3/4	viio64/IV	
33	30	0	IV6(2)	
33	30	1/8	IV6	
33	30	1/4	V43(4)/IV	
33	30	3/8	V43/IV	
33	30	1/2	IV(7)	
33	30	5/8	IV	
34	31	1/4	V65/ii	
34	31	1/2	ii	
34	31	3/4	V2/ii	
35	32	0	ii6	
35	32	1/4	V65/V	
35	32	1/2	V(4)	
35	32	3/4	V	
35	32	7/8	V7\\	
36	33	0	I6	
36	33	1/4	V2	
36	33	1/2	I6	
36	33	3/4	V6	
37	34	0	I	
37	34	1/4	V43	
37	34	1/2	V6	
37	34	3/4	V2	
38	35	0	I(7)	
38	35	1/8	I	
38	35	1/4	V2/IV	
38	35	3/8	#viio7/ii	
38	35	1/2	V7/ii	
38	35	5/8	ii64(4)	
38	35	3/4	ii64	
39	36	0	V(964)	
39	36	1/8	V(64)	
39	36	1/4	V(4)	
39	36	3/8	V	
39	36	1/2	I\\	
40	37	0	V7	
40	37	1/4	I(974)	
40	37	3/8	I	
40	37	1/2	V7/ii	
40	37	3/4	ii(9#74)	
40	37	7/8	ii	
41	38	0	V7/iii	
41	38	1/4	iii(#9#74)	
41	38	3/8	iii	
41	38	1/2	V43	
42	39	0	I(74)	
42	39	3/8	I	
42	39	1/2	vi7	
42	39	5/8	ii43	
42	39	3/4	ii65	
42	39	7/8	IV	
43	40	0	V7(94)	1
43	40	1/8	V(64)	1
43	40	3/8	V7	1
43	40	1/2	I\\	1
43	40	7/8	V	1
44	41	0	I6	1
44	41	1/4	V43	1
44	41	1/2	I	1
44	41	3/4	viio64/IV	1
45	40	0	V7(94)	2
45	40	1/8	V(64)	2
45	40	3/8	V7	2
45	40	1/2	I\\	2
45	40	7/8	V	2
46	41	0	I[I6	
46	41	1/4	V43	
46	41	1/2	I	
46	41	3/4	V65	
47	42	0	V2/IV	
47	42	1/4	IV6	
47	42	1/2	ii%43	
47	42	3/4	V7	
48	43	0	V2	
48	43	1/4	I6	
48	43	1/2	V43	
48	43	3/4	V+7/IV]	
49	44	0	IV	
49	44	1/4	ii	
49	44	1/2	V(b9)	
49	44	7/8	V	
50	45	0	I[I6	
50	45	1/4	V43	
50	45	1/2	I	
50	45	3/4	V6	
51	46	0	I]	
51	46	1/4	V.viio65	
51	46	1/2	I6	
52	47	0	ii65	
52	47	1/4	viio7/V	
52	47	1/2	V(64)	
53	48	0	V7	
53	48	1/2	I\\	
54	49	0	I.#viio43/ii	
54	49	3/4	V43/IV	
55	50	0	IV6	
55	50	1/4	V43/IV	
55	50	1/2	IV	
55	50	3/4	IV+	
56	51	0	IV[ii	
56	51	1/4	#viio2/ii	
56	51	1/2	ii6	
56	51	3/4	#viio43/ii	
57	52	0	ii6]	
57	52	1/4	viio7/V	
57	52	1/2	V\\	
58	53	0	I[I	
58	53	1/4	V43	
58	53	1/2	I	
58	53	3/4	V65	
59	54	0	V2/IV	
59	54	1/4	IV6	
59	54	1/2	ii%43	
59	54	3/4	V7]	
60	55	0	V2	
60	55	1/4	#viio65/ii	
60	55	1/2	ii6(11#7b6)	
60	55	3/4	ii6	
61	56	0	V(64)	
61	56	1/4	V7	
61	56	1/2	I\\	
62	57	0	V7	
62	57	1/4	I	
62	57	1/2	V7/ii	
62	57	3/4	ii	
63	58	0	V7/iii	
63	58	1/4	iii	
63	58	1/2	V43	
64	59	0	I(74)	
64	59	1/4	I	
64	59	1/2	ii43	
64	59	3/4	IV	
65	60	0	V(64)	1
65	60	1/4	V7	1
65	60	1/2	I\\	1
66	60	0	V(64)	2
66	60	1/4	V7	2
66	60	1/2	I\\	2
67	61	0	V7(4)	
67	61	1/4	V7	
67	61	1/2	V7(b9)	
67	61	3/4	V7	
68	62	0	V7(4)	
68	62	1/4	V7	
68	62	1/2	V7(b9)	
68	62	3/4	V7	
69	63	0	V(b9)	
69	63	1/4	V	
69	63	1/2	V(#7)	
69	63	3/4	V7	
70	64	0	v7	
70	64	1/4	V7(9)	
70	64	1/2	V7(b9)	
70	64	3/4	V7\\	
71	65	0	I	
71	65	1/4	V43	
71	65	1/2	I6	
71	65	3/4	V6	
72	66	0	I	
72	66	1/4	ii6	
72	66	1/2	V	
72	66	7/8	viio64	
73	67	0	I6	
73	67	1/4	V43	
73	67	1/2	I	
73	67	3/4	#viio6/vi	
74	68	0	vi	
74	68	1/4	IV	
74	68	1/2	V7	
75	69	0	I	
75	69	1/4	V43	
75	69	1/2	I6	
75	69	3/4	V6	
76	70	0	I	
76	70	1/4	V.viio6	
76	70	1/2	I6	
77	71	0	ii65	
77	71	1/4	viio7/V	
77	71	1/2	V(64)	
78	72	0	V7	
78	72	1/4	V	
78	72	1/2	I\\	
79	73	0	I.I6	
79	73	1/4	V43	
79	73	1/2	I	
79	73	3/4	V2/IV	
80	74	0	IV6	
80	74	1/4	V43/IV	
80	74	1/2	IV	
81	75	1/4	V43/ii	
81	75	1/2	ii	
81	75	3/4	#viio6/ii	
82	76	0	ii6	
82	76	1/4	viio7/V	
82	76	1/2	V(4)	
82	76	3/4	V	
82	76	7/8	V2	
83	77	0	I6	
83	77	1/4	V43	
83	77	1/2	I	
83	77	3/4	V6	
84	78	0	I	
84	78	1/4	ii6	
84	78	1/2	V	
84	78	7/8	V2	
85	79	0	I6	
85	79	1/4	#viio65/ii	
85	79	1/2	ii6(11#7)	
85	79	3/4	ii6	
86	80	0	V(64)	
86	80	1/4	V7	
86	80	1/2	I\\	
87	81	0	V7	
87	81	1/4	I	
87	81	1/2	V7/ii	
87	81	3/4	ii	
88	82	0	V7/iii	
88	82	1/4	iii	
88	82	1/2	V43	
89	83	0	I(74)	
89	83	1/4	I	
89	83	1/2	ii43	
89	83	3/4	IV	
90	84	0	V(64)	
90	84	1/4	V7	
90	84	1/2	I\\	
91	85	0	I	
91	85	1/4	V43	
91	85	1/2	I6	
91	85	3/4	V65	
92	86	0	I	
92	86	1/4	ii6	
92	86	1/2	V	
93	87	0	I6	
93	87	1/4	V43	
93	87	1/2	I	
93	87	3/4	V43/vi	
94	88	0	vi	
94	88	1/2	ii6	
95	89	0	V(64)	
95	89	1/2	V7	
96	90	0	I\\	
