mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	3/4	2	1	Ab.I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/2	1.5	3/8	3/8	3/4	2	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	3	1.0	0	0	3/4	2	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	4	2.0	1/4	1/4	3/4	2	1	V2		Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	6	1.5	0	0	3/4	2	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	15/2	0.5	3/8	3/8	3/4	2	1	ii43		Ab	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
3	3	8	0.5	1/2	1/2	3/4	2	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	17/2	0.5	5/8	5/8	3/4	2	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	9	1.0	0	0	3/4	2	1	V		Ab	I		V		V							M	0	0	1, 5, 2		1	1
4	4	10	2.0	1/4	1/4	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	12	3.0	0	0	3/4	2	1	I|IAC}{		Ab	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
6	6	15	1.0	0	0	3/4	2	1	V43(4)		Ab	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
6	6	16	2.0	1/4	1/4	3/4	2	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	18	3.0	0	0	3/4	2	1	V2		Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	21	3.0	0	0	3/4	2	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	24	3.0	0	0	3/4	2	1	V2/IV		Ab	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
10	10	27	1.5	0	0	3/4	2	1	IV6(9)		Ab	I		IV6(9)		IV		6	9				M	0	0	3, 0, -1	1	-1	3
10	10	57/2	0.5	3/8	3/8	3/4	2	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
10	10	29	0.5	1/2	1/2	3/4	2	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
10	10	59/2	0.5	5/8	5/8	3/4	2	1	ii65		Ab	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	30	0.5	0	0	3/4	2	1	V(964)		Ab	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
