mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1		Eb.I{		Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	2	2	1.5	0	0	2/4	2	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1		IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
3	3	4	4	0.5	0	0	2/4	2	1		viio64/IV/vi		Eb	I		viio64/IV/vi		vii	o	64		IV/vi			o	0	0	1, 7, 4		7	1
3	3	9/2	9/2	0.5	1/8	1/8	2/4	2	1		viio43/IV/vi		Eb	I		viio43/IV/vi		vii	o	43		IV/vi			o7	0	0	1, -2, 7, 4		7	1
3	3	5	5	0.5	1/4	1/4	2/4	2	1		IV6/vi		Eb	I		IV6/vi		IV		6		vi			M	0	0	6, 3, 2		2	6
3	3	11/2	11/2	0.5	3/8	3/8	2/4	2	1		Fr6/vi		Eb	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	-1, 3, 5, 9		5	-1
4	4	6	6	0.5	0	0	2/4	2	1		V/vi[V(64)/vi		Eb	I	V/vi	V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4
4	4	13/2	13/2	0.5	1/8	1/8	2/4	2	1		viio65/V/vi		Eb	I	V/vi	viio65/V/vi		vii	o	65		V/vi			o7	0	0	6, 3, 0, 9		9	6
4	4	7	7	0.5	1/4	1/4	2/4	2	1		V/vi|HC}		Eb	I	V/vi	V/vi		V				vi	HC	}	M	0	0	4, 8, 5		4	4
4	4	15/2	15/2	1.0	3/8	3/8	2/4	2	1		V(64)/vi{		Eb	I	V/vi	V(64)/vi		V			64	vi		{	M	0	0	4, 3, 0		4	4
5	5	17/2	17/2	0.5	1/8	1/8	2/4	2	1		viio65/V/vi		Eb	I	V/vi	viio65/V/vi		vii	o	65		V/vi			o7	0	0	6, 3, 0, 9		9	6
5	5	9	9	0.5	1/4	1/4	2/4	2	1		V/vi		Eb	I	V/vi	V/vi		V				vi			M	0	0	4, 8, 5		4	4
5	5	19/2	19/2	0.5	3/8	3/8	2/4	2	1		iii]		Eb	I	V/vi	iii		iii							m	0	0	4, 1, 5		4	4
6	6	10	10	0.5	0	0	2/4	2	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	21/2	21/2	0.5	1/8	1/8	2/4	2	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	11	11	0.5	1/4	1/4	2/4	2	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
