mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	7/8	4/4	2	1	D.I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	3.5	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	1	4	4	0.5	7/8	7/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	9/2	9/2	4.0	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	17/2	17/2	1.0	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	19/2	19/2	1.0	1/4	1/4	4/4	2	1	viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
4	3	21/2	21/2	1.0	1/2	1/2	4/4	2	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
4	3	23/2	23/2	1.0	3/4	3/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	25/2	25/2	1.0	0	0	4/4	2	1	V43(4)/V		D	I		V43(4)/V		V		43	4	V			Mm7	0	0	3, 0, 2, 1		2	3
5	4	27/2	27/2	1.0	1/4	1/4	4/4	2	1	V43/V		D	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
5	4	29/2	29/2	1.0	1/2	1/2	4/4	2	1	V(974)|HC}		D	I		V(974)		V			974		HC	}	M	0	0	1, 0, 2	3, -1	1	1
5	4	31/2	31/2	0.5	3/4	3/4	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
5	4	16	16	0.5	7/8	7/8	4/4	2	1	I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
6	5	33/2	33/2	1.5	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	5	18	18	0.5	3/8	3/8	4/4	2	1	V/vi		D	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
6	5	37/2	37/2	1.5	1/2	1/2	4/4	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
6	5	20	20	0.5	7/8	7/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
7	6	41/2	41/2	1.5	0	0	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
7	6	22	22	0.5	3/8	3/8	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	45/2	45/2	1.0	1/2	1/2	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	6	47/2	47/2	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	49/2	49/2	3.5	0	0	4/4	2	1	vi|DC}		D	I		vi		vi					DC	}	m	0	0	3, 0, 4		3	3
8	7	28	28	0.5	7/8	7/8	4/4	2	1	#viio43/ii{		D	I		#viio43/ii		#vii	o	43		ii		{	o7	0	0	1, -2, 7, 4		7	1
9	8	57/2	57/2	1.5	0	0	4/4	2	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
9	8	30	30	0.5	3/8	3/8	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	8	61/2	61/2	1.0	1/2	1/2	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	63/2	63/2	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	65/2	65/2	2.0	0	0	4/4	2	1	I|PAC}{		D	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
10	9	69/2	69/2	2.0	1/2	1/2	4/4	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
11	10	73/2	73/2	2.0	0	0	4/4	2	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
11	10	77/2	77/2	2.0	1/2	1/2	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	11	81/2	81/2	2.0	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	11	85/2	85/2	2.0	1/2	1/2	4/4	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
13	12	89/2	89/2	2.0	0	0	4/4	2	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
13	12	93/2	93/2	2.0	1/2	1/2	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	97/2	97/2	2.0	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	13	101/2	101/2	2.0	1/2	1/2	4/4	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	105/2	105/2	2.0	0	0	4/4	2	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
15	14	109/2	109/2	2.0	1/2	1/2	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	113/2	113/2	2.0	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	117/2	117/2	2.0	1/2	1/2	4/4	2	1	i6		D	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
17	16	121/2	121/2	4.0	0	0	4/4	2	1	V7/V		D	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
18	17	129/2	129/2	4.0	0	0	4/4	2	1	V2/V		D	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
19	18	137/2	137/2	4.0	0	0	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	19	145/2	145/2	4.0	0	0	4/4	2	1	V2/V		D	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
21	20	153/2	153/2	4.0	0	0	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
22	21	161/2	161/2	4.0	0	0	4/4	2	1	V2/V		D	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
23	22	169/2	169/2	8.0	0	0	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
25	24	185/2	185/2	3.5	0	0	4/4	2	1	V65|HC}		D	I		V65		V		65			HC	}	Mm7	0	0	5, 2, -1, 1		1	5
25	24	96	96	0.5	7/8	7/8	4/4	2	1	I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
26	25	193/2	193/2	3.5	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	25	100	100	0.5	7/8	7/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
27	26	201/2	201/2	4.0	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
28	27	209/2	209/2	1.0	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
28	27	211/2	211/2	1.0	1/4	1/4	4/4	2	1	viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
28	27	213/2	213/2	1.0	1/2	1/2	4/4	2	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
28	27	215/2	215/2	1.0	3/4	3/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
29	28	217/2	217/2	1.0	0	0	4/4	2	1	V43(4)/V		D	I		V43(4)/V		V		43	4	V			Mm7	0	0	3, 0, 2, 1		2	3
29	28	219/2	219/2	1.0	1/4	1/4	4/4	2	1	V43/V		D	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
29	28	221/2	221/2	1.0	1/2	1/2	4/4	2	1	V(974)|HC}		D	I		V(974)		V			974		HC	}	M	0	0	1, 0, 2	3, -1	1	1
29	28	223/2	223/2	0.5	3/4	3/4	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
29	28	112	112	0.5	7/8	7/8	4/4	2	1	I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
30	29	225/2	225/2	1.5	0	0	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
30	29	114	114	0.5	3/8	3/8	4/4	2	1	V/vi		D	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
30	29	229/2	229/2	1.5	1/2	1/2	4/4	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
30	29	116	116	0.5	7/8	7/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
31	30	233/2	233/2	1.5	0	0	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
31	30	118	118	0.5	3/8	3/8	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
31	30	237/2	237/2	1.0	1/2	1/2	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
31	30	239/2	239/2	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	31	241/2	241/2	3.5	0	0	4/4	2	1	vi|DC}		D	I		vi		vi					DC	}	m	0	0	3, 0, 4		3	3
32	31	124	124	0.5	7/8	7/8	4/4	2	1	#viio43/ii{		D	I		#viio43/ii		#vii	o	43		ii		{	o7	0	0	1, -2, 7, 4		7	1
33	32	249/2	249/2	1.5	0	0	4/4	2	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
33	32	126	126	0.5	3/8	3/8	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
33	32	253/2	253/2	1.0	1/2	1/2	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
33	32	255/2	255/2	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	33	257/2	257/2	12.0	0	0	4/4	2	1	bVI.I|DC}		D	bVI		I		I					DC	}	M	0	0	0, 4, 1		0	0
36	35	547/4	547/4	0.0	1/16	1/16	4/4	2	1	{		D	bVI										{		0	0				
37	36	281/2	281/2	1.0	0	0	4/4	2	1	V43(134)		D	bVI		V43(134)		V		43	134				Mm7	0	0	2, -1, 1, 0	4	1	2
37	36	283/2	283/2	1.0	1/4	1/4	4/4	2	1	V43		D	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
37	36	285/2	285/2	2.0	1/2	1/2	4/4	2	1	V65		D	bVI		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
38	37	289/2	289/2	4.0	0	0	4/4	2	1	vi		D	bVI		vi		vi							m	0	0	3, 0, 4		3	3
39	38	297/2	297/2	1.0	0	0	4/4	2	1	V43(134)/vi		D	bVI		V43(134)/vi		V		43	134	vi			Mm7	0	0	5, 2, 4, 3	0	4	5
39	38	299/2	299/2	1.0	1/4	1/4	4/4	2	1	V43/vi		D	bVI		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
39	38	301/2	301/2	2.0	1/2	1/2	4/4	2	1	V65/vi		D	bVI		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
40	39	305/2	305/2	4.0	0	0	4/4	2	1	IV		D	bVI		IV		IV							M	0	0	-1, 3, 0		-1	-1
41	40	313/2	313/2	1.0	0	0	4/4	2	1	V43(134)/IV		D	bVI		V43(134)/IV		V		43	134	IV			Mm7	0	0	1, -2, 0, -1	3	0	1
41	40	315/2	315/2	1.0	1/4	1/4	4/4	2	1	V43/IV		D	bVI		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
41	40	317/2	317/2	2.0	1/2	1/2	4/4	2	1	V65/IV		D	bVI		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
42	41	321/2	321/2	12.0	0	0	4/4	2	1	I/IV		D	bVI		I/IV		I				IV			M	0	0	-1, 3, 0		-1	-1
45	44	345/2	345/2	4.0	0	0	4/4	2	1	viio7/V		D	bVI		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
46	45	353/2	353/2	3.5	0	0	4/4	2	1	viio/V|HC}		D	bVI		viio/V		vii	o			V	HC	}	o	0	0	6, 3, 0		6	6
46	45	180	180	0.5	7/8	7/8	4/4	2	1	I/V{		D	bVI		I/V		I				V		{	M	0	0	1, 5, 2		1	1
47	46	361/2	361/2	3.5	0	0	4/4	2	1	IV/V		D	bVI		IV/V		IV				V			M	0	0	0, 4, 1		0	0
47	46	184	184	0.5	7/8	7/8	4/4	2	1	I/V		D	bVI		I/V		I				V			M	0	0	1, 5, 2		1	1
48	47	369/2	369/2	4.0	0	0	4/4	2	1	IV/V		D	bVI		IV/V		IV				V			M	0	0	0, 4, 1		0	0
49	48	377/2	377/2	1.0	0	0	4/4	2	1	I6/V		D	bVI		I6/V		I		6		V			M	0	0	5, 2, 1		1	5
49	48	379/2	379/2	1.0	1/4	1/4	4/4	2	1	viio/V		D	bVI		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
49	48	381/2	381/2	0.5	1/2	1/2	4/4	2	1	I/V		D	bVI		I/V		I				V			M	0	0	1, 5, 2		1	1
49	48	191	191	0.5	5/8	5/8	4/4	2	1	I.i6		D	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
49	48	383/2	383/2	0.5	3/4	3/4	4/4	2	1	viio6(2)|HC		D	I		viio6(2)		vii	o	6	2		HC		o	0	0	2, -1, 0		5	2
49	48	192	192	4.0	7/8	7/8	4/4	2	1	viio6}		D	I		viio6		vii	o	6				}	o	0	0	2, -1, 5		5	2
50	49	196	196	0.5	7/8	7/8	4/4	2	1	bVI{		D	I		bVI		bVI						{	M	0	0	-4, 0, -3		-4	-4
51	50	393/2	393/2	1.0	0	0	4/4	2	1	i64		D	I		i64		i		64					m	0	0	1, 0, -3		0	1
51	50	395/2	395/2	1.0	1/4	1/4	4/4	2	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
51	50	397/2	397/2	1.0	1/2	1/2	4/4	2	1	bVI64		D	I		bVI64		bVI		64					M	0	0	-3, -4, 0		-4	-3
51	50	399/2	399/2	1.0	3/4	3/4	4/4	2	1	i64		D	I		i64		i		64					m	0	0	1, 0, -3		0	1
52	51	401/2	401/2	1.0	0	0	4/4	2	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
52	51	403/2	403/2	1.0	1/4	1/4	4/4	2	1	bVI64		D	I		bVI64		bVI		64					M	0	0	-3, -4, 0		-4	-3
52	51	405/2	405/2	1.0	1/2	1/2	4/4	2	1	i64		D	I		i64		i		64					m	0	0	1, 0, -3		0	1
52	51	407/2	407/2	1.0	3/4	3/4	4/4	2	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
53	52	409/2	409/2	1.0	0	0	4/4	2	1	iii6		D	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
53	52	411/2	411/2	1.0	1/4	1/4	4/4	2	1	viio7/V		D	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
53	52	413/2	413/2	1.0	1/2	1/2	4/4	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
53	52	415/2	415/2	1.0	3/4	3/4	4/4	2	1	viio7/IV		D	I		viio7/IV		vii	o	7		IV			o7	0	0	4, 1, -2, -5		4	4
54	53	417/2	417/2	1.0	0	0	4/4	2	1	i6		D	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
