mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1		.A.I{	A	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1		V43	A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	0	0	4/4	1	1		I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	4/4	1	1		V6	A	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	3	1/2	1/2	4/4	1	1		I	A	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	4/4	1	1		IV6	A	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	0	0	4/4	1	1		V(64)}	A	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
4	4	1/2	1/2	4/4	1	1		V	A	I		V		V							M	0	0	1, 5, 2		1	1
4	4	3/4	3/4	4/4	1	1		viio64	A	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
5	5	0	0	4/4	1	1		I6{	A	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	4/4	1	1		V64	A	I		V64		V		64					M	0	0	2, 1, 5		1	2
6	6	0	0	4/4	1	1		V65/V/V	A	I		V65/V/V		V		65		V/V			Mm7	0	0	7, 4, 1, 3		3	7
6	6	1/2	1/2	4/4	1	1		V43/V/V	A	I		V43/V/V		V		43		V/V			Mm7	0	0	4, 1, 3, 7		3	4
7	7	0	0	4/4	1	1		V(64)/V	A	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
7	7	1/2	1/2	4/4	1	1		V7/V	A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
8	8	0	0	4/4	1	1		V[V(9#74)}	A	I	V	V(9#74)		V			9#74			}	M	0	0	1, 0, 2	3, 6	1	1
8	8	1/2	1/2	4/4	1	1		V	A	I	V	V		V							M	0	0	1, 5, 2		1	1
8	8	5/8	5/8	4/4	1	1		{	A	I	V									{		0	0				
9	9	0	0	4/4	1	1		V7	A	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
