mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
443	443	0	V7/bVI		C	I		V7/bVI	V			7		bVI		Mm7	0	0	-3, 1, -2, -5		-3	-3
444	444	0	#viio7/iv		C	I		#viio7/iv	#vii		o	7		iv		o7	0	0	4, 1, -2, -5		4	4
445	445	0	iv		C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
447	447	0	V7/iv		C	I		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
449	449	0	.bII		C	I		bII	bII							M	0	0	-5, -1, -4		-5	-5
451	451	0	V7/bII		C	I		V7/bII	V			7		bII		Mm7	0	0	-4, 0, -3, -6		-4	-4
452	452	0	#viio7/bvii		C	I		#viio7/bvii	#vii		o	7		bvii		o7	0	0	3, 0, -3, -6		3	3
453	453	0	.bvii		C	I		bvii	bvii							m	0	0	-2, -5, -1		-2	-2
455	455	0	iv6		C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
457	457	0	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
459	459	0	VI		C	I		VI	VI							M	0	0	3, 7, 4		3	3
461	461	0	viio65/V		C	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6	3
