mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
228	228	0	iv]\\		C	i	iv	iv	iv						\\	m	0	1	-1, -4, 0		-1	-1
229	229	0	.bII[bII		C	i	bII	bII	bII							M	0	1	-5, -1, -4		-5	-5
231	231	0	V43/bII		C	i	bII	V43/bII	V			43		bII		Mm7	0	1	-3, -6, -4, 0		-4	-3
232	232	0	.bII		C	i	bII	bII	bII							M	0	1	-5, -1, -4		-5	-5
233	233	0	V7/bII		C	i	bII	V7/bII	V			7		bII		Mm7	0	1	-4, 0, -3, -6		-4	-4
234	234	0	.bII		C	i	bII	bII	bII							M	0	1	-5, -1, -4		-5	-5
235	235	0	V7/bII		C	i	bII	V7/bII	V			7		bII		Mm7	0	1	-4, 0, -3, -6		-4	-4
236	236	0	.bII		C	i	bII	bII	bII							M	0	1	-5, -1, -4		-5	-5
237	237	0	V7/bII		C	i	bII	V7/bII	V			7		bII		Mm7	0	1	-4, 0, -3, -6		-4	-4
239	239	0	.bII]\\		C	i	bII	bII	bII						\\	M	0	1	-5, -1, -4		-5	-5
241	241	0	V(4)/bII		C	i		V(4)/bII	V				4	bII		M	0	1	-4, -5, -3		-4	-4
241	241	1/8	V/bII		C	i		V/bII	V					bII		M	0	1	-4, 0, -3		-4	-4
242	242	0	iv/iii		C	i		iv/iii	iv					iii		m	0	1	-4, -7, -3		-4	-4
242	242	3/8	#viio43/iii		C	i		#viio43/iii	#vii		o	43		iii		o7	0	1	-4, -7, 2, -1		2	-4
243	243	0	iii		C	i		iii	iii							m	0	1	-3, -6, -2		-3	-3
245	245	0	V(4)/iii		C	i		V(4)/iii	V				4	iii		M	0	1	-2, -3, -1		-2	-2
245	245	1/8	V/iii		C	i		V/iii	V					iii		M	0	1	-2, 2, -1		-2	-2
246	246	0	iv/iv		C	i		iv/iv	iv					iv		m	0	1	-2, -5, -1		-2	-2
246	246	3/8	#viio43/iv		C	i		#viio43/iv	#vii		o	43		iv		o7	0	1	-2, -5, 4, 1		4	-2
247	247	0	iv		C	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
249	249	0	V(4)/iv		C	i		V(4)/iv	V				4	iv		M	0	1	0, -1, 1		0	0
249	249	1/8	V/iv		C	i		V/iv	V					iv		M	0	1	0, 4, 1		0	0
250	250	0	iv		C	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
251	251	0	V/iv		C	i		V/iv	V					iv		M	0	1	0, 4, 1		0	0
253	253	0	V(964)/iv		C	i		V(964)/iv	V				964	iv		M	0	1	0, -1, -4	-5	0	0
255	255	0	V7/iv		C	i		V7/iv	V			7		iv		Mm7	0	1	0, 4, 1, -2		0	0
257	257	0	V/vii		C	i		V/vii	V					vii		M	0	1	-1, 3, 0		-1	-1
259	259	0	V(964)/vii		C	i		V(964)/vii	V				964	vii		M	0	1	-1, -2, -5	-6	-1	-1
261	261	0	V7/vii		C	i		V7/vii	V			7		vii		Mm7	0	1	-1, 3, 0, -3		-1	-1
263	263	0	V/iii		C	i		V/iii	V					iii		M	0	1	-2, 2, -1		-2	-2
265	265	0	V(964)/iii		C	i		V(964)/iii	V				964	iii		M	0	1	-2, -3, -6	-7	-2	-2
267	267	0	V7/iii		C	i		V7/iii	V			7		iii		Mm7	0	1	-2, 2, -1, -4		-2	-2
269	269	0	iii		C	i		iii	iii							m	0	1	-3, -6, -2		-3	-3
271	271	0	V65/bII		C	i		V65/bII	V			65		bII		Mm7	0	1	0, -3, -6, -4		-4	0
273	273	0	.bII		C	i		bII	bII							M	0	1	-5, -1, -4		-5	-5
275	275	0	V65		C	i		V65	V			65				Mm7	0	1	5, 2, -1, 1		1	5
277	277	0	i		C	i		i	i							m	0	1	0, -3, 1		0	0
279	279	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
280	280	0	i		C	i		i	i							m	0	1	0, -3, 1		0	0
281	281	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
282	282	0	i		C	i		i	i							m	0	1	0, -3, 1		0	0
283	283	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
283	283	1/4	V7		C	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1	1
284	284	0	i		C	i		i	i							m	0	1	0, -3, 1		0	0
285	285	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
286	286	0	i6		C	i		i6	i			6				m	0	1	-3, 1, 0		0	-3
286	286	1/4	i		C	i		i	i							m	0	1	0, -3, 1		0	0
287	287	0	V\\		C	i		V	V						\\	M	0	1	1, 5, 2		1	1
287	287	1/4	V(9)		C	i		V(9)	V				9			M	0	1	1, 5, 2	-4	1	1
289	289	0	viio43/V		C	i		viio43/V	vii		o	43		V		o7	0	1	0, -3, 6, 3		6	0
291	291	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
291	291	1/4	V(9)		C	i		V(9)	V				9			M	0	1	1, 5, 2	-4	1	1
293	293	0	viio43/V		C	i		viio43/V	vii		o	43		V		o7	0	1	0, -3, 6, 3		6	0
295	295	0	V		C	i		V	V							M	0	1	1, 5, 2		1	1
299	299	1/4	V7		C	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1	1
305	305	1/4	V7(+2)		C	i		V7(+2)	V			7	+2			Mm7	0	1	1, 5, 2, -1	-4	1	1
306	306	0	V7		C	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1	1
307	307	1/4	V7(+2)		C	i		V7(+2)	V			7	+2			Mm7	0	1	1, 5, 2, -1	-4	1	1
308	308	0	V7		C	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1	1
310	310	1/4	V7(+2)		C	i		V7(+2)	V			7	+2			Mm7	0	1	1, 5, 2, -1	-4	1	1
311	311	0	V7		C	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1	1
313	313	0	I.I[I\\		C	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
314	314	0	I6		C	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
314	314	1/4	I64		C	I	I	I64	I			64				M	0	0	1, 0, 4		0	1
315	315	0	viio6		C	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
315	315	1/4	V		C	I	I	V	V							M	0	0	1, 5, 2		1	1
316	316	0	I6		C	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
316	316	1/8	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
316	316	1/4	I64		C	I	I	I64	I			64				M	0	0	1, 0, 4		0	1
316	316	3/8	I6		C	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
317	317	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
318	318	0	I6		C	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
318	318	1/4	I64		C	I	I	I64	I			64				M	0	0	1, 0, 4		0	1
319	319	0	viio6		C	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
319	319	1/4	V		C	I	I	V	V							M	0	0	1, 5, 2		1	1
320	320	0	I]		C	I	I	I	I							M	0	0	0, 4, 1		0	0
321	321	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
321	321	1/4	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
323	323	0	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
324	324	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
325	325	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
325	325	1/4	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
327	327	0	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
328	328	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
329	329	0	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
330	330	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
331	331	0	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
332	332	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
332	332	1/4	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
333	333	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
333	333	1/4	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
334	334	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
334	334	1/4	V(94)		C	I		V(94)	V				94			M	0	0	1, 0, 2	3	1	1
335	335	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
335	335	1/4	V2		C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
336	336	0	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
336	336	1/4	V43		C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
337	337	0	I\\		C	I		I	I						\\	M	0	0	0, 4, 1		0	0
339	339	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
339	339	1/4	V		C	I		V	V							M	0	0	1, 5, 2		1	1
340	340	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
340	340	1/4	I64		C	I		I64	I			64				M	0	0	1, 0, 4		0	1
341	341	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
343	343	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
343	343	1/4	V		C	I		V	V							M	0	0	1, 5, 2		1	1
344	344	0	I[I\\		C	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
345	345	0	IV64		C	I	I	IV64	IV			64				M	0	0	0, -1, 3		-1	0
345	345	1/4	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
346	346	0	ii2		C	I	I	ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
346	346	1/4	#viio2/iii		C	I	I	#viio2/iii	#vii		o	2		iii		o7	0	0	0, 9, 6, 3		9	0
347	347	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
347	347	1/4	viio6		C	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
348	348	0	I]		C	I	I	I	I							M	0	0	0, 4, 1		0	0
348	348	1/4	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
349	349	0	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
349	349	1/4	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
350	350	0	ii7		C	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2	2
350	350	1/4	#viio7/iii		C	I		#viio7/iii	#vii		o	7		iii		o7	0	0	9, 6, 3, 0		9	9
351	351	0	I6		C	I		I6	I			6				M	0	0	4, 1, 0		0	4
351	351	1/4	viio6(+2)		C	I		viio6(+2)	vii		o	6	+2			o	0	0	2, -1, 5	0	5	2
352	352	0	I[I\\		C	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
353	353	0	IV64		C	I	I	IV64	IV			64				M	0	0	0, -1, 3		-1	0
353	353	1/4	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
354	354	0	ii2		C	I	I	ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
354	354	1/4	#viio2/iii		C	I	I	#viio2/iii	#vii		o	2		iii		o7	0	0	0, 9, 6, 3		9	0
