mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	4.125	0	31/32	4/4	2	1		c.viio7/V{	c	i		viio7/V		vii	o	7		V		{	o7	1	1	6, 3, 0, -3		6	6
3	2	33/8	1.0	0	0	4/4	2	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
3	2	41/8	1.0	1/4	1/4	4/4	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
3	2	49/8	1.875	1/2	1/2	4/4	2	1		V6|HC}	c	i		V6		V		6			HC	}	M	1	1	5, 2, 1		1	5
3	2	8	4.125	31/32	31/32	4/4	2	1		#viio7{	c	i		#viio7		#vii	o	7				{	o7	1	1	5, 2, -1, -4		5	5
5	4	97/8	1.0	0	0	4/4	2	1		#viio43/iv	c	i		#viio43/iv		#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
5	4	105/8	1.0	1/4	1/4	4/4	2	1		iv6	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	113/8	1.875	1/2	1/2	4/4	2	1		V6/iv|HC}	c	i		V6/iv		V		6		iv	HC	}	M	1	1	4, 1, 0		0	4
5	4	16	1.0	31/32	31/32	4/4	2	1		#viio7/iv{	c	i		#viio7/iv		#vii	o	7		iv		{	o7	1	1	4, 1, -2, -5		4	4
6	5	17	3.125	7/32	7/32	4/4	2	1		vii64	c	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
7	6	161/8	0.875	0	0	4/4	2	1		iii65	c	i		iii65		iii		65					mm7	1	1	-6, -2, -5, -3		-3	-6
7	6	21	2.0	7/32	7/32	4/4	2	1		V65/VI	c	i		V65/VI		V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
7	6	23	1.0	23/32	23/32	4/4	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	6	24	1.0	31/32	31/32	4/4	2	1		#viio7/vii	c	i		#viio7/vii		#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3	3
8	7	25	2.0	7/32	7/32	4/4	2	1		iii64	c	i		iii64		iii		64					m	1	1	-2, -3, -6		-3	-2
8	7	27	1.0	23/32	23/32	4/4	2	1		Ger6/iii	c	i		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	1	1	-7, -3, -6, 3		3	-7
8	7	28	1.0	31/32	31/32	4/4	2	1		#viio7/vii	c	i		#viio7/vii		#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3	3
9	8	29	2.0	7/32	7/32	4/4	2	1		bII	c	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
9	8	31	2.0	23/32	23/32	4/4	2	1		viio7/III	c	i		viio7/III		vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
10	9	33	3.0	7/32	7/32	4/4	2	1		VI64	c	i		VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
10	9	36	1.0	31/32	31/32	4/4	2	1		#viio7/iv	c	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
11	10	37	1.0	7/32	7/32	4/4	2	1		vii64	c	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
11	10	38	0.625	15/32	15/32	4/4	2	1		#viio65/iv	c	i		#viio65/iv		#vii	o	65		iv			o7	1	1	1, -2, -5, 4		4	1
11	10	309/8	1.0	5/8	5/8	4/4	2	1		iv6	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
11	10	317/8	0.5	7/8	7/8	4/4	2	1		It6	c	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
12	11	321/8	1.5	0	0	4/4	2	1		V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
12	11	325/8	0.0	1/8	1/8	4/4	2	1		{	c	i										{		1	1				
12	11	333/8	0.5	3/8	3/8	4/4	2	1		iv(2)	c	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1	1
12	11	337/8	0.5	1/2	1/2	4/4	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
12	11	341/8	1.0	5/8	5/8	4/4	2	1		i6(4)	c	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0	-1
12	11	349/8	0.5	7/8	7/8	4/4	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
13	12	353/8	1.0	0	0	4/4	2	1		viio2(+2)/V	c	i		viio2(+2)/V		vii	o	2	+2	V			o7	1	1	-3, 6, 3, 0	1	6	-3
13	12	361/8	1.0	1/4	1/4	4/4	2	1		V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
13	12	369/8	1.0	1/2	1/2	4/4	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
13	12	377/8	0.875	3/4	3/4	4/4	2	1		viio7(+2)/V	c	i		viio7(+2)/V		vii	o	7	+2	V			o7	1	1	6, 3, 0, -3	1	6	6
13	12	48	1.625	31/32	31/32	4/4	2	1		V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
14	13	389/8	0.0	1/8	1/8	4/4	2	1		{	c	i										{		1	1				
14	13	397/8	0.5	3/8	3/8	4/4	2	1		iv(2)	c	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1	1
14	13	401/8	0.5	1/2	1/2	4/4	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
14	13	405/8	1.0	5/8	5/8	4/4	2	1		i6(4)	c	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0	-1
14	13	413/8	0.5	7/8	7/8	4/4	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
15	14	417/8	1.0	0	0	4/4	2	1		viio2(+2)/V	c	i		viio2(+2)/V		vii	o	2	+2	V			o7	1	1	-3, 6, 3, 0	1	6	-3
15	14	425/8	1.0	1/4	1/4	4/4	2	1		V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
15	14	433/8	1.0	1/2	1/2	4/4	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
