mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
49	46	1/2	1/2	3/4	2	1		V43		A	i		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
50	47	0	0	3/4	2	1		i		A	i		i	i							m	0	1	0, -3, 1		0	0
50	47	1/4	1/4	3/4	2	1		V64		A	i		V64	V		64					M	0	1	2, 1, 5		1	2
50	47	1/2	1/2	3/4	2	1		i6		A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
51	48	0	0	3/4	2	1		V2(9)		A	i		V2(9)	V		2	9				Mm7	0	1	-1, 1, 5, 2	-4	1	-1
51	48	1/4	1/4	3/4	2	1		i6		A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
51	48	1/2	1/2	3/4	2	1		V43		A	i		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
52	49	0	0	3/4	2	1		i		A	i		i	i							m	0	1	0, -3, 1		0	0
52	49	1/4	1/4	3/4	2	1		v.i6		A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
52	49	1/2	1/2	3/4	2	1		#viio6		A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
53	50	0	0	3/4	2	1		i		A	v		i	i							m	0	1	0, -3, 1		0	0
53	50	1/4	1/4	3/4	2	1		#viio6		A	v		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
53	50	1/2	1/2	3/4	2	1		i6		A	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
54	51	0	0	3/4	2	1		iv		A	v		iv	iv							m	0	1	-1, -4, 0		-1	-1
54	51	1/4	1/4	3/4	2	1		V(64)		A	v		V(64)	V			64				M	0	1	1, 0, -3		1	1
54	51	1/2	1/2	3/4	2	1		V7		A	v		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
55	52	0	0	3/4	2	1		i|PAC}		A	v		i	i					PAC	}	m	0	1	0, -3, 1		0	0
56	52	0	1/2	3/4	2	1		bIII.V{		A	bIII		V	V						{	M	0	0	1, 5, 2		1	1
57	53	0	0	3/4	2	1		I		A	bIII		I	I							M	0	0	0, 4, 1		0	0
57	53	1/4	1/4	3/4	2	1		V64		A	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
57	53	1/2	1/2	3/4	2	1		I6		A	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
58	54	0	0	3/4	2	1		V2(9)		A	bIII		V2(9)	V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
58	54	1/4	1/4	3/4	2	1		I6		A	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
58	54	1/2	1/2	3/4	2	1		V43		A	bIII		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
59	55	0	0	3/4	2	1		I		A	bIII		I	I							M	0	0	0, 4, 1		0	0
59	55	1/4	1/4	3/4	2	1		V64		A	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
59	55	1/2	1/2	3/4	2	1		I6		A	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
60	56	0	0	3/4	2	1		iv.V2(9)		A	iv		V2(9)	V		2	9				Mm7	0	1	-1, 1, 5, 2	-4	1	-1
60	56	1/4	1/4	3/4	2	1		i6		A	iv		i6	i		6					m	0	1	-3, 1, 0		0	-3
60	56	1/2	1/2	3/4	2	1		V43		A	iv		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
61	57	0	0	3/4	2	1		i		A	iv		i	i							m	0	1	0, -3, 1		0	0
61	57	1/4	1/4	3/4	2	1		i.i6		A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
61	57	1/2	1/2	3/4	2	1		#viio6		A	i		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
62	58	0	0	3/4	2	1		i		A	i		i	i							m	0	1	0, -3, 1		0	0
62	58	1/4	1/4	3/4	2	1		bVII	v6	A	i		bVII	bVII							M	0	1	-9, -5, -8		-9	-9
62	58	1/2	1/2	3/4	2	1		VI	iv6	A	i		VI	VI							M	0	1	-4, 0, -3		-4	-4
63	59	0	0	3/4	2	1		V		A	i		V	V							M	0	1	1, 5, 2		1	1
63	59	1/4	1/4	3/4	2	1		iv	iio6	A	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
63	59	1/2	1/2	3/4	2	1		III	i6	A	i		III	III							M	0	1	-3, 1, -2		-3	-3
64	60	0	0	3/4	2	1		iio	#viio6	A	i		iio	ii	o						o	0	1	2, -1, -4		2	2
64	60	1/4	1/4	3/4	2	1		i		A	i		i	i							m	0	1	0, -3, 1		0	0
