mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	7.0	0	0	4/4	2	1		d.V6{		d	i		V6		V		6				{	M	1	1	5, 2, 1		1	5
2	2	7	7	1.0	3/4	3/4	4/4	2	1		V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	3	8	8	1.0	0	0	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	9	9	1.0	1/4	1/4	4/4	2	1		V64		d	i		V64		V		64					M	1	1	2, 1, 5		1	2
3	3	10	10	1.0	1/2	1/2	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	11	11	1.0	3/4	3/4	4/4	2	1		V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	12	12	1.0	0	0	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
4	4	13	13	1.0	1/4	1/4	4/4	2	1		V64		d	i		V64		V		64					M	1	1	2, 1, 5		1	2
4	4	14	14	1.0	1/2	1/2	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	15	15	1.0	3/4	3/4	4/4	2	1		V65/iv		d	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
5	5	16	16	1.0	0	0	4/4	2	1		iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	17	17	1.0	1/4	1/4	4/4	2	1		V64/iv		d	i		V64/iv		V		64		iv			M	1	1	1, 0, 4		0	1
5	5	18	18	1.0	1/2	1/2	4/4	2	1		iv6		d	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	19	19	1.0	3/4	3/4	4/4	2	1		It6		d	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
6	6	20	20	2.0	0	0	4/4	2	1		V(#764)		d	i		V(#764)		V			#764				M	1	1	1, 0, -3	6	1	1
6	6	22	22	2.0	1/2	1/2	4/4	2	1		V|HC}{		d	i		V		V					HC	}{	M	1	1	1, 5, 2		1	1
7	7	24	24	7.0	0	0	4/4	2	1		V6/III		d	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
