mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
144	144	1/4	1/4	3/4	1	1	iio6/iv	e	i		iio6/iv		ii	o	6		iv		o	1	1	-2, -5, 1		1	-2
144	144	1/2	1/2	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
145	145	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
145	145	1/4	1/4	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
146	146	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
146	146	1/4	1/4	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
147	147	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
148	148	1/2	1/2	3/4	1	1	iv	e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
149	149	0	0	3/4	1	1	V(64)	e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
150	150	0	0	3/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
151	151	0	0	3/4	1	1	i[i}{	e	i	i	i		i					}{	m	1	1	0, -3, 1		0	0
151	151	1/2	1/2	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
152	152	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
153	153	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
154	154	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
155	155	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
156	156	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
157	157	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
157	157	1/4	1/4	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
158	158	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
158	158	1/4	1/4	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
159	159	0	0	3/4	1	1	I]}	e	i	i	I		I					}	M	1	1	0, 4, 1		0	0
163	163	0	0	3/4	1	1	VI.I[I{	e	VI	I	I		I					{	M	1	0	0, 4, 1		0	0
