mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	1	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4.0	0	0	4/4	1	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
3	3	8	4.0	0	0	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	6.0	0	0	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	18	1.0	1/2	1/2	4/4	1	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	19	1.0	3/4	3/4	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	20	2.0	0	0	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	22	1.0	1/2	1/2	4/4	1	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	23	1.0	3/4	3/4	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	1.0	0	0	4/4	1	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	25	1.0	1/4	1/4	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
7	7	26	1.0	1/2	1/2	4/4	1	1		ii65		C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	27	1.0	3/4	3/4	4/4	1	1		ii7		C	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	28	2.0	0	0	4/4	1	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
8	8	30	4.0	1/2	1/2	4/4	1	1		I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
9	9	32	0.0	0	0	4/4	1	1		{		C	I										{		0	0				
9	9	34	1.0	1/2	1/2	4/4	1	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
9	9	35	1.0	3/4	3/4	4/4	1	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	36	1.0	0	0	4/4	1	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
10	10	37	1.0	1/4	1/4	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
10	10	38	1.0	1/2	1/2	4/4	1	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	39	1.0	3/4	3/4	4/4	1	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	40	1.0	0	0	4/4	1	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
11	11	41	1.0	1/4	1/4	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
11	11	42	1.0	1/2	1/2	4/4	1	1		vi6	ii6/V	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
11	11	43	1.0	3/4	3/4	4/4	1	1		viio/V		C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
12	12	44	1.0	0	0	4/4	1	1		V(#064)		C	I		V(#064)		V			#064				M	0	0	1, 0, 4		1	1
12	12	45	1.0	1/4	1/4	4/4	1	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	12	46	2.0	1/2	1/2	4/4	1	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	48	3.0	0	0	4/4	1	1		I|PAC}{		C	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
13	13	51	2.0	3/4	3/4	4/4	1	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	53	2.0	1/4	1/4	4/4	1	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
14	14	55	1.5	3/4	3/4	4/4	1	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
15	15	113/2	1.0	1/8	1/8	4/4	1	1		viio	V6	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
15	15	115/2	1.0	3/8	3/8	4/4	1	1		vi	IV6	C	I		vi		vi							m	0	0	3, 0, 4		3	3
15	15	117/2	1.0	5/8	5/8	4/4	1	1		V	iii6	C	I		V		V							M	0	0	1, 5, 2		1	1
15	15	119/2	1.0	7/8	7/8	4/4	1	1		IV	ii6	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	121/2	1.0	1/8	1/8	4/4	1	1		iii	I6	C	I		iii		iii							m	0	0	4, 1, 5		4	4
16	16	123/2	1.0	3/8	3/8	4/4	1	1		ii	viio6	C	I		ii		ii							m	0	0	2, -1, 3		2	2
16	16	125/2	1.0	5/8	5/8	4/4	1	1		I	vi6	C	I		I		I							M	0	0	0, 4, 1		0	0
16	16	127/2	0.5	7/8	7/8	4/4	1	1		viio	V6	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
