mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	G.I{					G	I		I		I							{	M	0	0	1, 5, 2		1.0	1.0	2	10	0.16666666666666666	0.16666666666666666	3.0833333333333335	0.05128205128205128
2	2	1/4	1/4	2/2	2	1	I6					G	I		I6		I		6						M	0	0	5, 2, 1		1.0	5.0	0	2	0.0	0.0	0.5	0.0
2	2	1/2	1/2	2/2	2	1	viio6					G	I		viio6		vii	o	6						o	0	0	3, 0, 6		6.0	3.0	0	2	0.0	0.0	0.5	0.0
2	2	3/4	3/4	2/2	2	1	I					G	I		I		I								M	0	0	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
3	3	0	0	2/2	2	1	V6					G	I		V6		V		6						M	0	0	6, 3, 2		2.0	6.0	0	2	0.0	0.0	0.625	0.0
3	3	1/4	1/4	2/2	2	1	V					G	I		V		V								M	0	0	2, 6, 3		2.0	2.0	0	2	0.0	0.0	0.375	0.0
3	3	1/2	1/2	2/2	2	1	I					G	I		I		I								M	0	0	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.625	0.0
3	3	3/4	3/4	2/2	2	1	V2/IV	-0.76842	-3.88254	/		G	I		V2/IV		V		2		IV				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	0	2	0.0	0.0	0.375	0.0
4	4	0	0	2/2	2	1	IV6(2)	0	-3.83321	/		G	I		IV6(2)		IV		6	2					M	0	0	4, 1, 2		0.0	4.0	0	2	0.0	0.0	0.5	0.0
4	4	1/4	1/4	2/2	2	1	viio	0	-4.10769	/	V65	G	I		viio		vii	o							o	0	0	6, 3, 0		6.0	6.0	0	2	0.0	0.0	0.5	0.0
