mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	F#.I[I{						F#	I	I	I		I						{	M	0	0	6, 10, 7		6.0	6.0	0	7	0.0	0.0	2.0625	0.0
1	1	7/16	7/16	2/4	2	1	viio64						F#	I	I	viio64		vii	o	64					o	0	0	5, 11, 8		11.0	5.0	2	6	0.25	1.0	0.9375	0.5161290322580645
2	2	1/4	1/4	2/4	2	1	I						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	0	3	0.0	0.0	0.375	0.0
2	2	3/8	3/8	2/4	2	1	V7/IV	-0.507489	-3.5445		/		F#	I	I	V7/IV		V		7		IV			Mm7	0	0	6, 10, 7, 4		6.0	6.0	0	3	0.0	0.0	0.375	0.0
3	3	0	0	2/4	2	1	IV6						F#	I	I	IV6		IV		6					M	0	0	9, 6, 5		5.0	9.0	0	5	0.0	0.0	1.75	0.0
3	3	1/4	1/4	2/4	2	1	vii%7						F#	I	I	vii%7		vii	%	7					%7	0	0	11, 8, 5, 9		11.0	11.0	0	3	0.0	0.0	0.6875	0.0
3	3	7/16	7/16	2/4	2	1	V6						F#	I	I	V6		V		6					M	0	0	11, 8, 7		7.0	11.0	0	1	0.0	0.0	0.0625	0.0
4	4	0	0	2/4	2	1	I]}						F#	I	I	I		I						}	M	0	0	6, 10, 7		6.0	6.0	2	6	0.25	0.0625	0.8125	0.07142857142857142
5	4	0	3/4	4/4	2	1	I6{						F#	I		I6		I		6				{	M	0	0	10, 7, 6		6.0	10.0	1	1	0.5	0.0625	0.1875	0.25
6	5	0	0	4/4	2	1	I[I						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	0	7	0.0	0.0	1.25	0.0
6	5	1/2	1/2	4/4	2	1	V2						F#	I	I	V2		V		2					Mm7	0	0	5, 7, 11, 8		7.0	5.0	1	3	0.25	0.125	0.625	0.16666666666666666
6	5	3/4	3/4	4/4	2	1	I]						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	0	4	0.0	0.0	0.75	0.0
7	6	0	0	4/4	2	1	V7						F#	I		V7		V		7					Mm7	0	0	7, 11, 8, 5		7.0	7.0	0	10	0.0	0.0	3.75	0.0
7	6	3/4	3/4	4/4	2	1	V						F#	I		V		V							M	0	0	7, 11, 8		7.0	7.0	0	5	0.0	0.0	1.0	0.0
8	7	0	0	4/4	2	1	I[I						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	0	6	0.0	0.0	1.75	0.0
8	7	1/4	1/4	4/4	2	1	IV						F#	I	I	IV		IV							M	0	0	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.75	0.0
8	7	1/2	1/2	4/4	2	1	I						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	0	4	0.0	0.0	0.75	0.0
8	7	3/4	3/4	4/4	2	1	IV6						F#	I	I	IV6		IV		6					M	0	0	9, 6, 5		5.0	9.0	0	5	0.0	0.0	1.0	0.0
9	8	0	0	4/4	2	1	V						F#	I	I	V		V							M	0	0	7, 11, 8		7.0	7.0	2	3	0.4	0.375	0.625	0.375
9	8	1/4	1/4	4/4	2	1	IV						F#	I	I	IV		IV							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	1.0	0.0
9	8	1/2	1/2	4/4	2	1	I]						F#	I	I	I		I							M	0	0	6, 10, 7		6.0	6.0	1	8	0.1111111111111111	0.0625	1.1875	0.05
10	9	0	0	4/4	2	1	V43	0.112418	4.28692		/		F#	I		V43		V		43					Mm7	0	0	8, 5, 7, 11		7.0	8.0	0	4	0.0	0.0	0.25	0.0
10	9	1/4	1/4	4/4	2	1	V7						F#	I		V7		V		7					Mm7	0	0	7, 11, 8, 5		7.0	7.0	0	5	0.0	0.0	0.5	0.0
10	9	1/2	1/2	4/4	2	1	V	0	4.39934		/		F#	I		V		V							M	0	0	7, 11, 8		7.0	7.0	0	1	0.0	0.0	0.25	0.0
10	9	3/4	3/4	4/4	2	1	V43	1.01176	4.28692		/		F#	I		V43		V		43					Mm7	0	0	8, 5, 7, 11		7.0	8.0	0	4	0.0	0.0	0.25	0.0
11	10	0	0	4/4	2	1	I6						F#	I		I6		I		6					M	0	0	10, 7, 6		6.0	10.0	1	9	0.1	0.0625	0.9375	0.0625
11	10	3/4	3/4	4/4	2	1	I						F#	I		I		I							M	0	0	6, 10, 7		6.0	6.0	3	3	0.5	0.25	0.25	0.5
12	11	0	0	4/4	2	1	ii6						F#	I		ii6		ii		6					m	0	0	5, 9, 8		8.0	5.0	4	3	0.5714285714285714	0.3333333333333333	0.6666666666666666	0.3333333333333333
12	11	1/2	1/2	4/4	2	1	V						F#	I		V		V							M	0	0	7, 11, 8		7.0	7.0	2	3	0.4	0.16666666666666666	0.8333333333333334	0.16666666666666666
12	11	3/4	3/4	4/4	2	1	V7						F#	I		V7		V		7					Mm7	0	0	7, 11, 8, 5		7.0	7.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
13	12	0	0	4/4	2	1	I						F#	I		I		I							M	0	0	6, 10, 7		6.0	6.0	0	4	0.0	0.0	1.0	0.0
13	12	1/4	1/4	4/4	2	1	V						F#	I		V		V							M	0	0	7, 11, 8		7.0	7.0	0	5	0.0	0.0	1.25	0.0
13	12	1/2	1/2	4/4	2	1	I|IAC}						F#	I		I		I					IAC	}	M	0	0	6, 10, 7		6.0	6.0	0	10	0.0	0.0	2.5	0.0
14	13	1/2	1/2	4/4	2	1	ii6						F#	I		ii6		ii		6					m	0	0	5, 9, 8		8.0	5.0	0	6	0.0	0.0	1.5	0.0
15	14	0	0	4/4	2	1	V	0	5.32718		/		F#	I		V		V							M	0	0	7, 11, 8		7.0	7.0	0	4	0.0	0.0	1.0	0.0
15	14	1/4	1/4	4/4	2	1	I	0.674507	5.42361		/		F#	I		I		I							M	0	0	6, 10, 7		6.0	6.0	0	4	0.0	0.0	1.0	0.0
15	14	1/2	1/2	4/4	2	1	V7|HC}						F#	I		V7		V		7			HC	}	Mm7	0	0	7, 11, 8, 5		7.0	7.0	0	4	0.0	0.0	1.0	0.0
16	15	0	0	4/4	2	1	V65{						F#	I		V65		V		65				{	Mm7	0	0	11, 8, 5, 7		7.0	11.0	0	6	0.0	0.0	1.5	0.0
16	15	1/2	1/2	4/4	2	1	V7						F#	I		V7		V		7					Mm7	0	0	7, 11, 8, 5		7.0	7.0	0	8	0.0	0.0	2.0	0.0
17	16	0	0	4/4	2	1	I|IAC}						F#	I		I		I					IAC	}	M	0	0	6, 10, 7		6.0	6.0	0	5	0.0	0.0	1.25	0.0
17	16	1/4	1/4	4/4	2	1	I6{						F#	I		I6		I		6				{	M	0	0	10, 7, 6		6.0	10.0	1	3	0.25	0.0625	0.1875	0.25
17	16	1/2	1/2	4/4	2	1	I						F#	I		I		I							M	0	0	6, 10, 7		6.0	6.0	0	3	0.0	0.0	1.0	0.0
18	17	0	0	4/4	2	1	viio6(2)						F#	I		viio6(2)		vii	o	6	2				o	0	0	8, 5, 6		11.0	8.0	0	3	0.0	0.0	1.75	0.0
18	17	1/4	1/4	4/4	2	1	viio6	1.34901	3.5		/		F#	I		viio6		vii	o	6					o	0	0	8, 5, 11		11.0	8.0	1	5	0.16666666666666666	0.0625	1.1875	0.05
19	18	0	0	4/4	2	1	V.V2/ii						F#	V		V2/ii		V		2		ii			Mm7	0	0	8, 10, 14, 11		10.0	8.0	2	8	0.2	0.125	1.375	0.08333333333333333
19	18	1/2	1/2	4/4	2	1	V43/ii						F#	V		V43/ii		V		43		ii			Mm7	0	0	11, 8, 10, 14		10.0	11.0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
19	18	3/4	3/4	4/4	2	1	V7/ii						F#	V		V7/ii		V		7		ii			Mm7	0	0	10, 14, 11, 8		10.0	10.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
20	19	0	0	4/4	2	1	V(64)/ii						F#	V		V(64)/ii		V			64	ii			M	0	0	10, 9, 6		10.0	10.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
20	19	1/4	1/4	4/4	2	1	V2/ii						F#	V		V2/ii		V		2		ii			Mm7	0	0	8, 10, 14, 11		10.0	8.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
20	19	1/2	1/2	4/4	2	1	ii6						F#	V		ii6		ii		6					m	0	0	6, 10, 9		9.0	6.0	1	13	0.07142857142857142	0.0625	1.9375	0.03125
21	20	0	0	4/4	2	1	#viio2/vi						F#	V		#viio2/vi		#vii	o	2		vi			o7	0	0	6, 15, 12, 9		15.0	6.0	0	7	0.0	0.0	1.0	0.0
21	20	1/4	1/4	4/4	2	1	V2						F#	V		V2		V		2					Mm7	0	0	6, 8, 12, 9		8.0	6.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
21	20	1/2	1/2	4/4	2	1	#viio2/vi						F#	V		#viio2/vi		#vii	o	2		vi			o7	0	0	6, 15, 12, 9		15.0	6.0	0	7	0.0	0.0	1.0	0.0
21	20	3/4	3/4	4/4	2	1	V2						F#	V		V2		V		2					Mm7	0	0	6, 8, 12, 9		8.0	6.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
22	21	0	0	4/4	2	1	#viio2/vi						F#	V		#viio2/vi		#vii	o	2		vi			o7	0	0	6, 15, 12, 9		15.0	6.0	0	7	0.0	0.0	1.0	0.0
22	21	1/4	1/4	4/4	2	1	V2						F#	V		V2		V		2					Mm7	0	0	6, 8, 12, 9		8.0	6.0	0	7	0.0	0.0	1.0	0.0
22	21	1/2	1/2	4/4	2	1	V43						F#	V		V43		V		43					Mm7	0	0	9, 6, 8, 12		8.0	9.0	0	4	0.0	0.0	0.25	0.0
22	21	3/4	3/4	4/4	2	1	ii6						F#	V		ii6		ii		6					m	0	0	6, 10, 9		9.0	6.0	0	7	0.0	0.0	1.0	0.0
23	22	0	0	4/4	2	1	#viio2/vi						F#	V		#viio2/vi		#vii	o	2		vi			o7	0	0	6, 15, 12, 9		15.0	6.0	0	7	0.0	0.0	1.0	0.0
23	22	1/4	1/4	4/4	2	1	V2						F#	V		V2		V		2					Mm7	0	0	6, 8, 12, 9		8.0	6.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
