mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	15/16	4/4	2	1	C.V{	-1	-6	/		C	I		V	V						{	M	0	0	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
2	1	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
2	1	1/4	1/4	4/4	2	1	V43					C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	0.5	0.0
2	1	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.375	0.0
2	1	3/4	3/4	4/4	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1.0	5.0	0	3	0.0	0.0	0.375	0.0
3	2	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
3	2	1/4	1/4	4/4	2	1	ii6					C	I		ii6	ii		6					m	0	0	-1, 3, 2		2.0	-1.0	0	4	0.0	0.0	0.5	0.0
3	2	1/2	1/2	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1.0	1.0	1	4	0.2	0.0625	1.4375	0.041666666666666664
4	3	0	0	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.375	0.0
4	3	1/4	1/4	4/4	2	1	V43					C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	0.5	0.0
4	3	1/2	1/2	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
4	3	3/4	3/4	4/4	2	1	V43/vi					C	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4.0	5.0	0	4	0.0	0.0	0.5	0.0
5	4	0	0	4/4	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.5	0.0
5	4	1/4	1/4	4/4	2	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
5	4	1/2	1/2	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.4375	0.0
6	5	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
6	5	1/4	1/4	4/4	2	1	V43					C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	0.5	0.0
6	5	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.375	0.0
6	5	3/4	3/4	4/4	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1.0	5.0	0	3	0.0	0.0	0.375	0.0
7	6	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0.0	0.0	0	3	0.0	0.0	0.375	0.0
7	6	1/4	1/4	4/4	2	1	V.V43					C	V		V43	V		43					Mm7	0	0	3, 0, 2, 6		2.0	3.0	0	4	0.0	0.0	0.5	0.0
7	6	1/2	1/2	4/4	2	1	I6					C	V		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	2.0	0.0
8	7	0	0	4/4	2	1	ii65					C	V		ii65	ii		65					mm7	0	0	0, 4, 1, 3		3.0	0.0	0	4	0.0	0.0	0.5	0.0
8	7	1/4	1/4	4/4	2	1	viio7/V					C	V		viio7/V	vii	o	7		V			o7	0	0	7, 4, 1, -2		7.0	7.0	0	4	0.0	0.0	0.5	0.0
8	7	1/2	1/2	4/4	2	1	V(64)					C	V		V(64)	V			64				M	0	0	2, 1, 5		2.0	2.0	0	4	0.0	0.0	2.0	0.0
9	8	0	0	4/4	2	1	V7					C	V		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	8	0.0	0.0	1.0	0.0
9	8	1/2	1/2	4/4	2	1	I|PAC}					C	V		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.4375	0.0
11	9	0	0	4/4	2	1	I.I6					C	I		I6	I		6					M	0	0	4, 1, 0		0.0	4.0	0	4	0.0	0.0	1.0	0.0
