mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	C.I{	14							C	I		I		I						{	M	0	0	0, 4, 1		0	0	6	10	0.375	0.5	3.5	0.125
2	2	0	0	4/4	2	1	V								C	I		V		V							M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
3	3	0	0	4/4	2	1	V7								C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	5	11	0.3125	0.375	3.625	0.09375
4	4	0	0	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	12	0.0	0.0	4.25	0.0
5	5	1/2	1/2	4/4	2	1	V43		0	-4.22231		/			C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	2	4	0.3333333333333333	0.125	0.875	0.125
5	5	3/4	3/4	4/4	2	1	V7		0	-4.32669		/			C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
6	6	0	0	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	2.0	0.0
6	6	1/2	1/2	4/4	2	1	V43		0	-4.43107		/			C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	2	4	0.3333333333333333	0.125	0.875	0.125
6	6	3/4	3/4	4/4	2	1	V7		0	-4.63984		/			C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
7	7	0	0	4/4	2	1	I6								C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	1.0	0.0
7	7	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	2	1	ii65								C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	5	0.0	0.0	2.0	0.0
7	7	3/4	3/4	4/4	2	1	ii7								C	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
8	8	0	0	4/4	2	1	V								C	I		V		V							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.5	0.0
8	8	1/2	1/2	4/4	2	1	I|IAC}								C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0	3	9	0.25	0.25	2.5	0.09090909090909091
9	9	1/2	1/2	4/4	2	1	V6								C	I		V6		V		6					M	0	0	5, 2, 1		1	5	2	3	0.4	0.125	0.375	0.25
9	9	3/4	3/4	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	5	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	I64								C	I		I64		I		64					M	0	0	1, 0, 4		0	1	0	4	0.0	0.0	1.0	0.0
10	10	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.5	0.0
10	10	1/2	1/2	4/4	2	1	V6								C	I		V6		V		6					M	0	0	5, 2, 1		1	5	2	3	0.4	0.125	0.375	0.25
10	10	3/4	3/4	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	5	0.0	0.0	1.0	0.0
11	11	0	0	4/4	2	1	I64								C	I		I64		I		64					M	0	0	1, 0, 4		0	1	0	4	0.0	0.0	1.0	0.0
11	11	1/4	1/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.5	0.0
11	11	1/2	1/2	4/4	2	1	vi6							ii6/V	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	1.0	0.0
11	11	3/4	3/4	4/4	2	1	viio/V		-0.314689	-2.726		/			C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	0	1	0.0	0.0	0.25	0.0
12	12	0	0	4/4	2	1	V(#064)								C	I		V(#064)		V			#064				M	0	0	1, 0, 4		1	1	1	4	0.2	0.25	1.0	0.2
12	12	1/4	1/4	4/4	2	1	V(64)								C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	0	1	0.0	0.0	0.5	0.0
12	12	1/2	1/2	4/4	2	1	V7								C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	6	0.0	0.0	1.5	0.0
13	13	0	0	4/4	2	1	I|PAC}{								C	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0	0	19	0.0	0.0	2.25	0.0
