mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/16	2/4	2	1	G.I{					G	I		I		I						{	M	0	0	1, 5, 2		1.0	1.0	7	73	0.0875	0.4375	9.0	0.046357615894039736
9	8	1/4	1/4	2/4	2	1	ii/V	0.112418	5.68558		/	G	I		ii/V		ii				V			m	0	0	4, 1, 5		4.0	4.0	4	6	0.4	0.25	1.0	0.2
10	9	0	0	2/4	2	1	V(64)/V					G	I		V(64)/V		V			64	V			M	0	0	3, 2, 6		3.0	3.0	0	11	0.0	0.0	1.375	0.0
11	10	1/4	1/4	2/4	2	1	V7/V					G	I		V7/V		V		7		V			Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	6	0.0	0.0	0.75	0.0
12	11	0	0	2/4	2	1	I/V|HC}					G	I		I/V		I				V	HC	}	M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.75	0.0
12	11	7/16	7/16	2/4	2	1	IV/IV.I{					G	IV/IV		I		I						{	M	0	0	-1, 3, 0		-1.0	-1.0	13	76	0.14606741573033707	0.8125	9.125	0.08176100628930817
20	19	1/4	1/4	2/4	2	1	ii/V					G	IV/IV		ii/V		ii				V			m	0	0	2, -1, 3		2.0	2.0	4	6	0.4	0.25	1.0	0.2
21	20	0	0	2/4	2	1	V(64)/V	0.337254	4.66832		/	G	IV/IV		V(64)/V		V			64	V			M	0	0	1, 0, 4		1.0	1.0	0	11	0.0	0.0	1.375	0.0
22	21	1/4	1/4	2/4	2	1	V7/V					G	IV/IV		V7/V		V		7		V			Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	6	0.0	0.0	0.75	0.0
23	22	0	0	2/4	2	1	I/V|HC}	0.224836	7.118		/	G	IV/IV		I/V		I				V	HC	}	M	0	0	0, 4, 1		0.0	0.0	0	6	0.0	0.0	0.75	0.0
23	22	7/16	7/16	2/4	2	1	I.IV{	0.224836	5.07385		/	G	I		IV		IV						{	M	0	0	0, 4, 1		0.0	0.0	1	13	0.07142857142857142	0.0625	1.4375	0.041666666666666664
