mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	E.I{						E	I		I		I						{	M	0	0	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.75	0.0
1	1	1/4	1/4	3/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4.0	8.0	0	3	0.0	0.0	0.875	0.0
1	1	1/2	1/2	3/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
1	1	5/8	5/8	3/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6.0	3.0	0	1	0.0	0.0	0.125	0.0
2	2	0	0	3/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5.0	5.0	0	3	0.0	0.0	0.75	0.0
2	2	1/4	1/4	3/4	2	1	V65(^2)						E	I		V65(^2)		V		65	^2				Mm7	0	0	7, 6, 3, 5		5.0	7.0	0	4	0.0	0.0	1.75	0.0
2	2	1/2	1/2	3/4	2	1	V65						E	I		V65		V		65					Mm7	0	0	9, 6, 3, 5		5.0	9.0	0	1	0.0	0.0	0.25	0.0
3	3	0	0	3/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
3	3	1/4	1/4	3/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4.0	8.0	0	3	0.0	0.0	0.875	0.0
3	3	1/2	1/2	3/4	2	1	viio/V						E	I		viio/V		vii	o			V			o	0	0	10, 7, 4		10.0	10.0	0	2	0.0	0.0	0.5	0.0
3	3	5/8	5/8	3/4	2	1	V6/V	0.126872	-2.65639	/			E	I		V6/V		V		6		V			M	0	0	10, 7, 6		6.0	10.0	0	1	0.0	0.0	0.125	0.0
4	4	0	0	3/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5.0	5.0	0	3	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V7/V						E	I		V7/V		V		7		V			Mm7	0	0	6, 10, 7, 4		6.0	6.0	0	4	0.0	0.0	1.0	0.0
4	4	1/2	1/2	3/4	2	1	V|HC}						E	I		V		V					HC	}	M	0	0	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.875	0.0
4	4	5/8	5/8	3/4	2	1	V2						E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5.0	3.0	0	1	0.0	0.0	0.125	0.0
5	5	0	0	3/4	2	1	I6{						E	I		I6		I		6				{	M	0	0	8, 5, 4		4.0	8.0	0	9	0.0	0.0	1.875	0.0
5	5	1/2	1/2	3/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
5	5	5/8	5/8	3/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6.0	3.0	1	1	0.5	0.0625	0.0625	0.5
6	6	0	0	3/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5.0	5.0	0	3	0.0	0.0	0.75	0.0
6	6	1/4	1/4	3/4	2	1	vi7						E	I		vi7		vi		7					mm7	0	0	7, 4, 8, 5		7.0	7.0	0	3	0.0	0.0	0.75	0.0
6	6	1/2	1/2	3/4	2	1	viio						E	I		viio		vii	o						o	0	0	9, 6, 3		9.0	9.0	2	5	0.2857142857142857	0.0	0.75	0.0
7	7	0	0	3/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4.0	4.0	0	2	0.0	0.0	0.5	0.0
7	7	1/4	1/4	3/4	2	1	vi						E	I		vi		vi							m	0	0	7, 4, 8		7.0	7.0	0	4	0.0	0.0	1.375	0.0
7	7	1/2	1/2	3/4	2	1	It6						E	I		It6	It	vii	o	6	b3	V			It	0	0	0, 4, 10		10.0	0.0	0	3	0.0	0.0	0.625	0.0
8	8	0	0	3/4	2	1	Ger6						E	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	0, 4, 1, 10		10.0	0.0	0	6	0.0	0.0	2.0	0.0
8	8	1/2	1/2	3/4	2	1	V|HC}						E	I		V		V					HC	}	M	0	0	5, 9, 6		5.0	5.0	0	6	0.0	0.0	1.5	0.0
9	9	1/4	1/4	3/4	2	1	V6						E	I		V6		V		6					M	0	0	9, 6, 5		5.0	9.0	0	4	0.0	0.0	1.125	0.0
9	9	1/2	1/2	3/4	2	1	#viio/ii						E	I		#viio/ii		#vii	o			ii			o	0	0	11, 8, 5		11.0	11.0	0	3	0.0	0.0	0.75	0.0
