mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	31/32	4/4	2	1	c.viio7/V{					c	i		viio7/V		vii	o	7		V		{	o7	1	1	6, 3, 0, -3		6.0	6.0	1	31	0.03125	0.03125	4.59375	0.006756756756756757
3	2	0	0	4/4	2	1	V					c	i		V		V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
3	2	1/4	1/4	4/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	6	0.0	0.0	0.75	0.0
3	2	1/2	1/2	4/4	2	1	V6|HC}					c	i		V6		V		6			HC	}	M	1	1	5, 2, 1		1.0	5.0	0	15	0.0	0.0	0.625	0.0
3	2	31/32	31/32	4/4	2	1	#viio7{					c	i		#viio7		#vii	o	7				{	o7	1	1	5, 2, -1, -4		5.0	5.0	1	31	0.03125	0.03125	4.59375	0.006756756756756757
5	4	0	0	4/4	2	1	#viio43/iv					c	i		#viio43/iv		#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4.0	-2.0	0	4	0.0	0.0	0.5	0.0
5	4	1/4	1/4	4/4	2	1	iv6					c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	5	0.0	0.0	0.625	0.0
5	4	1/2	1/2	4/4	2	1	V6/iv|HC}					c	i		V6/iv		V		6		iv	HC	}	M	1	1	4, 1, 0		0.0	4.0	0	15	0.0	0.0	0.625	0.0
5	4	31/32	31/32	4/4	2	1	#viio7/iv{	-2.53744	-2.5	/		c	i		#viio7/iv		#vii	o	7		iv		{	o7	1	1	4, 1, -2, -5		4.0	4.0	0	4	0.0	0.0	0.5	0.0
6	5	7/32	7/32	4/4	2	1	vii64					c	i		vii64		vii		64					m	1	1	-1, -2, -5		-2.0	-1.0	1	29	0.03333333333333333	0.03125	4.375	0.0070921985815602835
7	6	0	0	4/4	2	1	iii65					c	i		iii65		iii		65					mm7	1	1	-6, -2, -5, -3		-3.0	-6.0	0	6	0.0	0.0	1.3125	0.0
7	6	7/32	7/32	4/4	2	1	V65/VI					c	i		V65/VI		V		65		VI			Mm7	1	1	1, -2, -5, -3		-3.0	1.0	0	18	0.0	0.0	3.0	0.0
7	6	23/32	23/32	4/4	2	1	VI					c	i		VI		VI							M	1	1	-4, 0, -3		-4.0	-4.0	0	10	0.0	0.0	1.25	0.0
7	6	31/32	31/32	4/4	2	1	#viio7/vii	-0.250662	-2.95507	/		c	i		#viio7/vii		#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3.0	3.0	0	12	0.0	0.0	1.5	0.0
8	7	7/32	7/32	4/4	2	1	iii64					c	i		iii64		iii		64					m	1	1	-2, -3, -6		-3.0	-2.0	0	18	0.0	0.0	3.0	0.0
8	7	23/32	23/32	4/4	2	1	Ger6/iii					c	i		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	1	1	-7, -3, -6, 3		3.0	-7.0	0	12	0.0	0.0	1.5	0.0
8	7	31/32	31/32	4/4	2	1	#viio7/vii	-2.39559	-5.95507	/		c	i		#viio7/vii		#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3.0	3.0	0	12	0.0	0.0	1.5	0.0
9	8	7/32	7/32	4/4	2	1	bII					c	i		bII		bII							M	1	1	-5, -1, -4		-5.0	-5.0	0	15	0.0	0.0	2.5	0.0
9	8	23/32	23/32	4/4	2	1	viio7/III					c	i		viio7/III		vii	o	7		III			o7	1	1	2, -1, -4, -7		2.0	2.0	0	20	0.0	0.0	2.5	0.0
10	9	7/32	7/32	4/4	2	1	VI64					c	i		VI64		VI		64					M	1	1	-3, -4, 0		-4.0	-3.0	0	25	0.0	0.0	3.75	0.0
10	9	31/32	31/32	4/4	2	1	#viio7/iv					c	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4.0	4.0	0	10	0.0	0.0	1.25	0.0
11	10	7/32	7/32	4/4	2	1	vii64					c	i		vii64		vii		64					m	1	1	-1, -2, -5		-2.0	-1.0	0	10	0.0	0.0	1.25	0.0
11	10	15/32	15/32	4/4	2	1	#viio65/iv					c	i		#viio65/iv		#vii	o	65		iv			o7	1	1	1, -2, -5, 4		4.0	1.0	0	10	0.0	0.0	0.78125	0.0
11	10	5/8	5/8	4/4	2	1	iv6					c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	10	0.0	0.0	1.25	0.0
11	10	7/8	7/8	4/4	2	1	It6					c	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6.0	-4.0	0	5	0.0	0.0	0.625	0.0
12	11	0	0	4/4	2	1	V|HC}					c	i		V		V					HC	}	M	1	1	1, 5, 2		1.0	1.0	0	7	0.0	0.0	0.875	0.0
12	11	3/8	3/8	4/4	2	1	iv(2)					c	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1.0	1.0	0	2	0.0	0.0	0.25	0.0
12	11	1/2	1/2	4/4	2	1	iv					c	i		iv		iv							m	1	1	-1, -4, 0		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
12	11	5/8	5/8	4/4	2	1	i6(4)					c	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0.0	-1.0	0	5	0.0	0.0	0.75	0.0
12	11	7/8	7/8	4/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	3	0.0	0.0	0.375	0.0
13	12	0	0	4/4	2	1	viio2(+2)/V					c	i		viio2(+2)/V		vii	o	2	+2	V			o7	1	1	-3, 6, 3, 0	1	6.0	-3.0	0	6	0.0	0.0	1.25	0.0
13	12	1/4	1/4	4/4	2	1	V43					c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	6	0.0	0.0	1.25	0.0
13	12	1/2	1/2	4/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	6	0.0	0.0	1.25	0.0
13	12	3/4	3/4	4/4	2	1	viio7(+2)/V					c	i		viio7(+2)/V		vii	o	7	+2	V			o7	1	1	6, 3, 0, -3	1	6.0	6.0	0	6	0.0	0.0	1.125	0.0
13	12	31/32	31/32	4/4	2	1	V|HC}					c	i		V		V					HC	}	M	1	1	1, 5, 2		1.0	1.0	0	11	0.0	0.0	1.75	0.0
14	13	3/8	3/8	4/4	2	1	iv(2)					c	i		iv(2)		iv			2				m	1	1	1, -4, 0		-1.0	1.0	0	2	0.0	0.0	0.25	0.0
14	13	1/2	1/2	4/4	2	1	iv					c	i		iv		iv							m	1	1	-1, -4, 0		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
14	13	5/8	5/8	4/4	2	1	i6(4)					c	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0.0	-1.0	0	5	0.0	0.0	0.75	0.0
14	13	7/8	7/8	4/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	3	0.0	0.0	0.375	0.0
15	14	0	0	4/4	2	1	viio2(+2)/V					c	i		viio2(+2)/V		vii	o	2	+2	V			o7	1	1	-3, 6, 3, 0	1	6.0	-3.0	0	6	0.0	0.0	1.25	0.0
15	14	1/4	1/4	4/4	2	1	V43					c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	6	0.0	0.0	1.25	0.0
