mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	f.#viio43{						f	i		#viio43		#vii	o	43				{	o7	1	1	-2, -5, 4, 1		4	-2	0	52	0.0	0.0	9.0	0.0
5	5	3/8	3/8	2/4	2	1	#viio7						f	i		#viio7		#vii	o	7					o7	1	1	4, 1, -2, -5		4	4	24	28	0.46153846153846156	1.5	2.125	0.41379310344827586
13	13	1/4	1/4	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	20	20	0.5	1.25	1.25	0.5
16	16	0	0	2/4	2	1	V2						f	i		V2		V		2					Mm7	1	1	-2, 0, 4, 1		0	-2	12	36	0.25	0.75	2.25	0.25
19	19	0	0	2/4	2	1	V43						f	i		V43		V		43					Mm7	1	1	1, -2, 0, 4		0	1	4	12	0.25	0.25	0.75	0.25
20	20	0	0	2/4	2	1	i}{						f	i		i		i						}{	m	1	1	-1, -4, 0		-1	-1	10	24	0.29411764705882354	0.625	1.875	0.25
24	24	0	0	2/4	2	1	bII6						f	i		bII6		bII		6					M	1	1	-2, -5, -6		-6	-2	6	11	0.35294117647058826	0.375	0.875	0.3
26	26	0	0	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.3125	0.16666666666666666
26	26	1/4	1/4	2/4	2	1	VI						f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	1	4	0.2	0.0625	0.3125	0.16666666666666666
27	27	0	0	2/4	2	1	iio6						f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	1	4	0.2	0.0625	0.3125	0.16666666666666666
27	27	1/4	1/4	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.3125	0.16666666666666666
28	28	0	0	2/4	2	1	i|PAC}{						f	i		i		i					PAC	}{	m	1	1	-1, -4, 0		-1	-1	10	37	0.2127659574468085	0.625	4.0625	0.13333333333333333
32	32	0	0	2/4	2	1	bII6						f	i		bII6		bII		6					M	1	1	-2, -5, -6		-6	-2	6	15	0.2857142857142857	0.375	2.1875	0.14634146341463414
34	34	0	0	2/4	2	1	V7						f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	7	0.125	0.0625	0.6875	0.08333333333333333
34	34	1/4	1/4	2/4	2	1	VI						f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	1	5	0.16666666666666666	0.0625	0.4375	0.125
35	35	0	0	2/4	2	1	iio6						f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	1	5	0.16666666666666666	0.0625	0.4375	0.125
35	35	1/4	1/4	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.0625	0.4375	0.125
36	36	0	0	2/4	2	1	i|PAC}{						f	i		i		i					PAC	}{	m	1	1	-1, -4, 0		-1	-1	0	23	0.0	0.0	2.1875	0.0
38	38	0	0	2/4	2	1	V(#9#764)						f	i		V(#9#764)		V			#9#764				M	1	1	0, -1, -4	2, 5	0	0	0	11	0.0	0.0	2.1875	0.0
39	39	0	0	2/4	2	1	V(#7)						f	i		V(#7)		V			#7				M	1	1	0, 4, 1	5	0	0	0	8	0.0	0.0	0.875	0.0
39	39	1/4	1/4	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	1	15	0.0625	0.0625	1.5	0.04
41	41	0	0	2/4	2	1	V43						f	i		V43		V		43					Mm7	1	1	1, -2, 0, 4		0	1	0	11	0.0	0.0	1.0625	0.0
42	42	0	0	2/4	2	1	i(9#74)						f	i		i(9#74)		i			9#74				m	1	1	-1, -2, 0	1, 4	-1	-1	0	11	0.0	0.0	2.1875	0.0
43	43	0	0	2/4	2	1	i(9#7)						f	i		i(9#7)		i			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1	0	7	0.0	0.0	0.75	0.0
43	43	1/4	1/4	2/4	2	1	i						f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	0.5	0.0
44	44	0	0	2/4	2	1	V/iv						f	i		V/iv		V				iv			M	1	1	-1, 3, 0		-1	-1	1	10	0.09090909090909091	0.0625	1.0	0.058823529411764705
45	45	0	0	2/4	2	1	V43/iv						f	i		V43/iv		V		43		iv			Mm7	1	1	0, -3, -1, 3		-1	0	0	11	0.0	0.0	1.0625	0.0
46	46	0	0	2/4	2	1	iv(9#74)						f	i		iv(9#74)		iv			9#74				m	1	1	-2, -3, -1	0, 3	-2	-2	0	17	0.0	0.0	2.75	0.0
47	47	1/8	1/8	2/4	2	1	iv						f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	0	5	0.0	0.0	0.4375	0.0
47	47	1/4	1/4	2/4	2	1	i6						f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.4375	0.0
47	47	3/8	3/8	2/4	2	1	ii%7						f	i		ii%7		ii	%	7					%7	1	1	1, -2, -5, -1		1	1	0	5	0.0	0.0	0.4375	0.0
48	48	0	0	2/4	2	1	V(64)						f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	0	13	0.0	0.0	1.5625	0.0
49	49	0	0	2/4	2	1	V7						f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	15	0.0	0.0	1.875	0.0
50	50	0	0	2/4	2	1	i|IAC}{						f	i		i		i					IAC	}{	m	1	1	-1, -4, 0		-1	-1	0	8	0.0	0.0	1.25	0.0
50	50	1/4	1/4	2/4	2	1	i64						f	i		i64		i		64					m	1	1	0, -1, -4		-1	0	0	6	0.0	0.0	0.375	0.0
51	51	0	0	2/4	2	1	i6						f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	0.75	0.0
51	51	1/4	1/4	2/4	2	1	i						f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	6	0.0	0.0	0.375	0.0
52	52	0	0	2/4	2	1	V(64)						f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	2	8	0.2	0.125	1.375	0.08333333333333333
53	53	0	0	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.0625	0.4375	0.125
53	53	1/4	1/4	2/4	2	1	V6						f	i		V6		V		6					M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	0.25	0.0
54	54	0	0	2/4	2	1	V						f	i		V		V							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	0.25	0.0
54	54	1/4	1/4	2/4	2	1	V6						f	i		V6		V		6					M	1	1	4, 1, 0		0	4	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
55	55	0	0	2/4	2	1	V43						f	i		V43		V		43					Mm7	1	1	1, -2, 0, 4		0	1	0	6	0.0	0.0	0.75	0.0
55	55	1/4	1/4	2/4	2	1	V7						f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	6	0.0	0.0	0.375	0.0
56	56	0	0	2/4	2	1	i(119)						f	i		i(119)		i			119				m	1	1	-1, -4, 0	-2, 1	-1	-1	2	8	0.2	0.125	1.375	0.08333333333333333
57	57	0	0	2/4	2	1	i						f	i		i		i							m	1	1	-1, -4, 0		-1	-1	1	5	0.16666666666666666	0.0625	0.4375	0.125
