mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	3/4	2	1	C.V{	0	-3.40148	/			C	I		V		V						{	M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
2	1	0	0	3/4	2	1	IV6	0	-3.30659	/			C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3	1	1	0.5	0.25	0.25	0.5
2	1	1/2	1/2	3/4	2	1	IV						C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
3	2	0	0	3/4	2	1	I6	0	-3.97084	/			C	I		I6		I		6					M	0	0	4, 1, 0		0	4	2	4	0.3333333333333333	0.375	0.75	0.3333333333333333
4	3	0	0	3/4	2	1	V43						C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	4	0.0	0.0	1.5	0.0
5	4	0	0	3/4	2	1	I6						C	I		I6		I		6					M	0	0	4, 1, 0		0	4	1	2	0.3333333333333333	0.25	1.0	0.2
5	4	3/8	3/8	3/4	2	1	V(64)						C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	1	3	0.25	0.125	0.5	0.2
6	5	0	0	3/4	2	1	V2						C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
7	6	0	0	3/4	2	1	I6						C	I		I6		I		6					M	0	0	4, 1, 0		0	4	1	4	0.2	0.25	2.5	0.09090909090909091
7	6	1/2	1/2	3/4	2	1	I						C	I		I		I							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.25	0.0
8	7	0	0	3/4	2	1	V6						C	I		V6		V		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	1.0	0.0
8	7	1/4	1/4	3/4	2	1	V7						C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
8	7	1/2	1/2	3/4	2	1	I						C	I		I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	2	1	V|HC}						C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
9	8	3/8	3/8	3/4	2	1	V.V{						C	V		V		V						{	M	0	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
10	9	0	0	3/4	2	1	viio43						C	V		viio43		vii	o	43					o7	0	0	0, -3, 6, 3		6	0	2	4	0.3333333333333333	0.375	0.75	0.3333333333333333
11	10	0	0	3/4	2	1	i6						C	V		i6		i		6					m	0	0	-2, 2, 1		1	-2	1	3	0.25	0.25	0.625	0.2857142857142857
11	10	1/2	1/2	3/4	2	1	i						C	V		i		i							m	0	0	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	0	0	3/4	2	1	viio2						C	V		viio2		vii	o	2					o7	0	0	-3, 6, 3, 0		6	-3	1	4	0.2	0.25	0.875	0.2222222222222222
12	11	1/2	1/2	3/4	2	1	viio43						C	V		viio43		vii	o	43					o7	0	0	0, -3, 6, 3		6	0	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	0	0	3/4	2	1	i6	0	-3.38725	/			C	V		i6		i		6					m	0	0	-2, 2, 1		1	-2	1	3	0.25	0.25	0.625	0.2857142857142857
13	12	1/2	1/2	3/4	2	1	i						C	V		i		i							m	0	0	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	0	0	3/4	2	1	viio2/V	0	-4.01354	/			C	V		viio2/V		vii	o	2		V			o7	0	0	-2, 7, 4, 1		7	-2	2	4	0.3333333333333333	0.5	0.875	0.36363636363636365
14	13	1/2	1/2	3/4	2	1	viio43/V						C	V		viio43/V		vii	o	43		V			o7	0	0	1, -2, 7, 4		7	1	1	3	0.25	0.125	0.625	0.16666666666666666
15	14	0	0	3/4	2	1	V6	0	-4.32669	/			C	V		V6		V		6					M	0	0	6, 3, 2		2	6	2	4	0.3333333333333333	0.5	0.875	0.36363636363636365
15	14	1/2	1/2	3/4	2	1	V						C	V		V		V							M	0	0	2, 6, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
16	15	0	0	3/4	2	1	I	0	-4.35473	/			C	V		I		I							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
16	15	1/4	1/4	3/4	2	1	ii6	0	-4.35	/			C	V		ii6		ii		6					m	0	0	0, 4, 3		3	0	0	5	0.0	0.0	1.25	0.0
16	15	1/2	1/2	3/4	2	1	V7	0	-4.35	/			C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	1.25	0.0
17	15	0	0	3/4	2	1	I|PAC}	0	-4.35	/			C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
18	15	0	3/8	3/4	2	1	i.V{						C	i		V		V						{	M	0	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
19	16	0	0	3/4	2	1	#viio2						C	i		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4	1	2	0.3333333333333333	0.25	0.375	0.4
19	16	1/2	1/2	3/4	2	1	#viio43						C	i		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1	1	2	0.3333333333333333	0.125	0.375	0.25
20	17	0	0	3/4	2	1	i6	0	-3.23068	/			C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	1	3	0.25	0.25	0.625	0.2857142857142857
20	17	1/2	1/2	3/4	2	1	i						C	i		i		i							m	0	1	0, -3, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
21	18	0	0	3/4	2	1	#viio2/vii						C	i		#viio2/vii		#vii	o	2		vii			o7	0	1	-6, 3, 0, -3		3	-6	1	3	0.25	0.25	0.625	0.2857142857142857
21	18	1/2	1/2	3/4	2	1	#viio43/vii						C	i		#viio43/vii		#vii	o	43		vii			o7	0	1	-3, -6, 3, 0		3	-3	1	2	0.3333333333333333	0.125	0.375	0.25
22	19	0	0	3/4	2	1	vii6						C	i		vii6		vii		6					m	0	1	-5, -1, -2		-2	-5	1	3	0.25	0.25	0.625	0.2857142857142857
22	19	1/2	1/2	3/4	2	1	vii						C	i		vii		vii							m	0	1	-2, -5, -1		-2	-2	1	2	0.3333333333333333	0.125	0.375	0.25
23	20	0	0	3/4	2	1	#viio7/vii						C	i		#viio7/vii		#vii	o	7		vii			o7	0	1	3, 0, -3, -6		3	3	2	5	0.2857142857142857	0.375	1.0	0.2727272727272727
24	21	0	0	3/4	2	1	vii						C	i		vii		vii							m	0	1	-2, -5, -1		-2	-2	2	5	0.2857142857142857	0.375	1.0	0.2727272727272727
25	22	0	0	3/4	2	1	vii%7/VI	-0.126316	-5.71336	/			C	i		vii%7/VI		vii	%	7		VI			%7	0	1	1, -2, -5, -1		1	1	2	8	0.2	0.5	1.625	0.23529411764705882
26	23	0	0	3/4	2	1	VI	0	-4.39786	/			C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4	3	7	0.3	0.625	1.5	0.29411764705882354
27	24	0	0	3/4	2	1	viio7/V	-0.631579	-5.40526	/			C	i		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6	3	7	0.3	0.625	1.5	0.29411764705882354
28	25	0	0	3/4	2	1	V	0	-3.70773	/			C	i		V		V							M	0	1	1, 5, 2		1	1	3	7	0.3	0.625	1.5	0.29411764705882354
29	26	0	0	3/4	2	1	i6	0	-3.4058	/			C	i		i6		i		6					m	0	1	-3, 1, 0		0	-3	3	3	0.5	0.75	0.75	0.5
29	26	1/2	1/2	3/4	2	1	i						C	i		i		i							m	0	1	0, -3, 1		0	0	0	3	0.0	0.0	0.75	0.0
30	27	0	0	3/4	2	1	V|HC}						C	i		V		V					HC	}	M	0	1	1, 5, 2		1	1	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
31	28	0	0	3/4	2	1	VI					It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
31	28	1/4	1/4	3/4	2	1	V						C	i		V		V							M	0	1	1, 5, 2		1	1	0	8	0.0	0.0	1.75	0.0
32	29	0	0	3/4	2	1	V(#9#764)	0	-3.4058	/			C	i		V(#9#764)		V			#9#764				M	0	1	1, 0, -3	3, 6	1	1	0	7	0.0	0.0	1.75	0.0
32	29	1/4	1/4	3/4	2	1	V	0	-3.4058	/			C	i		V		V							M	0	1	1, 5, 2		1	1	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
33	30	0	0	3/4	2	1	VI					It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
33	30	1/4	1/4	3/4	2	1	V						C	i		V		V							M	0	1	1, 5, 2		1	1	0	8	0.0	0.0	1.75	0.0
34	31	0	0	3/4	2	1	V(#9#764)	0	-3.4058	/			C	i		V(#9#764)		V			#9#764				M	0	1	1, 0, -3	3, 6	1	1	0	7	0.0	0.0	1.75	0.0
34	31	1/4	1/4	3/4	2	1	V	0	-3.36266	/			C	i		V		V							M	0	1	1, 5, 2		1	1	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
35	32	0	0	3/4	2	1	VI					It6	C	i		VI		VI							M	0	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
35	32	1/4	1/4	3/4	2	1	V						C	i		V		V							M	0	1	1, 5, 2		1	1	0	8	0.0	0.0	1.75	0.0
36	33	0	0	3/4	2	1	V(964)	0	-2.94224	/			C	i		V(964)		V			964				M	0	1	1, 0, -3	-4	1	1	0	6	0.0	0.0	1.5	0.0
36	33	1/4	1/4	3/4	2	1	V	0	-2.94224	/			C	i		V		V							M	0	1	1, 5, 2		1	1	0	12	0.0	0.0	2.25	0.0
