mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	A.I{						A	I		I	I						{	M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
2	1	0	0	2/4	2	1	V						A	I		V	V							M	0	0	4, 8, 5		4	4	4	7	0.36363636363636365	0.125	0.875	0.125
3	2	0	0	2/4	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	0	5	0.0	0.0	0.875	0.0
4	3	0	0	2/4	2	1	IV6					vi	A	I		IV6	IV		6					M	0	0	6, 3, 2		2	6	4	7	0.36363636363636365	0.125	0.875	0.125
5	4	0	0	2/4	2	1	ii						A	I		ii	ii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.5	0.0
5	4	3/8	3/8	2/4	2	1	V7|HC}						A	I		V7	V		7			HC	}	Mm7	0	0	4, 8, 5, 2		4	4	0	24	0.0	0.0	5.625	0.0
9	8	3/8	3/8	2/4	2	1	I{						A	I		I	I						{	M	0	0	3, 7, 4		3	3	4	12	0.25	0.5	2.0	0.2
12	11	1/8	1/8	2/4	2	1	V						A	I		V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
12	11	1/4	1/4	2/4	2	1	ii7/V						A	I		ii7/V	ii		7		V			mm7	0	0	6, 3, 7, 4		6	6	0	2	0.0	0.0	0.25	0.0
12	11	3/8	3/8	2/4	2	1	viio						A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	0	3	0.0	0.0	0.375	0.0
13	12	0	0	2/4	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
14	13	0	0	2/4	2	1	V						A	I		V	V							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.625	0.0
14	13	1/4	1/4	2/4	2	1	ii2/V						A	I		ii2/V	ii		2		V			mm7	0	0	4, 6, 3, 7		6	4	0	2	0.0	0.0	0.25	0.0
14	13	3/8	3/8	2/4	2	1	viio64						A	I		viio64	vii	o	64					o	0	0	2, 8, 5		8	2	0	3	0.0	0.0	0.375	0.0
15	14	0	0	2/4	2	1	I6						A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	7	0.0	0.0	0.875	0.0
15	14	3/8	3/8	2/4	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
