mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	F.I{					F	I		I		I						{	M	0	0	-1, 3, 0		-1.0	-1.0	2	22	0.08333333333333333	0.08333333333333333	3.6666666666666665	0.02222222222222222
4	3	0	0	2/4	2	1	V65					F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0.0	4.0	1	10	0.09090909090909091	0.041666666666666664	1.9583333333333333	0.020833333333333332
6	5	0	0	2/4	2	1	I					F	I		I		I							M	0	0	-1, 3, 0		-1.0	-1.0	0	6	0.0	0.0	1.125	0.0
6	5	1/4	1/4	2/4	2	1	V43					F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	4	0.0	0.0	0.875	0.0
7	6	0	0	2/4	2	1	I6					F	I		I6		I		6					M	0	0	3, 0, -1		-1.0	3.0	0	5	0.0	0.0	1.125	0.0
7	6	1/4	1/4	2/4	2	1	ii65					F	I		ii65		ii		65					mm7	0	0	-2, 2, -1, 1		1.0	-2.0	0	5	0.0	0.0	1.125	0.0
8	7	0	0	2/4	2	1	I64					F	I		I64		I		64					M	0	0	0, -1, 3		-1.0	0.0	1	4	0.2	0.125	1.0	0.1111111111111111
8	7	1/4	1/4	2/4	2	1	V2/IV					F	I		V2/IV		V		2		IV			Mm7	0	0	-3, -1, 3, 0		-1.0	-3.0	1	5	0.16666666666666666	0.0625	1.0625	0.05555555555555555
9	8	0	0	2/4	2	1	IV6					F	I		IV6		IV		6					M	0	0	2, -1, -2		-2.0	2.0	2	10	0.16666666666666666	0.125	2.0	0.058823529411764705
10	9	1/4	1/4	2/4	2	1	V65	0	-6.67849	/		F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0.0	4.0	0	5	0.0	0.0	0.875	0.0
11	10	0	0	2/4	2	1	I					F	I		I		I							M	0	0	-1, 3, 0		-1.0	-1.0	2	6	0.25	0.125	0.875	0.125
11	10	1/4	1/4	2/4	2	1	ii6					F	I		ii6		ii		6					m	0	0	-2, 2, 1		1.0	-2.0	1	6	0.14285714285714285	0.09375	0.90625	0.09375
12	11	0	0	2/4	2	1	V(64)					F	I		V(64)		V			64				M	0	0	0, -1, 3		0.0	0.0	1	4	0.2	0.125	0.875	0.125
