mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
65	65	0	0	4/4	2	1	V/iv						d	v		V/iv		V				iv			M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
65	65	1/2	1/2	4/4	2	1	#viio2/iv						d	v		#viio2/iv		#vii	o	2		iv			o7	1	1	-2, 7, 4, 1		7	-2	0	3	0.0	0.0	1.0	0.0
66	66	0	0	4/4	2	1	bII						d	v		bII		bII							M	1	1	-2, 2, -1		-2	-2	0	5	0.0	0.0	2.0	0.0
66	66	1/2	1/2	4/4	2	1	iv64						d	v		iv64		iv		64					m	1	1	3, 2, -1		2	3	0	1	0.0	0.0	0.25	0.0
66	66	3/4	3/4	4/4	2	1	#viio7						d	v		#viio7		#vii	o	7					o7	1	1	8, 5, 2, -1		8	8	0	3	0.0	0.0	0.75	0.0
67	67	0	0	4/4	2	1	V/iv						d	v		V/iv		V				iv			M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
67	67	1/2	1/2	4/4	2	1	#viio2/iv						d	v		#viio2/iv		#vii	o	2		iv			o7	1	1	-2, 7, 4, 1		7	-2	0	3	0.0	0.0	1.0	0.0
68	68	0	0	4/4	2	1	bII						d	v		bII		bII							M	1	1	-2, 2, -1		-2	-2	0	5	0.0	0.0	2.0	0.0
68	68	1/2	1/2	4/4	2	1	iv64						d	v		iv64		iv		64					m	1	1	3, 2, -1		2	3	0	1	0.0	0.0	0.25	0.0
68	68	3/4	3/4	4/4	2	1	#viio7	-0.284575	-5.72739	/			d	v		#viio7		#vii	o	7					o7	1	1	8, 5, 2, -1		8	8	0	3	0.0	0.0	0.75	0.0
69	69	0	0	4/4	2	1	V7/III						d	v		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1	1	2	6	0.25	0.25	1.0	0.2
69	69	3/4	3/4	4/4	2	1	viio/III						d	v		viio/III		vii	o			III			o	1	1	5, 2, -1		5	5	1	3	0.25	0.125	0.625	0.16666666666666666
70	70	0	0	4/4	2	1	III						d	v		III		III							M	1	1	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	0.75	0.25
70	70	1/2	1/2	4/4	2	1	III6					V(64)	d	v		III6		III		6					M	1	1	4, 1, 0		0	4	2	4	0.3333333333333333	0.25	0.75	0.25
71	71	0	0	4/4	2	1	V7						d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	6	0.25	0.25	1.0	0.2
