mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	Db.I{					Db	I		I		I						{	M	0	0	-5, -1, -4		-5	-5	0	4	0.0	0.0	1.0	0.0
1	1	1/4	1/4	2/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6	-6	0	4	0.0	0.0	1.0	0.0
2	2	0	0	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	4	0.0	0.0	1.5	0.0
2	2	3/8	3/8	2/4	2	1	ii65					Db	I		ii65		ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	0	4	0.0	0.0	0.5	0.0
3	3	0	0	2/4	2	1	V(4)					Db	I		V(4)		V			4				M	0	0	-4, -5, -3		-4	-4	0	4	0.0	0.0	1.0	0.0
3	3	1/4	1/4	2/4	2	1	V					Db	I		V		V							M	0	0	-4, 0, -3		-4	-4	1	4	0.2	0.03125	0.96875	0.03125
4	4	0	0	2/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	3	6	0.3333333333333333	0.125	1.875	0.0625
5	5	0	0	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	1.25	0.0
5	5	1/4	1/4	2/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6	-6	0	5	0.0	0.0	1.25	0.0
6	6	0	0	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	1.875	0.0
6	6	3/8	3/8	2/4	2	1	Ger6					Db	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-9, -5, -8, 1		1	-9	1	4	0.2	0.125	0.5	0.2
7	7	0	0	2/4	2	1	V7(4)					Db	I		V7(4)		V		7	4				Mm7	0	0	-4, -5, -3, -6		-4	-4	0	5	0.0	0.0	1.25	0.0
7	7	1/4	1/4	2/4	2	1	V7					Db	I		V7		V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	4	0.0	0.0	1.0	0.0
8	8	0	0	2/4	2	1	I64}					Db	I		I64		I		64				}	M	0	0	-4, -5, -1		-5	-4	2	5	0.2857142857142857	0.0625	1.3125	0.045454545454545456
8	8	1/4	1/4	2/4	2	1	I|PAC					Db	I		I		I					PAC		M	0	0	-5, -1, -4		-5	-5	0	1	0.0	0.0	0.125	0.0
9	9	0	0	2/4	2	1	V2{	-0.142201	-3.42636	/		Db	I		V2		V		2				{	Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	1.25	0.0
9	9	1/4	1/4	2/4	2	1	V43	-0.568804	-3.71076	/		Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	5	0.0	0.0	1.09375	0.0
9	9	15/32	15/32	2/4	2	1	V2	0.426603	-3.85296	/		Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	0.15625	0.0
10	10	0	0	2/4	2	1	I6	0	-8.83	/		Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.9375	0.0
10	10	3/16	3/16	2/4	2	1	I	0	-8.83	/		Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.3125	0.0
10	10	1/4	1/4	2/4	2	1	V43	0	-8.83	/		Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	5	0.0	0.0	0.625	0.0
10	10	3/8	3/8	2/4	2	1	I	0	-8.83	/		Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.625	0.0
11	11	0	0	2/4	2	1	V2	0	-8.83	/		Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	1.25	0.0
11	11	1/4	1/4	2/4	2	1	V43	0	-8.83	/		Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	5	0.0	0.0	1.09375	0.0
11	11	15/32	15/32	2/4	2	1	V2	0	-8.83	/		Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	0.15625	0.0
12	12	0	0	2/4	2	1	I6	0	-8.83	/		Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.9375	0.0
12	12	3/16	3/16	2/4	2	1	I	0	-8.83	/		Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.3125	0.0
12	12	1/4	1/4	2/4	2	1	V65(6)	0	-8.83468	/		Db	I		V65(6)		V		65	6				Mm7	0	0	0, -1, -6, -4		-4	0	0	5	0.0	0.0	0.5	0.0
12	12	5/16	5/16	2/4	2	1	V65	0	-8.83	/		Db	I		V65		V		65					Mm7	0	0	0, -3, -6, -4		-4	0	0	1	0.0	0.0	0.0625	0.0
12	12	3/8	3/8	2/4	2	1	I	0	-8.83	/		Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.5	0.0
13	13	0	0	2/4	2	1	V2	0	-8.83	/		Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	1.25	0.0
13	13	1/4	1/4	2/4	2	1	V43	0	-8.83	/		Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	5	0.0	0.0	1.09375	0.0
13	13	15/32	15/32	2/4	2	1	V2	0	-8.83	/		Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	5	0.0	0.0	0.15625	0.0
14	14	0	0	2/4	2	1	I6	0	-8.83	/		Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.9375	0.0
14	14	3/16	3/16	2/4	2	1	I	0	-8.83	/		Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.3125	0.0
14	14	1/4	1/4	2/4	2	1	V43	0	-8.83	/		Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	6	0.0	0.0	0.5	0.0
14	14	3/8	3/8	2/4	2	1	I6	0	-8.83	/		Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	5	0.0	0.0	0.625	0.0
15	15	0	0	2/4	2	1	ii6	0	-8.83	/		Db	I		ii6		ii		6					m	0	0	-6, -2, -3		-3	-6	0	4	0.0	0.0	1.0	0.0
15	15	1/4	1/4	2/4	2	1	V	0	-8.83	/		Db	I		V		V							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	1.0	0.0
16	16	0	0	2/4	2	1	I64}					Db	I		I64		I		64				}	M	0	0	-4, -5, -1		-5	-4	2	5	0.2857142857142857	0.0625	1.3125	0.045454545454545456
16	16	1/4	1/4	2/4	2	1	I|PAC					Db	I		I		I					PAC		M	0	0	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.75	0.0
17	17	1/4	1/4	2/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6	-6	0	4	0.0	0.0	0.5	0.0
18	18	0	0	2/4	2	1	V(64)					Db	I		V(64)		V			64				M	0	0	-4, -5, -1		-4	-4	1	4	0.2	0.125	0.625	0.16666666666666666
18	18	1/4	1/4	2/4	2	1	V65/V					Db	I		V65/V		V		65		V			Mm7	0	0	1, -2, -5, -3		-3	1	0	4	0.0	0.0	0.5	0.0
19	19	0	0	2/4	2	1	V(4)					Db	I		V(4)		V			4				M	0	0	-4, -5, -3		-4	-4	1	4	0.2	0.125	0.625	0.16666666666666666
19	19	1/4	1/4	2/4	2	1	V2					Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	6	0.0	0.0	0.625	0.0
20	20	1/16	1/16	2/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	2	0.0	0.0	0.1875	0.0
20	20	3/16	3/16	2/4	2	1	viio6					Db	I		viio6		vii	o	6					o	0	0	-3, -6, 0		0	-3	0	2	0.0	0.0	0.1875	0.0
20	20	5/16	5/16	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	2	6	0.25	0.1875	0.8125	0.1875
21	21	1/4	1/4	2/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6	-6	0	4	0.0	0.0	0.5	0.0
22	22	0	0	2/4	2	1	V(64)					Db	I		V(64)		V			64				M	0	0	-4, -5, -1		-4	-4	1	4	0.2	0.125	0.625	0.16666666666666666
22	22	1/4	1/4	2/4	2	1	Ger6					Db	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-9, -5, -8, 1		1	-9	2	2	0.5	0.25	0.25	0.5
23	23	0	0	2/4	2	1	V7(4)					Db	I		V7(4)		V		7	4				Mm7	0	0	-4, -5, -3, -6		-4	-4	1	4	0.2	0.125	0.625	0.16666666666666666
23	23	1/4	1/4	2/4	2	1	V7					Db	I		V7		V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	4	0.0	0.0	0.5	0.0
24	24	0	0	2/4	2	1	I|PAC}				1	Db	I		I		I					PAC	}	M	0	0	-5, -1, -4		-5	-5	3	13	0.1875	0.25	1.375	0.15384615384615385
25	24	1/4	1/4	2/4	2	1	IV				1	Db	I		IV		IV							M	0	0	-6, -2, -5		-6	-6	0	4	0.0	0.0	0.5	0.0
26	24	0	0	2/4	2	1	I|PAC}				2	Db	I		I		I					PAC	}	M	0	0	-5, -1, -4		-5	-5	0	11	0.0	0.0	0.875	0.0
27	25	0	0	2/4	2	1	V2{					Db	I		V2		V		2				{	Mm7	0	0	-6, -4, 0, -3		-4	-6	0	4	0.0	0.0	0.625	0.0
27	25	1/4	1/4	2/4	2	1	V65					Db	I		V65		V		65					Mm7	0	0	0, -3, -6, -4		-4	0	0	4	0.0	0.0	0.5	0.0
28	26	0	0	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	1	6	0.14285714285714285	0.0625	0.5625	0.1
28	26	1/4	1/4	2/4	2	1	viio6					Db	I		viio6		vii	o	6					o	0	0	-3, -6, 0		0	-3	0	2	0.0	0.0	0.125	0.0
28	26	3/8	3/8	2/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	2	0.0	0.0	0.125	0.0
29	27	0	0	2/4	2	1	V2					Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4	-6	0	4	0.0	0.0	0.625	0.0
29	27	1/4	1/4	2/4	2	1	V43					Db	I		V43		V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	5	0.0	0.0	0.625	0.0
30	28	0	0	2/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	1	5	0.16666666666666666	0.0625	0.5625	0.1
30	28	1/8	1/8	2/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.1875	0.0
30	28	1/4	1/4	2/4	2	1	viio6					Db	I		viio6		vii	o	6					o	0	0	-3, -6, 0		0	-3	0	3	0.0	0.0	0.1875	0.0
30	28	3/8	3/8	2/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5	-1	0	3	0.0	0.0	0.1875	0.0
