mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	A.I{		A	I		I	I						{	M	0	0	3, 7, 4		3.0	3.0	0	23	0.0	0.0	3.5	0.0
4	3	1/4	1/4	3/4	2	1	V43/V		A	I		V43/V	V		43		V			Mm7	0	0	6, 3, 5, 9		5.0	6.0	0	4	0.0	0.0	1.0	0.0
4	3	1/2	1/2	3/4	2	1	V65/V		A	I		V65/V	V		65		V			Mm7	0	0	9, 6, 3, 5		5.0	9.0	0	4	0.0	0.0	1.0	0.0
5	4	0	0	3/4	2	1	V(94)}		A	I		V(94)	V			94			}	M	0	0	4, 3, 5	6	4.0	4.0	0	4	0.0	0.0	1.25	0.0
5	4	1/4	1/4	3/4	2	1	V|HC		A	I		V	V					HC		M	0	0	4, 8, 5		4.0	4.0	0	7	0.0	0.0	1.0	0.0
6	5	0	0	3/4	2	1	V7		A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	27	0.0	0.0	5.25	0.0
9	8	0	0	3/4	2	2	I(974)}		A	I		I(974)	I			974			}	M	0	0	3, 2, 4	5, 8	3.0	3.0	0	4	0.0	0.0	1.25	0.0
9	8	1/4	1/4	3/4	2	2	I|PAC		A	I		I	I					PAC		M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.75	0.0
10	8	0	1/2	3/4	2	1	V{		A	I		V	V						{	M	0	0	4, 8, 5		4.0	4.0	0	8	0.0	0.0	1.25	0.0
11	9	1/2	1/2	3/4	2	1	V2		A	I		V2	V		2					Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	4	0.0	0.0	0.25	0.0
12	10	0	0	3/4	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5.0	2.0	0	4	0.0	0.0	1.0	0.0
12	10	1/2	1/2	3/4	2	1	V/vi		A	I		V/vi	V				vi			M	0	0	7, 11, 8		7.0	7.0	0	5	0.0	0.0	0.5	0.0
13	11	1/4	1/4	3/4	2	1	V7/vi		A	I		V7/vi	V		7		vi			Mm7	0	0	7, 11, 8, 5		7.0	7.0	0	9	0.0	0.0	2.25	0.0
14	12	1/4	1/4	3/4	2	1	i/vi|PAC}		A	I		i/vi	i				vi	PAC	}	m	0	0	6, 3, 7		6.0	6.0	0	11	0.0	0.0	2.0	0.0
15	13	1/2	1/2	3/4	2	1	vii.iv6		A	vii		iv6	iv		6					m	0	1	4, 8, 7		7.0	4.0	0	8	0.0	0.0	1.25	0.0
16	14	1/2	1/2	3/4	2	1	V		A	vii		V	V							M	0	1	9, 13, 10		9.0	9.0	0	5	0.0	0.0	0.5	0.0
17	15	1/4	1/4	3/4	2	1	V7		A	vii		V7	V		7					Mm7	0	1	9, 13, 10, 7		9.0	9.0	0	9	0.0	0.0	2.25	0.0
18	16	1/4	1/4	3/4	2	1	i		A	vii		i	i							m	0	1	8, 5, 9		8.0	8.0	0	3	0.0	0.0	0.75	0.0
19	17	0	0	3/4	2	1	i6		A	vii		i6	i		6					m	0	1	5, 9, 8		8.0	5.0	0	3	0.0	0.0	0.75	0.0
19	17	1/4	1/4	3/4	2	1	iv		A	vii		iv	iv							m	0	1	7, 4, 8		7.0	7.0	0	3	0.0	0.0	0.75	0.0
20	18	1/4	1/4	3/4	2	1	V(64)		A	vii		V(64)	V			64				M	0	1	9, 8, 5		9.0	9.0	0	4	0.0	0.0	1.0	0.0
20	18	1/2	1/2	3/4	2	1	V7		A	vii		V7	V		7					Mm7	0	1	9, 13, 10, 7		9.0	9.0	0	4	0.0	0.0	1.0	0.0
21	19	0	0	3/4	2	1	i|PAC}{		A	vii		i	i					PAC	}{	m	0	1	8, 5, 9		8.0	8.0	0	11	0.0	0.0	1.875	0.0
22	20	0	0	3/4	2	1	V43		A	vii		V43	V		43					Mm7	0	1	10, 7, 9, 13		9.0	10.0	0	8	0.0	0.0	1.5	0.0
23	21	0	0	3/4	2	1	i6		A	vii		i6	i		6					m	0	1	5, 9, 8		8.0	5.0	0	3	0.0	0.0	0.5	0.0
23	21	1/4	1/4	3/4	2	1	#viio6		A	vii		#viio6	#vii	o	6					o	0	1	10, 7, 13		13.0	10.0	0	3	0.0	0.0	0.5	0.0
23	21	1/2	1/2	3/4	2	1	i		A	vii		i	i							m	0	1	8, 5, 9		8.0	8.0	0	3	0.0	0.0	0.5	0.0
24	22	0	0	3/4	2	1	iio6		A	vii		iio6	ii	o	6					o	0	1	7, 4, 10		10.0	7.0	1	3	0.25	0.0	0.5	0.0
24	22	1/4	1/4	3/4	2	1	V(64)		A	vii		V(64)	V			64				M	0	1	9, 8, 5		9.0	9.0	0	3	0.0	0.0	0.5	0.0
24	22	1/2	1/2	3/4	2	1	V		A	vii		V	V							M	0	1	9, 13, 10		9.0	9.0	1	4	0.2	0.0	0.5	0.0
