mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	A.I{		A	I		I		I						{	M	0	0	3, 7, 4		3.0	3.0	0	17	0.0	0.0	1.5	0.0
2	2	0	0	4/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	5, 2, 4, 8		4.0	5.0	0	12	0.0	0.0	1.9375	0.0
3	3	0	0	4/4	2	1	I6		A	I		I6		I		6					M	0	0	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	4/4	2	1	V6		A	I		V6		V		6					M	0	0	8, 5, 4		4.0	8.0	0	3	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	2	1	I		A	I		I		I							M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.5	0.0
3	3	3/4	3/4	4/4	2	1	IV6		A	I		IV6		IV		6					M	0	0	6, 3, 2		2.0	6.0	0	3	0.0	0.0	0.5	0.0
4	4	0	0	4/4	2	1	V(64)}		A	I		V(64)		V			64			}	M	0	0	4, 3, 7		4.0	4.0	1	7	0.125	0.0625	0.9375	0.0625
4	4	1/2	1/2	4/4	2	1	V|HC		A	I		V		V					HC		M	0	0	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.5	0.0
4	4	3/4	3/4	4/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	2	0.0	0.0	0.25	0.0
5	5	0	0	4/4	2	1	I6{		A	I		I6		I		6				{	M	0	0	7, 4, 3		3.0	7.0	0	12	0.0	0.0	0.875	0.0
5	5	1/2	1/2	4/4	2	1	V64		A	I		V64		V		64					M	0	0	5, 4, 8		4.0	5.0	0	6	0.0	0.0	1.0	0.0
6	6	0	0	4/4	2	1	V.V65/V		A	V		V65/V		V		65		V			Mm7	0	0	10, 7, 4, 6		6.0	10.0	0	7	0.0	0.0	1.1875	0.0
6	6	1/2	1/2	4/4	2	1	V43/V		A	V		V43/V		V		43		V			Mm7	0	0	7, 4, 6, 10		6.0	7.0	0	5	0.0	0.0	0.75	0.0
7	7	0	0	4/4	2	1	V(64)		A	V		V(64)		V			64				M	0	0	5, 4, 8		5.0	5.0	2	8	0.2	0.1875	1.5625	0.10714285714285714
7	7	1/2	1/2	4/4	2	1	V7		A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5.0	5.0	0	9	0.0	0.0	1.25	0.0
8	8	0	0	4/4	2	1	I(974)}		A	V		I(974)		I			974			}	M	0	0	4, 3, 5	6, 9	4.0	4.0	0	6	0.0	0.0	2.125	0.0
8	8	1/2	1/2	4/4	2	1	I|PAC		A	V		I		I					PAC		M	0	0	4, 8, 5		4.0	4.0	1	4	0.2	0.125	0.625	0.16666666666666666
