mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	F.I{				F	I		I		I						{	M	0	0	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
1	1	3/8	3/8	6/8	2	1	It6/iii				F	I		It6/iii	It	vii	o	6	b3	V/iii			It	0	0	-1, 3, 9		9.0	-1.0	0	5	0.0	0.0	1.0	0.0
2	2	1/8	1/8	6/8	2	1	V/iii				F	I		V/iii		V				iii			M	0	0	4, 8, 5		4.0	4.0	0	14	0.0	0.0	2.375	0.0
3	3	0	0	6/8	2	1	vii				F	I		vii		vii							m	0	0	4, 1, 5		4.0	4.0	0	5	0.0	0.0	1.0	0.0
3	3	3/8	3/8	6/8	2	1	viio64/#IV				F	I		viio64/#IV		vii	o	64		#IV			o	0	0	4, 10, 7		10.0	4.0	0	5	0.0	0.0	1.0	0.0
4	4	1/8	1/8	6/8	2	1	#IV6				F	I		#IV6		#IV		6					M	0	0	9, 6, 5		5.0	9.0	0	18	0.0	0.0	3.0	0.0
5	5	0	0	6/8	2	1	viio6/V				F	I		viio6/V		vii	o	6		V			o	0	0	2, -1, 5		5.0	2.0	0	5	0.0	0.0	1.0	0.0
5	5	3/8	3/8	6/8	2	1	It6				F	I		It6	It	vii	o	6	b3	V			It	0	0	-5, -1, 5		5.0	-5.0	0	5	0.0	0.0	1.0	0.0
6	6	0	0	6/8	2	1	V(4)				F	I		V(4)		V			4				M	0	0	0, -1, 1		0.0	0.0	0	3	0.0	0.0	0.375	0.0
6	6	1/8	1/8	6/8	2	1	V				F	I		V		V							M	0	0	0, 4, 1		0.0	0.0	0	6	0.0	0.0	0.75	0.0
6	6	3/8	3/8	6/8	2	1	V7				F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	1.0	0.0
7	7	1/8	1/8	6/8	2	1	vi				F	I		vi		vi							m	0	0	2, -1, 3		2.0	2.0	0	12	0.0	0.0	2.0	0.0
8	8	0	0	6/8	2	1	ii6				F	I		ii6		ii		6					m	0	0	-2, 2, 1		1.0	-2.0	0	5	0.0	0.0	0.625	0.0
8	8	3/8	3/8	6/8	2	1	V7				F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0.0	0.0	0	5	0.0	0.0	0.625	0.0
9	9	0	0	6/8	2	1	I|PAC}				F	I		I		I					PAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	0	17	0.0	0.0	2.75	0.0
9	9	5/8	5/8	6/8	2	1	V{				F	I		V		V						{	M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.125	0.0
10	10	0	0	6/8	2	1	I				F	I		I		I							M	0	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.5625	0.0
10	10	3/16	3/16	6/8	2	1	V6				F	I		V6		V		6					M	0	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.1875	0.0
10	10	1/4	1/4	6/8	2	1	I				F	I		I		I							M	0	0	-1, 3, 0		-1.0	-1.0	0	3	0.0	0.0	0.1875	0.0
10	10	5/16	5/16	6/8	2	1	V43				F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	3	0.0	0.0	0.1875	0.0
10	10	3/8	3/8	6/8	2	1	I6(#4#2)				F	I		I6(#4#2)		I		6	#4#2				M	0	0	8, 5, -1		-1.0	8.0	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
10	10	7/16	7/16	6/8	2	1	I6				F	I		I6		I		6					M	0	0	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.375	0.0
10	10	9/16	9/16	6/8	2	1	IV(+2)				F	I		IV(+2)		IV			+2				M	0	0	-2, 2, -1	0	-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
10	10	11/16	11/16	6/8	2	1	V43				F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	3	0.0	0.0	0.125	0.0
10	10	23/32	23/32	6/8	2	1	I				F	I		I		I							M	0	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.0625	0.0
11	11	0	0	6/8	2	1	V6				F	I		V6		V		6					M	0	0	4, 1, 0		0.0	4.0	1	4	0.2	0.0625	0.5	0.1111111111111111
11	11	3/16	3/16	6/8	2	1	V43(6#4)				F	I		V43(6#4)		V		43	6#4				Mm7	0	0	6, 3, -2, 0, 4		0.0	6.0	0	3	0.0	0.0	0.1875	0.0
11	11	1/4	1/4	6/8	2	1	V43				F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0.0	1.0	0	3	0.0	0.0	0.1875	0.0
11	11	5/16	5/16	6/8	2	1	V2(6#4)				F	I		V2(6#4)		V		2	6#4				Mm7	0	0	-2, 0, 4, 6, 3		0.0	-2.0	0	3	0.0	0.0	0.1875	0.0
11	11	3/8	3/8	6/8	2	1	V2				F	I		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0.0	-2.0	0	3	0.0	0.0	0.1875	0.0
