mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c.i{					c	i		i		i						{	m	1	1	0, -3, 1		0.0	0.0	0	24	0.0	0.0	6.9375	0.0
4	4	1/2	1/2	3/4	2	1	V43					c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	1.0	0.0
5	5	0	0	3/4	2	1	#viio65					c	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5.0	2.0	0	27	0.0	0.0	8.0625	0.0
8	8	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	10	0.09090909090909091	0.125	2.125	0.05555555555555555
10	10	0	0	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	4	0.0	0.0	2.0	0.0
10	10	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	12	0.07692307692307693	0.125	2.375	0.05
12	12	0	0	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	4	0.0	0.0	2.0	0.0
12	12	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	13	0.13333333333333333	0.25	2.75	0.08333333333333333
14	14	0	0	3/4	2	1	#viio43(4)					c	i		#viio43(4)		#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5.0	-1.0	0	5	0.0	0.0	2.0	0.0
14	14	1/4	1/4	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	2	0.0	0.0	0.5	0.0
14	14	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	4	0.0	0.0	1.0	0.0
15	15	0	0	3/4	2	1	#viio6(2)					c	i		#viio6(2)		#vii	o	6	2				o	1	1	2, -1, 0		5.0	2.0	0	4	0.0	0.0	1.5	0.0
15	15	1/4	1/4	3/4	2	1	#viio6					c	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5.0	2.0	0	2	0.0	0.0	0.5	0.0
15	15	1/2	1/2	3/4	2	1	VI6					c	i		VI6		VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	#viio7					c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	0	4	0.0	0.0	1.0	0.0
16	16	1/4	1/4	3/4	2	1	V6					c	i		V6		V		6					M	1	1	5, 2, 1		1.0	5.0	0	2	0.0	0.0	0.5	0.0
17	17	1/4	1/4	3/4	2	1	#viio7	-0.224836	3.5		/	c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	1	9	0.1	0.08333333333333333	1.4166666666666667	0.05555555555555555
18	18	0	0	3/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	1.0	0.0
19	19	1/4	1/4	3/4	2	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2.0	-1.0	1	8	0.1111111111111111	0.08333333333333333	1.1666666666666667	0.06666666666666667
20	20	0	0	3/4	2	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1.0	1.0	0	4	0.0	0.0	1.0	0.0
21	21	1/4	1/4	3/4	2	1	V7					c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	8	0.0	0.0	1.0	0.0
22	22	0	0	3/4	2	1	i|PAC}{					c	i		i		i					PAC	}{	m	1	1	0, -3, 1		0.0	0.0	0	19	0.0	0.0	4.6875	0.0
24	24	0	0	3/4	2	1	V6					c	i		V6		V		6					M	1	1	5, 2, 1		1.0	5.0	0	17	0.0	0.0	3.3125	0.0
26	26	0	0	3/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	12	0.0	0.0	2.0625	0.0
27	27	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	5	0.0	0.0	1.0	0.0
28	28	0	0	3/4	2	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2.0	-1.0	0	5	0.0	0.0	1.25	0.0
29	29	0	0	3/4	2	1	V					c	i		V		V							M	1	1	1, 5, 2		1.0	1.0	0	5	0.0	0.0	1.25	0.0
30	30	0	0	3/4	2	1	i|PAC}					c	i		i		i					PAC	}	m	1	1	0, -3, 1		0.0	0.0	0	6	0.0	0.0	1.5	0.0
32	32	0	0	3/4	2	1	III.V/IV{					c	III		V/IV		V				IV		{	M	1	0	-3, 1, -2		-3.0	-3.0	0	1	0.0	0.0	0.75	0.0
33	33	0	0	3/4	2	1	V2/IV					c	III		V2/IV		V		2		IV			Mm7	1	0	-5, -3, 1, -2		-3.0	-5.0	0	5	0.0	0.0	2.5	0.0
34	34	0	0	3/4	2	1	IV6					c	III		IV6		IV		6					M	1	0	0, -3, -4		-4.0	0.0	0	5	0.0	0.0	3.0	0.0
35	35	0	0	3/4	2	1	V43/IV					c	III		V43/IV		V		43		IV			Mm7	1	0	-2, -5, -3, 1		-3.0	-2.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
36	36	0	0	3/4	2	1	IV(4)					c	III		IV(4)		IV			4				M	1	0	-4, 2, -3		-4.0	-4.0	2	3	0.4	0.5	2.25	0.18181818181818182
