mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	2	1	D.I{	-0.916957	-2.5	/		D	I		I		I						{	M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
2	1	0	0	4/4	2	1	V6					D	I		V6		V		6					M	0	0	7, 4, 3		3	7	2	6	0.25	0.5	1.5	0.25
3	2	0	0	4/4	2	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
3	2	1/2	1/2	4/4	2	1	V					D	I		V		V							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	2.0	0.0
4	3	0	0	4/4	2	1	I	0.2	-2.5	/		D	I		I		I							M	0	0	2, 6, 3		2	2	8	8	0.5	2.0	2.0	0.5
5	4	0	0	4/4	2	1	V|HC}	-0.250398	-4.79552	/		D	I		V		V					HC	}	M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	3.0	0.0
5	4	3/4	3/4	4/4	2	1	I6{					D	I		I6		I		6				{	M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.75	0.0
6	5	0	0	4/4	2	1	viio6					D	I		viio6		vii	o	6					o	0	0	4, 1, 7		7	4	0	3	0.0	0.0	0.75	0.0
6	5	1/4	1/4	4/4	2	1	vi6					D	I		vi6		vi		6					m	0	0	2, 6, 5		5	2	0	3	0.0	0.0	0.75	0.0
6	5	1/2	1/2	4/4	2	1	V6					D	I		V6		V		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.75	0.0
6	5	3/4	3/4	4/4	2	1	vi65	0	-4.11793	/		D	I		vi65		vi		65					mm7	0	0	2, 6, 3, 5		5	2	0	4	0.0	0.0	1.0	0.0
7	6	0	0	4/4	2	1	V6	0	-3.61146	/		D	I		V6		V		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	1.5	0.0
