mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	E.I{						E	I		I		I						{	M	0	0	4, 8, 5		4	4	0	21	0.0	0.0	3.75	0.0
2	2	0	0	4/4	2	1	IV	0	-2.88207		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	10	0.0	0.0	1.625	0.0
2	2	1/2	1/2	4/4	2	1	ii6						E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	3	8	0.2727272727272727	0.375	1.75	0.17647058823529413
3	3	0	0	4/4	2	1	viio6	0	-3.49337		/		E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	3	10	0.23076923076923078	0.375	1.625	0.1875
3	3	1/2	1/2	4/4	2	1	V43						E	I		V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	3	11	0.21428571428571427	0.375	2.125	0.15
4	4	0	0	4/4	2	1	I|IAC}	0	-5.02163		/		E	I		I		I					IAC	}	M	0	0	4, 8, 5		4	4	2	8	0.2	0.125	3.75	0.03225806451612903
5	5	1/8	1/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
5	5	1/4	1/4	4/4	2	1	I6	0	-3.01669		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
5	5	3/8	3/8	4/4	2	1	IV	0	-3.18892		/		E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
5	5	1/2	1/2	4/4	2	1	I	0	-3.0741		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
5	5	5/8	5/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
5	5	3/4	3/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
5	5	7/8	7/8	4/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
6	6	0	0	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
6	6	1/8	1/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
6	6	1/4	1/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
6	6	3/8	3/8	4/4	2	1	IV						E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.125	0.0
6	6	1/2	1/2	4/4	2	1	I						E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
6	6	5/8	5/8	4/4	2	1	viio6						E	I		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	0	2	0.0	0.0	0.125	0.0
6	6	3/4	3/4	4/4	2	1	I6						E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.125	0.0
6	6	7/8	7/8	4/4	2	1	viio/V						E	I		viio/V		vii	o			V			o	0	0	10, 7, 4		10	10	0	2	0.0	0.0	0.125	0.0
7	7	0	0	4/4	2	1	V						E	I		V		V							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	1.5	0.0
7	7	1/4	1/4	4/4	2	1	V(64)	0	-4.00966		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.375	0.0
7	7	1/2	1/2	4/4	2	1	V7	0	-4.26846		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	8	0.0	0.0	1.5	0.0
8	8	0	0	4/4	2	1	V(64)	0	-6.56		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	8	0.0	0.0	1.75	0.0
8	8	1/2	1/2	4/4	2	1	V7	0	-6.56142		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	8	0.0	0.0	1.5	0.0
9	9	0	0	4/4	2	1	I	0	-6.56		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	1.375	0.0
9	9	1/4	1/4	4/4	2	1	I6	0	-6.56		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
9	9	1/2	1/2	4/4	2	1	ii6	0	-6.56		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	1	3	0.25	0.125	0.875	0.125
9	9	3/4	3/4	4/4	2	1	V6/V	0	-5.4692		/		E	I		V6/V		V		6		V			M	0	0	10, 7, 6		6	10	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	0	0	4/4	2	1	V(64)	0	-2.87957		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	1	4	0.2	0.25	2.5	0.09090909090909091
10	10	1/2	1/2	4/4	2	1	V(4)	0	-3.35404		/		E	I		V(4)		V			4				M	0	0	5, 4, 6		5	5	1	2	0.3333333333333333	0.25	1.0	0.2
10	10	3/4	3/4	4/4	2	1	V7	0	-2.97447		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
11	11	0	0	4/4	2	1	I	0	-3.32345		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	1.875	0.0
11	11	1/4	1/4	4/4	2	1	I6	0	-3.59794		/		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
11	11	1/2	1/2	4/4	2	1	ii6	0	-3.4803		/		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	1	3	0.25	0.125	0.875	0.125
11	11	3/4	3/4	4/4	2	1	V6/V	0	-3.95084		/		E	I		V6/V		V		6		V			M	0	0	10, 7, 6		6	10	1	2	0.3333333333333333	0.125	0.375	0.25
12	12	0	0	4/4	2	1	V(64)	0	-4.30375		/		E	I		V(64)		V			64				M	0	0	5, 4, 8		5	5	1	4	0.2	0.25	2.5	0.09090909090909091
12	12	1/2	1/2	4/4	2	1	V(4)	0	-4.53902		/		E	I		V(4)		V			4				M	0	0	5, 4, 6		5	5	1	2	0.3333333333333333	0.25	1.0	0.2
12	12	3/4	3/4	4/4	2	1	V7	0	-4.53902		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
13	13	0	0	4/4	2	1	I[I|IAC}{	0	-3.87785		/		E	I	I	I		I					IAC	}{	M	0	0	4, 8, 5		4	4	0	15	0.0	0.0	3.0	0.0
14	14	0	0	4/4	2	1	IV	0	-5.94462		/		E	I	I	IV		IV							M	0	0	3, 7, 4		3	3	0	7	0.0	0.0	1.25	0.0
14	14	1/2	1/2	4/4	2	1	V6/V	0	-5.25569		/		E	I	I	V6/V		V		6		V			M	0	0	10, 7, 6		6	10	3	5	0.375	0.375	1.375	0.21428571428571427
15	15	0	0	4/4	2	1	I]						E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	1.75	0.0
15	15	1/2	1/2	4/4	2	1	iv6						E	I		iv6		iv		6					m	0	0	0, 4, 3		3	0	0	8	0.0	0.0	1.75	0.0
16	16	0	0	4/4	2	1	V.viio6						E	V		viio6		vii	o	6					o	0	0	7, 4, 10		10	7	0	8	0.0	0.0	1.75	0.0
16	16	1/2	1/2	4/4	2	1	viio7/V	0	-2.91753		/		E	V		viio7/V		vii	o	7		V			o7	0	0	11, 8, 5, 2		11	11	0	7	0.0	0.0	2.0	0.0
17	17	0	0	4/4	2	1	V[V						E	V	V	V		V							M	0	0	6, 10, 7		6	6	0	8	0.0	0.0	2.0	0.0
