mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	1/16	5/16	2/4	2	1	G.I{						G	I		I		I						{	M	0	0	1, 5, 2		1.0	1.0	4	22	0.15384615384615385	0.25	2.875	0.08
3	2	5/16	5/16	2/4	2	1	ii2						G	I		ii2		ii		2					mm7	0	0	1, 3, 0, 4		3.0	1.0	5	24	0.1724137931034483	0.3125	3.0	0.09433962264150944
6	5	0	0	2/4	2	1	V6						G	I		V6		V		6					M	0	0	6, 3, 2		2.0	6.0	1	4	0.2	0.0625	0.375	0.14285714285714285
6	5	1/4	1/4	2/4	2	1	V7						G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	6	0.14285714285714285	0.0625	0.375	0.14285714285714285
7	6	0	0	2/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1.0	1.0	1	6	0.14285714285714285	0.0625	0.375	0.14285714285714285
7	6	1/4	1/4	2/4	2	1	ii65						G	I		ii65		ii		65					mm7	0	0	0, 4, 1, 3		3.0	0.0	0	6	0.0	0.0	0.4375	0.0
8	7	0	0	2/4	2	1	V(64)						G	I		V(64)		V			64				M	0	0	2, 1, 5		2.0	2.0	1	5	0.16666666666666666	0.0625	0.375	0.14285714285714285
8	7	1/4	1/4	2/4	2	1	V7						G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	6	0.0	0.0	0.4375	0.0
9	8	0	0	2/4	2	1	I|PAC}						G	I		I		I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	1	24	0.04	0.0	2.125	0.0
11	10	0	0	2/4	2	1	vii%65					V43(2)	G	I		vii%65		vii	%	65					%7	0	0	3, 0, 4, 6		6.0	3.0	0	5	0.0	0.0	0.5	0.0
11	10	1/4	1/4	2/4	2	1	V43						G	I		V43		V		43					Mm7	0	0	3, 0, 2, 6		2.0	3.0	0	18	0.0	0.0	1.1875	0.0
13	12	0	0	2/4	2	1	I6(13)						G	I		I6(13)		I		6	13				M	0	0	5, 2, 1	4	1.0	5.0	0	5	0.0	0.0	0.5	0.0
13	12	1/4	1/4	2/4	2	1	I6						G	I		I6		I		6					M	0	0	5, 2, 1		1.0	5.0	2	17	0.10526315789473684	0.09375	1.15625	0.075
15	14	0	0	2/4	2	1	ii6(2)						G	I		ii6(2)		ii		6	2				m	0	0	0, 4, 5		3.0	0.0	0	3	0.0	0.0	0.25	0.0
15	14	1/8	1/8	2/4	2	1	ii6						G	I		ii6		ii		6					m	0	0	0, 4, 3		3.0	0.0	0	3	0.0	0.0	0.375	0.0
15	14	1/4	1/4	2/4	2	1	V6/V						G	I		V6/V		V		6		V			M	0	0	7, 4, 3		3.0	7.0	0	2	0.0	0.0	0.125	0.0
15	14	3/8	3/8	2/4	2	1	V65/V						G	I		V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3.0	7.0	0	3	0.0	0.0	0.25	0.0
16	15	0	0	2/4	2	1	V(11)						G	I		V(11)		V			11				M	0	0	2, 6, 3	1	2.0	2.0	0	6	0.0	0.0	0.25	0.0
16	15	1/8	1/8	2/4	2	1	V						G	I		V		V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.375	0.0
16	15	1/4	1/4	2/4	2	1	V.vi6						G	V		vi6		vi		6					m	0	0	2, 6, 5		5.0	2.0	0	5	0.0	0.0	0.375	0.0
17	16	0	0	2/4	2	1	ii7					vii%65(2)	G	V		ii7		ii		7					mm7	0	0	4, 1, 5, 2		4.0	4.0	0	3	0.0	0.0	0.25	0.0
17	16	1/8	1/8	2/4	2	1	vii%65						G	V		vii%65		vii	%	65					%7	0	0	4, 1, 5, 7		7.0	4.0	0	8	0.0	0.0	0.75	0.0
18	17	0	0	2/4	2	1	iii(11)						G	V		iii(11)		iii			11				m	0	0	6, 3, 7	5	6.0	6.0	0	6	0.0	0.0	0.25	0.0
18	17	1/8	1/8	2/4	2	1	iii						G	V		iii		iii							m	0	0	6, 3, 7		6.0	6.0	0	3	0.0	0.0	0.375	0.0
18	17	1/4	1/4	2/4	2	1	I6						G	V		I6		I		6					M	0	0	6, 3, 2		2.0	6.0	0	5	0.0	0.0	0.375	0.0
19	18	0	0	2/4	2	1	ii6(2)						G	V		ii6(2)		ii		6	2				m	0	0	1, 5, 6		4.0	1.0	0	3	0.0	0.0	0.25	0.0
19	18	1/8	1/8	2/4	2	1	ii6						G	V		ii6		ii		6					m	0	0	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.375	0.0
19	18	1/4	1/4	2/4	2	1	V6/V						G	V		V6/V		V		6		V			M	0	0	8, 5, 4		4.0	8.0	0	2	0.0	0.0	0.125	0.0
19	18	3/8	3/8	2/4	2	1	V65/V						G	V		V65/V		V		65		V			Mm7	0	0	8, 5, 2, 4		4.0	8.0	0	3	0.0	0.0	0.25	0.0
20	19	0	0	2/4	2	1	V[V(4)						G	V	V	V(4)		V			4				M	0	0	3, 2, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
20	19	1/8	1/8	2/4	2	1	V						G	V	V	V		V							M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.375	0.0
20	19	1/4	1/4	2/4	2	1	viio64(4)/V						G	V	V	viio64(4)/V		vii	o	64	4	V			o	0	0	2, 8, 7		8.0	2.0	1	1	0.5	0.0625	0.0625	0.5
20	19	3/8	3/8	2/4	2	1	viio64/V						G	V	V	viio64/V		vii	o	64		V			o	0	0	2, 8, 5		8.0	2.0	0	3	0.0	0.0	0.25	0.0
21	20	0	0	2/4	2	1	V(9)						G	V	V	V(9)		V			9				M	0	0	3, 7, 4	5	3.0	3.0	0	3	0.0	0.0	0.25	0.0
21	20	1/8	1/8	2/4	2	1	V						G	V	V	V		V							M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
21	20	1/4	1/4	2/4	2	1	V7/V						G	V	V	V7/V		V		7		V			Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	7	0.2222222222222222	0.10416666666666667	0.3541666666666667	0.22727272727272727
22	21	0	0	2/4	2	1	V(4)						G	V	V	V(4)		V			4				M	0	0	3, 2, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
22	21	1/8	1/8	2/4	2	1	V						G	V	V	V		V							M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
22	21	1/4	1/4	2/4	2	1	viio64/V						G	V	V	viio64/V		vii	o	64		V			o	0	0	2, 8, 5		8.0	2.0	3	6	0.3333333333333333	0.14583333333333334	0.3125	0.3181818181818182
23	22	0	0	2/4	2	1	V(9)						G	V	V	V(9)		V			9				M	0	0	3, 7, 4	5	3.0	3.0	0	3	0.0	0.0	0.25	0.0
23	22	1/8	1/8	2/4	2	1	V						G	V	V	V		V							M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
23	22	1/4	1/4	2/4	2	1	V7/V						G	V	V	V7/V		V		7		V			Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	7	0.2222222222222222	0.10416666666666667	0.3541666666666667	0.22727272727272727
24	23	0	0	2/4	2	1	V						G	V	V	V		V							M	0	0	3, 7, 4		3.0	3.0	3	7	0.3	0.125	0.375	0.25
24	23	1/4	1/4	2/4	2	1	viio64/V						G	V	V	viio64/V		vii	o	64		V			o	0	0	2, 8, 5		8.0	2.0	4	6	0.4	0.1875	0.3125	0.375
25	24	0	0	2/4	2	1	V]|HC}						G	V	V	V		V					HC	}	M	0	0	3, 7, 4		3.0	3.0	9	11	0.45	0.3333333333333333	1.0416666666666667	0.2424242424242424
27	26	0	0	2/4	2	1	I{						G	V		I		I						{	M	0	0	2, 6, 3		2.0	2.0	20	22	0.47619047619047616	1.25	2.125	0.37037037037037035
30	29	0	0	2/4	2	1	V7(^6#4)						G	V		V7(^6#4)		V		7	^6#4				Mm7	0	0	3, 7, 9, 6		3.0	3.0	0	3	0.0	0.0	0.625	0.0
30	29	1/4	1/4	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	16	30	0.34782608695652173	1.0	2.875	0.25806451612903225
34	33	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.3125	0.0
34	33	1/8	1/8	2/4	2	1	vi65					vi6(+7)	G	V		vi65		vi		65					mm7	0	0	2, 6, 3, 5		5.0	2.0	0	4	0.0	0.0	0.375	0.0
34	33	1/4	1/4	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	0.375	0.0
34	33	3/8	3/8	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	0.375	0.0
35	34	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.3125	0.0
35	34	1/8	1/8	2/4	2	1	vi65					vi6(+7)	G	V		vi65		vi		65					mm7	0	0	2, 6, 3, 5		5.0	2.0	0	4	0.0	0.0	0.375	0.0
35	34	1/4	1/4	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	0.375	0.0
35	34	3/8	3/8	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	0.375	0.0
36	35	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.5	0.0
36	35	1/8	1/8	2/4	2	1	vi6					ii6/V	G	V		vi6		vi		6					m	0	0	2, 6, 5		5.0	2.0	0	3	0.0	0.0	0.25	0.0
36	35	1/4	1/4	2/4	2	1	V(64)/V						G	V		V(64)/V		V			64	V			M	0	0	4, 3, 7		4.0	4.0	0	4	0.0	0.0	0.5	0.0
36	35	3/8	3/8	2/4	2	1	V7/V						G	V		V7/V		V		7		V			Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	3	0.0	0.0	0.25	0.0
37	36	0	0	2/4	2	1	V|HC}						G	V		V		V					HC	}	M	0	0	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.25	0.0
37	36	1/8	1/8	2/4	2	1	V43						G	V		V43		V		43					Mm7	0	0	4, 1, 3, 7		3.0	4.0	0	3	0.0	0.0	0.1875	0.0
37	36	1/4	1/4	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.1875	0.0
37	36	3/8	3/8	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.1875	0.0
38	37	0	0	2/4	2	1	I{						G	V		I		I						{	M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.3125	0.0
38	37	1/8	1/8	2/4	2	1	vi65					vi6(+7)	G	V		vi65		vi		65					mm7	0	0	2, 6, 3, 5		5.0	2.0	0	4	0.0	0.0	0.3125	0.0
38	37	1/4	1/4	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3.0	7.0	0	4	0.0	0.0	0.3125	0.0
38	37	3/8	3/8	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	5	0.0	0.0	0.4375	0.0
39	38	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2.0	2.0	0	5	0.0	0.0	0.4375	0.0
