mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	c.i{								c	i		i		i							{	m	1	1	0, -3, 1		0.0	0.0	0	14	0.0	0.0	2.40625	0.0
1	1	11/32	11/32	4/4	1	1	i6								c	i		i6		i		6						m	1	1	-3, 1, 0		0.0	-3.0	0	3	0.0	0.0	0.09375	0.0
1	1	3/8	3/8	4/4	1	1	V64								c	i		V64		V		64						M	1	1	2, 1, 5		1.0	2.0	0	4	0.0	0.0	0.375	0.0
1	1	15/32	15/32	4/4	1	1	i								c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.125	0.0
1	1	1/2	1/2	4/4	1	1	viio7/V								c	i		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6.0	6.0	0	4	0.0	0.0	1.0	0.0
1	1	3/4	3/4	4/4	1	1	V}								c	i		V		V							}	M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.375	0.0
1	1	31/32	31/32	4/4	1	1	#viio2{								c	i		#viio2		#vii	o	2					{	o7	1	1	-4, 5, 2, -1		5.0	-4.0	0	13	0.0	0.0	1.53125	0.0
2	2	3/8	3/8	4/4	1	1	V								c	i		V		V								M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.375	0.0
2	2	15/32	15/32	4/4	1	1	#viio43								c	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	4	0.0	0.0	0.125	0.0
2	2	1/2	1/2	4/4	1	1	i6(#762)								c	i		i6(#762)		i		6	#762					m	1	1	-3, -4, 2, 5		0.0	-3.0	0	4	0.0	0.0	1.0	0.0
2	2	3/4	3/4	4/4	1	1	i6}								c	i		i6		i		6					}	m	1	1	-3, 1, 0		0.0	-3.0	0	4	0.0	0.0	0.5	0.0
2	2	31/32	31/32	4/4	1	1	viio2/V{								c	i		viio2/V		vii	o	2		V			{	o7	1	1	-3, 6, 3, 0		6.0	-3.0	0	13	0.0	0.0	1.53125	0.0
3	3	3/8	3/8	4/4	1	1	V/V		0	-5.27895		/			c	i		V/V		V				V				M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.375	0.0
3	3	15/32	15/32	4/4	1	1	viio43/V		0.378947	-5.91052		/			c	i		viio43/V		vii	o	43		V				o7	1	1	0, -3, 6, 3		6.0	0.0	0	8	0.0	0.0	1.125	0.0
3	3	3/4	3/4	4/4	1	1	V6		0	-4.90079		/			c	i		V6		V		6						M	1	1	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.25	0.0
3	3	27/32	27/32	4/4	1	1	viio2/V		0	-4.95298		/			c	i		viio2/V		vii	o	2		V				o7	1	1	-3, 6, 3, 0		6.0	-3.0	0	4	0.0	0.0	0.125	0.0
3	3	7/8	7/8	4/4	1	1	V/V		0	-5.4749		/			c	i		V/V		V				V				M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	0.375	0.0
3	3	31/32	31/32	4/4	1	1	viio43/V		-0.203399	-7.18233		/			c	i		viio43/V		vii	o	43		V				o7	1	1	0, -3, 6, 3		6.0	0.0	0	8	0.0	0.0	1.125	0.0
4	4	1/4	1/4	4/4	1	1	V6		0	-4.58765		/			c	i		V6		V		6						M	1	1	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
4	4	3/8	3/8	4/4	1	1	V2/iv		0	-4.82488		/			c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0.0	-2.0	0	6	0.0	0.0	0.75	0.0
4	4	1/2	1/2	4/4	1	1	i6/iv		0	-4.06573		/		ii6/III	c	i		i6/iv		i		6		iv				m	1	1	-4, 0, -1		-1.0	-4.0	0	7	0.0	0.0	0.875	0.0
4	4	3/4	3/4	4/4	1	1	V7/III		0	-4.2745		/			c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	6	16	0.2727272727272727	0.07291666666666667	0.6770833333333334	0.09722222222222222
5	5	0	0	4/4	1	1	I/III|PAC}{								c	i		I/III		I				III		PAC	}{	M	1	1	-3, 1, -2		-3.0	-3.0	2	32	0.058823529411764705	0.1875	2.125	0.08108108108108109
5	5	1/2	1/2	4/4	1	1	ii2(2)/III		0	-3.51042		/			c	i		ii2(2)/III		ii		2	2	III				mm7	1	1	-3, 1, -4, 0		-1.0	-3.0	0	8	0.0	0.0	0.625	0.0
5	5	5/8	5/8	4/4	1	1	ii2/III								c	i		ii2/III		ii		2		III				mm7	1	1	-3, -1, -4, 0		-1.0	-3.0	0	9	0.0	0.0	0.53125	0.0
5	5	3/4	3/4	4/4	1	1	#viio65		0	-4.39786		/			c	i		#viio65		#vii	o	65						o7	1	1	2, -1, -4, 5		5.0	2.0	0	12	0.0	0.0	0.75	0.0
5	5	7/8	7/8	4/4	1	1	iv64		0	-4.5402		/			c	i		iv64		iv		64						m	1	1	0, -1, -4		-1.0	0.0	0	12	0.0	0.0	0.75	0.0
6	6	0	0	4/4	1	1	#viio7		0	-3.73056		/			c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5.0	5.0	0	20	0.0	0.0	1.625	0.0
6	6	1/4	1/4	4/4	1	1	V7/III								c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	2	22	0.08333333333333333	0.1875	1.3125	0.125
6	6	1/2	1/2	4/4	1	1	#viio2(b6)/ii		0	-4.01563		/			c	i		#viio2(b6)/ii		#vii	o	2	b6	ii				o7	1	1	-2, 7, 4, -4		7.0	-2.0	2	8	0.2	0.125	0.625	0.16666666666666666
6	6	5/8	5/8	4/4	1	1	#viio2/ii								c	i		#viio2/ii		#vii	o	2		ii				o7	1	1	-2, 7, 4, 1		7.0	-2.0	0	14	0.0	0.0	0.75	0.0
6	6	3/4	3/4	4/4	1	1	V/ii		0	-3.51042		/			c	i		V/ii		V				ii				M	1	1	3, 7, 4		3.0	3.0	0	12	0.0	0.0	0.75	0.0
6	6	7/8	7/8	4/4	1	1	#viio43/ii		0	-3.25782		/			c	i		#viio43/ii		#vii	o	43		ii				o7	1	1	1, -2, 7, 4		7.0	1.0	0	12	0.0	0.0	0.75	0.0
7	7	0	0	4/4	1	1	V6/V		0	-4.22231		/			c	i		V6/V		V		6		V				M	1	1	6, 3, 2		2.0	6.0	4	33	0.10810810810810811	0.25	2.4375	0.09302325581395349
7	7	1/2	1/2	4/4	1	1	#viio43(2)		0	-4.50936		/		iio65	c	i		#viio43(2)		#vii	o	43	2					o7	1	1	-1, -4, 0, 2		5.0	-1.0	0	8	0.0	0.0	0.625	0.0
7	7	5/8	5/8	4/4	1	1	#viio43								c	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	8	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	1	1	#viio6		0	-4.27972		/			c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5.0	2.0	2	14	0.125	0.0625	0.9375	0.0625
8	8	0	0	4/4	1	1	#viio7(#2)		0	-4.85382		/			c	i		#viio7(#2)		#vii	o	7	#2					o7	1	1	5, 7, -1, -4		5.0	5.0	2	6	0.25	0.125	0.5	0.2
8	8	1/8	1/8	4/4	1	1	#viio7								c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5.0	5.0	0	8	0.0	0.0	0.625	0.0
8	8	1/4	1/4	4/4	1	1	#viio2		0	-4.96864		/			c	i		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5.0	-4.0	2	14	0.125	0.0625	0.9375	0.0625
8	8	1/2	1/2	4/4	1	1	V7(#6)		0	-5.65757		/			c	i		V7(#6)		V		7	#6					Mm7	1	1	1, 5, 2, 4		1.0	1.0	2	6	0.25	0.125	0.5	0.2
8	8	5/8	5/8	4/4	1	1	V7								c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	8	0.0	0.0	0.875	0.0
8	8	3/4	3/4	4/4	1	1	iv6		0	-5.48533		/			c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1.0	-4.0	0	14	0.0	0.0	1.0	0.0
9	9	0	0	4/4	1	1	V7		0	-5.70518		/			c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1.0	1.0	3	20	0.13043478260869565	0.046875	1.359375	0.03333333333333333
9	9	1/2	1/2	4/4	1	1	VI		0	-5.00079		/			c	i		VI		VI								M	1	1	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.5	0.0
10	10	0	0	4/4	1	1	i		0	-4.87708		/		VI	c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	7	5	0.5833333333333334	0.18229166666666666	0.19270833333333334	0.4861111111111111
10	10	3/8	3/8	4/4	1	1	ii%65		0	-5.63191		/			c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2.0	-1.0	0	8	0.0	0.0	0.5	0.0
11	10	0	1/2	4/4	1	1	V(64)		0	-5.70935		/			c	i		V(64)		V			64					M	1	1	1, 0, -3		1.0	1.0	9	9	0.5	0.08630952380952381	0.5386904761904762	0.1380952380952381
11	10	1/4	3/4	4/4	1	1	V7		0	-9.14843		/			c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1.0	1.0	10	9	0.5263157894736842	0.078125	0.421875	0.15625
11	10	3/8	7/8	4/4	1	1	V7(9)		0	-7.98477		/			c	i		V7(9)		V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1.0	1.0	0	2	0.0	0.0	0.125	0.0
12	11	0	0	2/2	1	1	i[i|PAC}{								c	i	i	i		i						PAC	}{	m	1	1	0, -3, 1		0.0	0.0	0	7	0.0	0.0	1.5	0.0
12	11	3/4	3/4	2/2	1	1	V7/iv								c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	0.75	0.0
13	12	0	0	2/2	1	1	iv6								c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.75	0.0
13	12	1/4	1/4	2/2	1	1	V/iv								c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
13	12	1/2	1/2	2/2	1	1	iv								c	i		iv		iv								m	1	1	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
13	12	3/4	3/4	2/2	1	1	#viio6								c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5.0	2.0	2	2	0.5	0.25	0.5	0.3333333333333333
14	13	0	0	2/2	1	1	i								c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
14	13	1/4	1/4	2/2	1	1	V/iv								c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	6	0.0	0.0	1.5	0.0
14	13	3/4	3/4	2/2	1	1	V7/iv								c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	0.75	0.0
15	14	0	0	2/2	1	1	iv6		0	-2.43685		/			c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.75	0.0
