mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation	slur
1	1	0	0	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	0	f		
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	1			
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	2			
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	3			
1	1	3	3	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	4			
1	1	10/3	10/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	5			
1	1	11/3	11/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	6			
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	7			
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	8			
2	2	5	5	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	9	p		0
2	2	6	6	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	10			0
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	11			
2	2	5	5	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	12			1
2	2	6	6	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	13			1
2	2	7	7	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	14			
3	3	8	8	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	15			
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	16			
3	3	10	10	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	17			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	18			
3	3	8	8	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	19			
3	3	9	9	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	20			
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	21			
3	3	11	11	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	22			
4	4	12	12	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	23			
4	4	13	13	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	24		ornamentTrill	
4	4	14	14	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	25			
4	4	14	14	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	26			
4	4	14	14	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	27			
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	28			
4	4	13	13	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	29			
4	4	14	14	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	30			
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	31			
4	4	15	15	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	32			
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	33			
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	34	f		
5	5	18	18	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	35			
5	5	55/3	55/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	36			
5	5	56/3	56/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	37			
5	5	19	19	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	38			
5	5	58/3	58/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	39			
5	5	59/3	59/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	40			
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	41			
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	42			
6	6	21	21	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	43	p		2
6	6	22	22	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	44			2
6	6	23	23	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	45			
6	6	21	21	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	46			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	47			
6	6	22	22	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	48			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	49			
6	6	23	23	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	50			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	51			
7	7	24	24	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	52			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	53			
7	7	26	26	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	54			
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	55			
7	7	24	24	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	56			
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	57			
7	7	25	25	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	58			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	59			
7	7	26	26	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	60			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	61			
