mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0								Largo	50.0	1.0					
1	1	2	2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	0	pp		articStaccatoBelow				0				
1	1	3	3	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1			articStaccatoBelow								
1	1	0	0	0.0		0	0	Dynamic	4/4	2	1	0						pp									
1	1	0	0	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	2											
1	1	0	0	4.0		0	0	Chord	4/4	2	2	1		1	1	3											
2	2	4	4	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	4											
2	2	7	7	0.0		3/4	3/4	Dynamic	4/4	1	1	0						p									
2	2	7	7	0.0		3/4	3/4	Tempo	4/4	1	1	0								Allegro	144.0	1.0					
2	2	7	7	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	5	p						1				
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	6											
2	2	4	4	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	7											
2	2	7	7	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	8			articStaccatoAbove								
3	3	8	8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	9							2				
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	10											
3	3	9	9	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	11							3				
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	12											
3	3	10	10	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	13							4				
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	14											
3	3	11	11	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	15							5				
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	16											
3	3	8	8	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	17			articStaccatoAbove								
3	3	9	9	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	18			articStaccatoAbove								
3	3	10	10	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	19			articStaccatoAbove								
3	3	11	11	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	20			articStaccatoAbove								
4	4	12	12	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	21							6				
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	22											
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	23							7				
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	24											
4	4	14	14	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	25							8				
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	26	<										
4	4	15	15	0.0		3/4	3/4	Spanner	4/4	1	1	0													0		
4	4	15	15	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	27							9		0		
4	4	31/2	31/2	0.0		7/8	7/8	Spanner	4/4	1	1	0															
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	28											
4	4	12	12	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	29			articStaccatoAbove								
4	4	13	13	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	30			articStaccatoAbove								
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	31			articStaccatoAbove								
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	32			articStaccatoAbove								
5	5	16	16	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	33							10				
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	34											
5	5	17	17	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	35							11				
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	36											
5	5	18	18	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	37							12				
5	5	37/2	37/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	38											
5	5	19	19	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	39							13				
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	40											
5	5	16	16	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	41			articStaccatoAbove								
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	42			articStaccatoAbove								
5	5	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	43			articStaccatoAbove								
5	5	19	19	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	44			articStaccatoAbove								
6	6	20	20	0.0		0	0	Dynamic	4/4	1	1	0						sf									
6	6	20	20	0.0		0	0	Tempo	4/4	1	1	0								Adagio	71.0	1.0					
6	6	20	20	0.0		0	0	Spanner	4/4	1	1	0															0
6	6	20	20	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	45			ornamentTurn				14				0
6	6	43/2	43/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	46							14				0
6	6	87/4	87/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	47							14				0
6	6	22	22	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48											0
6	6	20	20	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	49	f										0
6	6	22	22	0.0		1/2	1/2	Dynamic	4/4	1	2	0						p									0
6	6	22	22	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	50	p										0
6	6	20	20	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	51											
6	6	22	22	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	52											
7	7	24	24	0.0		0	0	Dynamic	4/4	1	1	0						pp									
7	7	24	24	0.0		0	0	Spanner	4/4	1	1	0															
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	53	p		articStaccatoBelow				15				
7	7	27	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	54			articStaccatoBelow								
7	7	24	24	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	55											
7	7	24	24	4.0		0	0	Chord	4/4	2	2	1		1	1	56											
8	8	28	28	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	57											
8	8	31	31	0.0		3/4	3/4	Dynamic	4/4	1	1	0						p									
8	8	31	31	0.0		3/4	3/4	Tempo	4/4	1	1	0								Allegro	144.0	1.0					
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	58	p						16				
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	59											
8	8	28	28	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	60											
8	8	31	31	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	61											
9	9	32	32	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	62							17				
9	9	65/2	65/2	0.0		1/8	1/8	Spanner	4/4	1	1	0													1		
9	9	65/2	65/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	63	<								1		
9	9	33	33	0.0		1/4	1/4	Spanner	4/4	1	1	0															
9	9	33	33	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	64							18				
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	65											
9	9	34	34	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	66							19				
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	67											
9	9	35	35	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	68							20				
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	69											
9	9	32	32	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	70											
9	9	35	35	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	71											
10	10	36	36	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	72							21				
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	73											
10	10	37	37	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	74							22				
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	75											
10	10	38	38	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	76							23				
10	10	77/2	77/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	77											
10	10	39	39	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	78							24				
10	10	79/2	79/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	79											
10	10	36	36	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	80											
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	81			articStaccatoAbove								
11	11	40	40	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	82							25				
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	83											
11	11	41	41	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	84							26				
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	85											
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	86							27				
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	87											
11	11	43	43	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	88							28				
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	89											
11	11	41	41	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	90			articStaccatoAbove								
11	11	43	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	91			articStaccatoAbove								
12	12	44	44	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	92							29				
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	93											
12	12	45	45	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	94							30				
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	95											
12	12	46	46	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	96							31				
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	97											
12	12	47	47	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	98							32				
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99											
12	12	45	45	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	100			articStaccatoAbove								
12	12	47	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	101			articStaccatoAbove								
13	13	48	48	0.0		0	0	Dynamic	4/4	1	1	0						f									
13	13	48	48	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	102	f						33				
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	103											
13	13	49	49	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	104							34				
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	105											
13	13	50	50	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	106							35				
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	107											
13	13	51	51	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	108							36				
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	109											
13	13	48	48	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	110			articStaccatoAbove								
14	14	52	52	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	111							37				
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	112											
14	14	53	53	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	113							38				
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	114											
14	14	54	54	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	115							39				
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	116											
14	14	55	55	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	117							40				
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	118											
15	15	56	56	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	119							41				
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	120											
15	15	57	57	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	121							42				
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	122											
15	15	58	58	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	123							43				
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	124											
15	15	59	59	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	125							44				
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	126											
16	16	60	60	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	127							45				
16	16	121/2	121/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	128											
