mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
28	25	397/4	397/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	229								
29	26	401/4	401/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	230						14		
29	26	403/4	403/4	0.0		1/8	1/8	Dynamic	4/4	1	1	0					other-dynamics							
29	26	403/4	403/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	231								
29	26	405/4	405/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	232		articStaccatoAbove						
29	26	407/4	407/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	233		articStaccatoAbove						
29	26	409/4	409/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	234						16		
29	26	411/4	411/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	235						16		
29	26	413/4	413/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	236						16		
29	26	415/4	415/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	237								
29	26	401/4	401/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	238						17		
29	26	405/4	405/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	239						17		
29	26	409/4	409/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	240								
30	27	419/4	419/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	241		articStaccatoAbove						
30	27	421/4	421/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	242		articStaccatoAbove						
30	27	423/4	423/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	243		articStaccatoAbove						
30	27	425/4	425/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	244						18		
30	27	427/4	427/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	245						18		
30	27	429/4	429/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	246						18		
30	27	431/4	431/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	247						18		
30	27	417/4	417/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	248						19		
30	27	421/4	421/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	249						19		
30	27	425/4	425/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	250								
31	28	433/4	433/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	251								
31	28	435/4	435/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	252						20		
31	28	437/4	437/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	253						20		
31	28	439/4	439/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	254						20		
31	28	441/4	441/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	255						20		
31	28	443/4	443/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	256						20		
31	28	445/4	445/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	257						20		
31	28	447/4	447/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	258								
31	28	433/4	433/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	259								
31	28	437/4	437/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	260								
31	28	441/4	441/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	261								
32	29	449/4	449/4	0.0		0	0	Dynamic	4/4	1	1	0					p							
32	29	451/4	451/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	262								
32	29	455/4	455/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	263								
32	29	459/4	459/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	264								
32	29	463/4	463/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	265								
32	29	449/4	449/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	266						21		
32	29	453/4	453/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	267						21		
32	29	457/4	457/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	268						21		
32	29	461/4	461/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	269								
33	30	465/4	465/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	270								
33	30	467/4	467/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	271								
33	30	471/4	471/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	272						22		
33	30	473/4	473/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	273						22		
33	30	475/4	475/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	274						22		
33	30	477/4	477/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	275						22		
33	30	479/4	479/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	276								
33	30	465/4	465/4	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	277								
33	30	469/4	469/4	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	278								
33	30	473/4	473/4	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	279								
33	30	465/4	465/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	280						23		
33	30	469/4	469/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	281						23		
33	30	473/4	473/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	282								
34	31	481/4	481/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	283								
34	31	483/4	483/4	0.0		1/8	1/8	Dynamic	4/4	1	1	0					other-dynamics							
34	31	483/4	483/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	284								
34	31	487/4	487/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	285								
34	31	491/4	491/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	286								
34	31	495/4	495/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	287								
34	31	481/4	481/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	288						24		
34	31	485/4	485/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	289						24		
34	31	489/4	489/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	290						24		
34	31	493/4	493/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	291						24		
35	32	497/4	497/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	292								
35	32	499/4	499/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	293								
35	32	503/4	503/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	294								
35	32	505/4	505/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	295								
35	32	507/4	507/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
35	32	507/4	507/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	296						25		
35	32	511/4	511/4	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	297						25		
35	32	128	128	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	298								
35	32	497/4	497/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	299						24		
35	32	501/4	501/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	300						24		
35	32	505/4	505/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	301						26		
35	32	509/4	509/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	302								
35	32	497/4	497/4	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	303								
35	32	501/4	501/4	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	304								
35	32	505/4	505/4	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	305								
36	33	513/4	513/4	0.0		0	0	Dynamic	4/4	1	1	0					p							
36	33	513/4	513/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	306								
36	33	515/4	515/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	307								
36	33	519/4	519/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	308								
36	33	523/4	523/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	309								
36	33	527/4	527/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	310								
36	33	513/4	513/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	311						27		
36	33	517/4	517/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	312						27		
36	33	521/4	521/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	313						27		
36	33	525/4	525/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	314						27		
37	34	529/4	529/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	315								
37	34	531/4	531/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	316								
37	34	535/4	535/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	317								
37	34	539/4	539/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					other-dynamics							
37	34	539/4	539/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	318								
37	34	543/4	543/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	319								
37	34	529/4	529/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	320						27		
37	34	533/4	533/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	321						27		
37	34	537/4	537/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	322								
37	34	541/4	541/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	323						28		
38	35	545/4	545/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	324								
38	35	547/4	547/4	0.0		1/8	1/8	Spanner	4/4	1	1	0												1
38	35	547/4	547/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	325								1
38	35	551/4	551/4	0.0		3/8	3/8	Spanner	4/4	1	1	0												
38	35	551/4	551/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	326								
38	35	555/4	555/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	327								
38	35	559/4	559/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	328						29		
38	35	545/4	545/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	329						28		
38	35	549/4	549/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	330						28		
38	35	553/4	553/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	331						28		
38	35	557/4	557/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	332								
39	36	561/4	561/4	0.0		0	0	Dynamic	4/4	1	1	0					p					29		
39	36	561/4	561/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	333						29		
39	36	563/4	563/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	334						29		
39	36	567/4	567/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	335								
39	36	569/4	569/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	336						30		
39	36	571/4	571/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	337						30		
39	36	573/4	573/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	338						30		
39	36	575/4	575/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	339								
39	36	561/4	561/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	340						31		
39	36	565/4	565/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	341						31		
39	36	569/4	569/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	342								
40	37	579/4	579/4	0.0		1/8	1/8	Dynamic	4/4	1	1	0					sf							
40	37	579/4	579/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	343								
40	37	583/4	583/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	344								
40	37	587/4	587/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
40	37	587/4	587/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	345								
40	37	591/4	591/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	346								
40	37	579/4	579/4	1.0		1/8	1/8	Chord	4/4	1	3	1/4		1/4	1	347								
40	37	583/4	583/4	0.5		3/8	3/8	Chord	4/4	1	3	1/8		1/8	1	348								
40	37	587/4	587/4	1.0		5/8	5/8	Chord	4/4	1	3	1/4		1/4	1	349								
40	37	591/4	591/4	0.5		7/8	7/8	Chord	4/4	1	3	1/8		1/8	1	350								
40	37	577/4	577/4	0.0		0	0	Dynamic	4/4	2	1	0					sf							
40	37	577/4	577/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	351						32		
40	37	581/4	581/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	352								
40	37	585/4	585/4	0.0		1/2	1/2	Dynamic	4/4	2	1	0					sf							
40	37	585/4	585/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	353						33		
40	37	589/4	589/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	354								
41	38	595/4	595/4	0.0		1/8	1/8	Dynamic	4/4	1	1	0					sf							
41	38	595/4	595/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	355						34		
41	38	599/4	599/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	356								
41	38	603/4	603/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
41	38	603/4	603/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	357								
41	38	607/4	607/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	358								
41	38	595/4	595/4	1.0		1/8	1/8	Chord	4/4	1	3	1/4		1/4	1	359								
41	38	599/4	599/4	0.5		3/8	3/8	Chord	4/4	1	3	1/8		1/8	1	360								
41	38	603/4	603/4	1.0		5/8	5/8	Chord	4/4	1	3	1/4		1/4	1	361								
41	38	607/4	607/4	0.5		7/8	7/8	Chord	4/4	1	3	1/8		1/8	1	362								
41	38	593/4	593/4	0.0		0	0	Dynamic	4/4	2	1	0					sf							
41	38	593/4	593/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	363						35		
41	38	597/4	597/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	364								
41	38	601/4	601/4	0.0		1/2	1/2	Dynamic	4/4	2	1	0					sf							
41	38	601/4	601/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	365								
42	39	609/4	609/4	0.0		0	0	Dynamic	4/4	1	1	0					other-dynamics							
42	39	609/4	609/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	366								
42	39	611/4	611/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	367								
42	39	615/4	615/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	368								
42	39	619/4	619/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	369								
42	39	623/4	623/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	370								
42	39	609/4	609/4	0.5		0	0	Chord	4/4	1	3	1/8		1/8	1	371								
42	39	611/4	611/4	1.0		1/8	1/8	Chord	4/4	1	3	1/4		1/4	1	372								
42	39	615/4	615/4	1.0		3/8	3/8	Chord	4/4	1	3	1/4		1/4	1	373								
42	39	619/4	619/4	1.0		5/8	5/8	Chord	4/4	1	3	1/4		1/4	1	374								
42	39	623/4	623/4	0.5		7/8	7/8	Chord	4/4	1	3	1/8		1/8	1	375								
42	39	609/4	609/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	376						36		
42	39	613/4	613/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	377						36		
42	39	617/4	617/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	378						36		
42	39	621/4	621/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	379								
43	40		625/4	0.0	1	0	0	Dynamic	4/4	1	1	0					p							
43	40		625/4	0.5	1	0	0	Chord	4/4	1	1	1/8		1/8	1	380								
43	40		627/4	1.0	1	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	381								
43	40		631/4	0.5	1	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	382								
43	40		633/4	1.0	1	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	383								
43	40		639/4	0.5	1	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	384								
43	40		625/4	0.5	1	0	0	Chord	4/4	1	3	1/8		1/8	1	385								
43	40		627/4	1.0	1	1/8	1/8	Chord	4/4	1	3	1/4		1/4	1	386								
43	40		631/4	0.5	1	3/8	3/8	Chord	4/4	1	3	1/8		1/8	1	387								
43	40		633/4	1.0	1	1/2	1/2	Chord	4/4	1	3	1/4		1/4	1	388								
43	40		625/4	1.0	1	0	0	Chord	4/4	2	1	1/4		1/4	1	389						37		
43	40		629/4	1.0	1	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	390						37		
43	40		633/4	1.0	1	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	391								
44	40		641/4	0.5	1	0	0	Chord	4/4	1	1	1/8		1/8	1	392								
44	40		643/4	1.0	1	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	393								
44	40		647/4	1.0	1	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	394								
44	40		651/4	1.0	1	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	395								
44	40		655/4	0.5	1	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	396								
44	40		641/4	1.0	1	0	0	Chord	4/4	2	1	1/4		1/4	1	397						38		
44	40		645/4	1.0	1	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	398						38		
44	40		649/4	1.0	1	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	399						38		
44	40		653/4	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	400								
45	40	625/4	657/4	0.0	2	0	0	Dynamic	4/4	1	1	0					p							
45	40	625/4	657/4	0.5	2	0	0	Chord	4/4	1	1	1/8		1/8	1	401						39		
45	40	627/4	659/4	1.0	2	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	402								
45	40	631/4	663/4	0.5	2	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	403								
45	40	633/4	665/4	1.0	2	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	404								
45	40	639/4	671/4	0.5	2	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	405								
45	40	625/4	657/4	0.5	2	0	0	Chord	4/4	1	3	1/8		1/8	1	406						40		
45	40	627/4	659/4	1.0	2	1/8	1/8	Chord	4/4	1	3	1/4		1/4	1	407								
45	40	631/4	663/4	0.5	2	3/8	3/8	Chord	4/4	1	3	1/8		1/8	1	408								
45	40	633/4	665/4	1.0	2	1/2	1/2	Chord	4/4	1	3	1/4		1/4	1	409								
45	40	625/4	657/4	1.0	2	0	0	Chord	4/4	2	1	1/4		1/4	1	410						41		
45	40	629/4	661/4	1.0	2	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	411						41		
45	40	633/4	665/4	1.0	2	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	412								
46	41	641/4	673/4	0.0		0	0	Dynamic	4/4	1	1	0					p							
46	41	641/4	673/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	413		articStaccatoBelow				42		
46	41	643/4	675/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	414		articStaccatoBelow						
46	41	647/4	679/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	415		articStaccatoBelow				43		
46	41	651/4	683/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	416		articStaccatoBelow				43		
46	41	655/4	687/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	417		articStaccatoBelow						
46	41	641/4	673/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	418								
46	41	643/4	675/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	419								
46	41	645/4	677/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	420								
46	41	647/4	679/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	421								
46	41	649/4	681/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	422								
46	41	651/4	683/4	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	423								
46	41	653/4	685/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	424								
46	41	655/4	687/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	425								
47	42	659/4	691/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	426		articStaccatoAbove				44		
47	42	663/4	695/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	427		articStaccatoAbove				44		
47	42	667/4	699/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	428		articStaccatoBelow				44		
47	42	671/4	703/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	429		articStaccatoBelow						
47	42	657/4	689/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	430								
47	42	659/4	691/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	431								
47	42	661/4	693/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	432								
47	42	663/4	695/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	433								
47	42	665/4	697/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	434								
47	42	667/4	699/4	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	435								
47	42	669/4	701/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	436								
47	42	671/4	703/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	437								
48	43	675/4	707/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	438								
48	43	679/4	711/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	439								
48	43	683/4	715/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	440								
48	43	687/4	719/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	441								
48	43	673/4	705/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	442								
48	43	675/4	707/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	443								
48	43	677/4	709/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	444								
48	43	679/4	711/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	445								
48	43	681/4	713/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	446								
48	43	683/4	715/4	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	447								
48	43	685/4	717/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	448								
48	43	687/4	719/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	449								
49	44	691/4	723/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	450								
49	44	695/4	727/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	451								
49	44	699/4	731/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
49	44	699/4	731/4	1.5		5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	452								
49	44	699/4	731/4	1.0		5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	453						45		
49	44	703/4	735/4	0.25		7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	454						45		
49	44	176	184	0.25		15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	455								
49	44	689/4	721/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	456								
49	44	691/4	723/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	457								
49	44	693/4	725/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	458								
49	44	695/4	727/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	459								
49	44	697/4	729/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	460								
49	44	699/4	731/4	1.5		5/8	5/8	Chord	4/4	2	1	3/8		1/4	3/2	461								
50	45	705/4	737/4	0.0		0	0	Dynamic	4/4	1	1	0					p							
50	45	707/4	739/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	462		articStaccatoBelow				46		
50	45	711/4	743/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	463		articStaccatoBelow				46		
50	45	715/4	747/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	464		articStaccatoBelow				46		
50	45	719/4	751/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	465		articStaccatoBelow						
50	45	705/4	737/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	466								
50	45	707/4	739/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	467								
50	45	709/4	741/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	468								
50	45	711/4	743/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	469								
50	45	713/4	745/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	470								
50	45	715/4	747/4	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	471								
50	45	717/4	749/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	472								
50	45	719/4	751/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	473								
51	46	723/4	755/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	474								
51	46	727/4	759/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	475								
51	46	731/4	763/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
51	46	731/4	763/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	476								
51	46	735/4	767/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	477								
51	46	721/4	753/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	478								
51	46	723/4	755/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	479								
51	46	725/4	757/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	480								
51	46	727/4	759/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	481								
51	46	729/4	761/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	482								
51	46	731/4	763/4	1.0		5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	483								
51	46	735/4	767/4	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	484								
52	47	739/4	771/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	485								
52	47	743/4	775/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	486								
52	47	747/4	779/4	0.0		5/8	5/8	Dynamic	4/4	1	1	0					sf							
