mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
10	8	32	32	0.25		0	15/16	Chord	4/4	1	1	1/16		1/16	1	67								
11	9	129/4	129/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	68						1		
11	9	133/4	133/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	69						1		
11	9	137/4	137/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	70								
11	9	141/4	141/4	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16after	1/16	1	71								
11	9	141/4	141/4	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16after	1/16	1	72								
11	9	141/4	141/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	73		ornamentTrill						
11	9	129/4	129/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	74						2		
11	9	133/4	133/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	75						2		
11	9	137/4	137/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	76						2		
11	9	141/4	141/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	77						2		
12	10	145/4	145/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	78						3		
12	10	149/4	149/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	79						3		
12	10	153/4	153/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	80						3		
12	10	157/4	157/4	0.75		3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	81								
12	10	40	40	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	82								
12	10	145/4	145/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	83						2		
12	10	149/4	149/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	84						2		
12	10	153/4	153/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	85								
13	11	161/4	161/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	86						4		
13	11	165/4	165/4	0.0		1/4	1/4	Dynamic	4/4	1	1	0					other-dynamics					4		
13	11	165/4	165/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	87						4		
13	11	169/4	169/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	88						4		
13	11	173/4	173/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	89						4		
13	11	161/4	161/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	90						5		
13	11	165/4	165/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	91						5		
13	11	169/4	169/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	92						5		
13	11	173/4	173/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	93						5		
14	12	177/4	177/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	94						4		
14	12	181/4	181/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	95						4		
14	12	185/4	185/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	96						4		
14	12	189/4	189/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	97								
