mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	35		
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	36		articStaccatoAbove
8	7	19	19	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	37		
8	7	20	20	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	38		
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	39		
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	40		articStaccatoBelow
8	7	20	20	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	41		articStaccatoBelow
8	7	21	21	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	42		articStaccatoBelow
9	8	22	22	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	43		articStaccatoAbove
9	8	24	24	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	44		
9	8	49/2	49/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	45		
9	8	22	22	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	46		
9	8	22	22	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	47		
10	9	25	25	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	48		articStaccatoAbove
10	9	26	26	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	49		articStaccatoAbove
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	50		articStaccatoAbove
10	9	25	25	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	51	sf	
10	9	25	25	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	52		
11	10	28	28	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	53		articStaccatoAbove
11	10	28	28	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	54		articStaccatoBelow
11	10	29	29	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	55		articStaccatoBelow
11	10	30	30	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	56		articStaccatoBelow
11	10	28	28	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	57		articStaccatoAbove
11	10	29	29	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	58		articStaccatoAbove
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	59		articStaccatoAbove
12	11	31	31	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	60		
12	11	32	32	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	61		articStaccatoAbove
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	62		articStaccatoAbove
12	11	31	31	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	63		
12	11	32	32	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	64		
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	65		
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	66		articStaccatoAbove
12	11	32	32	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	67		articStaccatoAbove
12	11	33	33	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68		articStaccatoAbove
13	12	34	34	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	69		articStaccatoAbove
13	12	36	36	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	70		
13	12	73/2	73/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	71		
13	12	34	34	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	72		
13	12	34	34	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	73		articStaccatoAbove
14	13	37	37	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	74		articStaccatoAbove
14	13	38	38	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	75		articStaccatoAbove
14	13	39	39	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	76		articStaccatoAbove
14	13	37	37	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	77	sf	
14	13	37	37	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	78		
15	14	40	40	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	79		
15	14	40	40	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	80		articStaccatoBelow
15	14	41	41	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	81		articStaccatoBelow
15	14	42	42	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	82		articStaccatoBelow
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	83		articStaccatoAbove
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	84		articStaccatoAbove
15	14	42	42	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	85		articStaccatoAbove
16	15	43	43	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	86		
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	87		articStaccatoAbove
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	88		articStaccatoAbove
16	15	43	43	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	89		articStaccatoBelow
16	15	44	44	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	90		articStaccatoBelow
16	15	45	45	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	91		articStaccatoBelow
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	92		articStaccatoBelow
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	93		articStaccatoBelow
16	15	45	45	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	94		articStaccatoBelow
17	16	46	46	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	95		articStaccatoAbove
17	16	46	46	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	96		articStaccatoBelow
17	16	46	46	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	97		articStaccatoBelow
18	16	48	48	0.5		0	1/2	Chord	3/4	1	1	1/8	1/8	1	98	p	
18	16	97/2	97/2	0.5		1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	99		
19	17	49	49	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	100		
19	17	51	51	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	101		
19	17	49	49	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	102		articStaccatoBelow
19	17	50	50	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	103		articStaccatoBelow
20	18	52	52	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	104		articStaccatoBelow
20	18	54	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	105	f	
20	18	52	52	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	106		articStaccatoBelow
20	18	53	53	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	107		articStaccatoBelow
21	19	55	55	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	108		articStaccatoAbove
21	19	56	56	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	109		articStaccatoAbove
21	19	57	57	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	110	sf	
21	19	55	55	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	111		articStaccatoBelow
21	19	56	56	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	112		articStaccatoBelow
21	19	57	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	113		articStaccatoBelow
22	20	58	58	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	114		
22	20	59	59	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	115		
22	20	60	60	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	116	p	
22	20	121/2	121/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	117		
22	20	58	58	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	118		
22	20	59	59	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	119		
23	21	61	61	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	120		
23	21	63	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	121		
23	21	61	61	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	122		articStaccatoBelow
23	21	62	62	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	123		articStaccatoBelow
24	22	64	64	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	124		articStaccatoBelow
24	22	66	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	125	f	articStaccatoBelow
24	22	64	64	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	126		articStaccatoBelow
24	22	65	65	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	127		articStaccatoBelow
25	23	67	67	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	128		articStaccatoAbove
25	23	68	68	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	129		articStaccatoAbove
25	23	69	69	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	130		
25	23	67	67	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	131		articStaccatoBelow
25	23	68	68	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	132		articStaccatoBelow
25	23	69	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	133		articStaccatoBelow
26	24	70	70	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	134		
26	24	71	71	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	135		
26	24	72	72	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	136	p	
26	24	145/2	145/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	137		
26	24	70	70	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	138		
26	24	71	71	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	139		
27	25	73	73	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	140		
27	25	75	75	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	141		
27	25	73	73	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	142		articStaccatoBelow
27	25	74	74	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	143		articStaccatoBelow
28	26	76	76	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	144		
28	26	78	78	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	145	f	
28	26	157/2	157/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	146		
28	26	76	76	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	147		articStaccatoBelow
28	26	77	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	148		articStaccatoBelow
29	27	79	79	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	149	sf	articStaccatoBelow
29	27	80	80	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	150		
29	27	161/2	161/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	151		
29	27	81	81	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	152		
29	27	163/2	163/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	153		
29	27	79	79	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	154		articStaccatoBelow
29	27	80	80	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	155		articStaccatoBelow
30	28	82	82	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	156	sf	articStaccatoBelow
30	28	83	83	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	157		
30	28	167/2	167/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	158		
30	28	84	84	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	159		
30	28	169/2	169/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	160		
30	28	82	82	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	161		
30	28	83	83	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	162		articStaccatoBelow
31	29	85	85	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	163	p	articStaccatoAbove
31	29	87	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	164		articStaccatoBelow
31	29	85	85	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	165		articStaccatoBelow
31	29	86	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	166		articStaccatoAbove
32	30	88	88	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	167		articStaccatoBelow
32	30	90	90	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	168		articStaccatoAbove
32	30	88	88	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	169		articStaccatoBelow
32	30	89	89	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	170		articStaccatoAbove
33	31	91	91	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	171		articStaccatoAbove
33	31	93	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	172		articStaccatoAbove
33	31	91	91	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	173		articStaccatoBelow
33	31	92	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	174		articStaccatoAbove
34	32	94	94	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	175		
34	32	96	96	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	176		articStaccatoBelow
34	32	94	94	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	177		articStaccatoBelow
34	32	95	95	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	178		articStaccatoAbove
35	33	97	97	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	179	>	
35	33	99	99	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	180		
35	33	97	97	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	181		articStaccatoAbove
35	33	98	98	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	182		articStaccatoAbove
36	34	100	100	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	183		
36	34	102	102	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	184		
36	34	100	100	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	185		articStaccatoAbove
36	34	101	101	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	186		articStaccatoAbove
37	35	103	103	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	187		
37	35	105	105	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	188		
37	35	103	103	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	189		articStaccatoAbove
37	35	104	104	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	190		articStaccatoAbove
38	36	106	106	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	191		
38	36	108	108	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	192		
38	36	106	106	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	193		articStaccatoAbove
38	36	107	107	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	194		articStaccatoAbove
39	37	109	109	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	195		
39	37	111	111	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	196		
39	37	109	109	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	197		articStaccatoAbove
39	37	110	110	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	198		articStaccatoAbove
40	38	112	112	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	199		
40	38	114	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	200		
40	38	112	112	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	201		articStaccatoAbove
40	38	113	113	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	202		articStaccatoAbove
41	39	115	115	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	203		
41	39	117	117	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	204		
41	39	115	115	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	205		articStaccatoAbove
41	39	116	116	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	206		articStaccatoAbove
42	40	118	118	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	207		
42	40	120	120	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	208		
42	40	118	118	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	209		articStaccatoAbove
42	40	119	119	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	210		articStaccatoAbove
43	41	121	121	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	211	pp	
43	41	122	122	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	212		
43	41	123	123	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	213		
44	42	124	124	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	214		
44	42	125	125	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	215		
44	42	126	126	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	216		
45	43	127	127	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	217		
45	43	128	128	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	218		
45	43	129	129	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	219		
46	44	130	130	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	220		
46	44	131	131	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	221		articStaccatoAbove
46	44	132	132	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	222		
46	44	265/2	265/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	223		
47	45	133	133	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	224	sf	
47	45	267/2	267/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	225		
47	45	134	134	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	226		
47	45	269/2	269/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	227		
47	45	135	135	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	228		
47	45	271/2	271/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	229		
47	45	133	133	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	230		
47	45	135	135	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	231		
47	45	133	133	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	232		
48	46	136	136	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	233		
48	46	273/2	273/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	234		
48	46	137	137	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	235		
48	46	275/2	275/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	236		
48	46	138	138	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	237		
48	46	277/2	277/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	238		
48	46	136	136	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	239		articStaccatoAbove
48	46	138	138	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	240		
49	47	139	139	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	241		
49	47	279/2	279/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	242		
49	47	140	140	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	243		
49	47	281/2	281/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	244		
49	47	141	141	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	245		
49	47	283/2	283/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	246		
49	47	139	139	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	247		
49	47	140	140	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	248		
49	47	141	141	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	249		articStaccatoAbove
50	48	142	142	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	250		
50	48	285/2	285/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	251		
50	48	143	143	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	252		
50	48	287/2	287/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	253		
50	48	144	144	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	254		
50	48	289/2	289/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	255		
50	48	142	142	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	256		articStaccatoAbove
50	48	144	144	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	257		
50	48	289/2	289/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	258		
51	49	145	145	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	259		
51	49	291/2	291/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	260		
51	49	146	146	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	261		
51	49	293/2	293/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	262		
51	49	147	147	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	263		
51	49	295/2	295/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	264		
51	49	145	145	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	265		
51	49	147	147	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	266		
51	49	145	145	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	267		
52	50	148	148	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	268		
52	50	297/2	297/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	269		
52	50	149	149	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	270		
52	50	299/2	299/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	271		
52	50	150	150	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	272		
52	50	301/2	301/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	273		
52	50	148	148	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	274		articStaccatoAbove
52	50	150	150	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	275		
53	51	151	151	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	276		
53	51	303/2	303/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	277		
53	51	152	152	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	278		
53	51	305/2	305/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	279		
53	51	153	153	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	280		
53	51	307/2	307/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	281		
53	51	151	151	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	282		
53	51	152	152	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	283		
53	51	153	153	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	284		articStaccatoAbove
54	52	154	154	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	285		
54	52	156	156	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	286		
54	52	313/2	313/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	287		
54	52	154	154	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	288		
