mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p								
1	0	0	0	0.0	0	1/2	StaffText	3/4	1	1	0							MENUETTO						
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								Allegretto	189.0	1.0			
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0		articStaccatoBelow							
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1							0		
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2									
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	3									
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	4							1		
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	5									
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	6							2		
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7							3		
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	8							2		
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	9							2		
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	10									
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	11							3		
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	12							3		
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13									
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	14							4		
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15									
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16		articStaccatoBelow							
5	4	10	10	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	17									
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	18									
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	19							5		
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	20									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21									
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	22							6		
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23									
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	24							7		
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25							8		
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	26							7		
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	27							7		
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	28									
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29							8		
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30							8		
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31									
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	32							9		
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33									
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34									
9	8	22	22	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	35									
9	8	24	24	0.0	1/2	1/2	Dynamic	3/4	1	2	0					f								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	36							10		
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	37									
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38							11		
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	39									
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	40									
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41									
10	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	42							10		
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	43							10		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	44									
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45							11		
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46							11		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47									
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	48							12		
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49									
11	10	30	30	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p								
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50									
11	10	28	28	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	51									
11	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	52									
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	53									
12	11	31	31	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	54							13		
12	11	33	33	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	55									
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	56									
12	11	31	31	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	57									
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58									
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	59									
13	12	36	36	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf								
13	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	60							14		
